word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS
*)ege/nonto,γίγνομαι,verb,*lh/da|,Λήδη,proper,*qestia/di,Θεστιάς,proper,trei=s,τρέω,verb,parqe/noi,παρθένος,noun,*foi/bh,Φοίβη,proper,*klutaimh/stra,Κλυταιμνήστρα,proper,t',τε,particle,e)mh\,ἐμός,adjective,cuna/oros,συνάορος,adjective,*(ele/nh,Ἑλένη,proper,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau/ths,οὗτος,pronoun,oi(,ἕ,pronoun,ta\,ὁ,article,prw=t',πρότερος,adjective,w)lbisme/noi,ὀλβίζω,verb,mnhsth=res,μνηστήρ,noun,h)=lqon,ἔρχομαι,verb,*(ella/dos,Ἑλλάς,proper,neani/ai,νεανίης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deinai\,δεινός,adjective,d',δέ,particle,a)peilai\,ἀπειλή,noun,kai\,καί,conjunction,kat',κατά,preposition,a)llh/lwn,ἀλλήλων,pronoun,fo/nos,φόνος,noun,cuni/staq',συνίστημι,verb,o(/stis,ὅστις,pronoun,mh\,μή,conjunction,la/boi,λαμβάνω,verb,th\n,ὁ,article,parqe/non,παρθένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,pra=gma,πρᾶγμα,noun,d',δέ,particle,a)po/rws,ἄπορος,adjective,ei)=xe,ἔχω,verb,*tunda/rew|,Τυνδάρεος,proper,patri/,πατήρ,noun,dou=nai/,δίδωμι,verb,te,τε,particle,mh\,μή,conjunction,dou=nai/,δίδωμι,verb,te,τε,particle,th=s,ὁ,article,tu/xhs,τύχη,noun,o(/pws,ὅπως,conjunction,a(/yait',ἅπτω,verb,a)/rista,ἄριστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,nin,νιν,pronoun,ei)sh=lqen,εἰσέρχομαι,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/rkous,ὅρκος,noun,suna/yai,συνάπτω,verb,decia/s,δεξιά,noun,te,τε,particle,sumbalei=n,συμβάλλω,verb,mnhsth=ras,μνηστήρ,noun,a)llh/loisi,ἀλλήλων,pronoun,kai\,καί,conjunction,di',διά,preposition,e)mpu/rwn,ἔμπυρος,adjective,sponda\s,σπονδή,noun,kaqei=nai,καθίημι,verb,ka)para/sasqai,καταπάρειμι,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tou,ὅστις,pronoun,gunh\,γυνή,noun,ge/noito,γίγνομαι,verb,*tundari\s,Τυνδάρεος,proper,ko/rh,κόρη,noun,tou/tw|,οὗτος,pronoun,cunamunei=n,σύναμύνω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,e)k,ἐκ,preposition,do/mwn,δόμος,noun,labw\n,λαμβάνω,verb,oi)/xoito,οἴχομαι,verb,to/n,ὁ,article,t',τε,particle,e)/xont',ἔχω,verb,a)pwqoi/h,ἀπωθέω,verb,le/xous,λέχος,noun,ka)pistrateu/sein,ἐπιστρατεύω,verb,kai\,καί,conjunction,kataska/yein,κατασκάπτω,verb,po/lin,πόλις,adjective,*(/ellhn',Ἕλλην,proper,o(moi/ws,ὅμοιος,adjective,ba/rbaro/n,βάρβαρος,adjective,q',τε,particle,o(/plwn,ὅπλον,noun,me/ta,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,d',δέ,particle,e)pistw/qhsan,πιστόω,verb,eu)=,εὖ,adverb,de/,δέ,particle,pws,πως,particle,ge/rwn,γέρων,noun,u(ph=lqen,ὑπέρχομαι,verb,au)tou\s,αὐτός,pronoun,*tunda/rews,Τυνδάρεος,proper,puknh=|,πυκνός,adjective,freni/,φρήν,noun,di/dws',δίδωμι,verb,e(le/sqai,αἱρέω,verb,qugatri\,θυγάτηρ,adjective,mnhsth/rwn,μνηστήρ,noun,e(/na,ἕνος,adjective,o(/tou,ὅστις,pronoun,pnoai\,πνοή,noun,fe/roien,φέρω,verb,*)afrodi/ths,Ἀφροδίτη,proper,fi/lai,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',δέ,particle,ei(/leq',αἱρέω,verb,o(/s,ὅς,pronoun,sfe,σφεῖς,pronoun,mh/pot',μήποτε,adverb,w)/felen,ὀφείλω,verb,labei=n,λαμβάνω,verb,*mene/laon,Μενέλαος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lqw\n,ἔρχομαι,verb,d',δέ,particle,e)k,ἐκ,preposition,*frugw=n,Φρύξ,proper,o(,ὁ,article,ta\s,ὁ,article,qea\s,θεά,noun,kri/nwn,κρίνω,verb,o(/d',ὅδε,pronoun,w(s,ὡς,conjunction,o(,ὁ,article,mu=qos,μῦθος,noun,*)argei/wn,Ἀργᾶς,proper,e)/xei,ἔχω,verb,*lakedai/mon',Λακεδαίμων,proper,a)nqhro\s,ἀνθηρός,adjective,me\n,μέν,particle,ei(ma/twn,εἷμα,noun,stolh=|,στολή,noun,xrusw=|,χρυσός,noun,de\,δέ,particle,lampro/s,λαμπρός,adjective,barba/rw|,βάρβαρος,adjective,xlidh/mati,χλίδημα,noun,e)rw=n,ἐράω,verb,e)rw=san,ἐράω,verb,w)/|xet',ὀίζω,verb,e)canarpa/sas,ἐξαναρπάζω,verb,*(ele/nhn,Ἑλένη,proper,pro\s,πρός,preposition,*)/idhs,Ἴδη,proper,bou/staqm',βούσταθμον,noun,e)/kdhmon,ἔκδημος,adjective,labw\n,λαμβάνω,verb,*mene/laon,Μενέλαος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
