word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
*pe/loy,Πέλοψ,proper,o(,ὁ,article,*tanta/leios,Ταντάλειος,proper,e)s,εἰς,preposition,*pi=san,Πῖσα,proper,molw\n,βλώσκω,verb,qoai=sin,θοός,adjective,i(/ppois,ἵππος,noun,*oi)noma/ou,Οἰνόμαος,proper,gamei=,γαμέω,verb,ko/rhn,κόρη,noun,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,*)atreu\s,Ἀτρεύς,proper,e)/blasten,βλαστάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)atre/ws,Ἀτρεύς,proper,de\,δέ,particle,pai=s,πᾶς,adjective,*mene/laos,Μενέλαος,proper,*)agame/mnwn,Ἀγαμέμνων,proper,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,d',δέ,particle,e)/fun,φύω,verb,e)gw/,ἐγώ,pronoun,th=s,ὁ,article,*tundarei/as,Τυνδάρειος,proper,qugatro\s,θυγάτηρ,adjective,*)ifige/neia,ἰφιγένεια,adjective,pai=s,πᾶς,adjective,h(\n,ὅς,pronoun,a)mfi\,ἀμφί,preposition,di/nais,δίνη,noun,a(\s,ὅς,pronoun,qa/m',θαμά,adverb,*eu)/ripos,Εὔριπος,proper,puknai=s,πυκνός,adjective,au)/rais,αὔρα,noun,e(li/sswn,ἑλίσσω,verb,kuane/an,κυάνεος,adjective,a(/la,ἅλς,adjective,stre/fei,στρέφω,verb,e)/sfacen,σφάζω,verb,*(ele/nhs,Ἑλένη,proper,ou(/nex',οὕνεκα,conjunction,w(s,ὡς,conjunction,dokei=,δοκέω,verb,path\r,πατήρ,noun,*)arte/midi,Ἄρτεμις,proper,kleinai=s,κλεινός,adjective,e)n,ἐν,preposition,ptuxai=sin,πτυχή,noun,*au)li/dos,Αὐλίς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ntau=qa,ἐνταῦθα,adverb,ga\r,γάρ,particle,dh\,δή,particle,xili/wn,χίλιοι,adjective,naw=n,ναός,noun,sto/lon,στόλος,noun,*(ellhniko\n,Ἑλληνικός,adjective,sunh/gag',συνάγω,verb,*)agame/mnwn,Ἀγαμέμνων,proper,a)/nac,ἄναξ,noun,to\n,ὁ,article,kalli/nikon,καλλίνικος,adjective,ste/fanon,στέφανος,noun,*)ili/ou,Ἴλιον,proper,qe/lwn,ἐθέλω,verb,labei=n,λαμβάνω,verb,*)axaioi=s,Ἀχαιός,proper,tou/s,ὁ,article,q',τε,particle,u(brisqe/ntas,ὑβρίζω,verb,ga/mous,γάμος,adjective,*(ele/nhs,Ἑλένη,proper,metelqei=n,μετέρχομαι,verb,*mene/lew|,Μενέλαος,proper,xa/rin,χάρις,noun,fe/rwn,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deinh=s,δεινός,adjective,d',δέ,particle,a)ploi/as,ἄπλοια,noun,pneuma/twn,πνεῦμα,noun,te,τε,particle,tugxa/nwn,τυγχάνω,verb,e)s,εἰς,preposition,e)/mpur',ἔμπυρος,adjective,h)=lqe,ἔρχομαι,verb,kai\,καί,conjunction,le/gei,λέγω,verb,*ka/lxas,Κάλχας,proper,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,th=sd',ὅδε,pronoun,a)na/sswn,ἀνάσσω,verb,*(ella/dos,Ἑλλάς,proper,strathgi/as,στρατηγία,noun,*)aga/memnon,Ἀγαμέμνων,proper,ou),οὐ,adverb,mh\,μή,conjunction,nau=s,ναῦς,noun,a)formi/sh|,,,xqono/s,χθών,noun,pri\n,πρίν,adverb,a)\n,ἄν,particle,ko/rhn,κόρη,noun,sh\n,σός,adjective,*)ifige/neian,ἰφιγένεια,adjective,*)/artemis,Ἄρτεμις,proper,la/bh|,λαμβάνω,verb,sfagei=san,σφάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/,ὅς,pronoun,ti,τις,pronoun,ga\r,γάρ,particle,e)niauto\s,ἐνιαυτός,noun,te/koi,τίκτω,verb,ka/lliston,καλός,noun,hu)/cw,εὔχομαι,verb,fwsfo/rw|,φώσφορος,adjective,qu/sein,θύω,verb,qea=|,θεά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pai=d',παῖς,adjective,ou)=n,οὖν,particle,e)n,ἐν,preposition,oi)/kois,οἶκος,noun,sh\,σός,adjective,*klutaimh/stra,Κλυταιμνήστρα,proper,da/mar,δάμαρ,noun,ti/ktei,τίκτω,verb,to\,ὁ,article,kallistei=on,καλλιστεῖον,noun,ei)s,εἰς,preposition,e)/m',ἐγώ,pronoun,a)nafe/rwn,ἀναφέρω,verb,h(\n,ὅς,pronoun,xrh/,χρή,verb,se,σύ,pronoun,qu=sai,θύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,m',ἐγώ,pronoun,*)odusse/ws,Ὀδυσσεύς,proper,te/xnais,τέχνη,noun,mhtro\s,μήτηρ,noun,parei/lont',παραιρέω,verb,e)pi\,ἐπί,preposition,ga/mois,γάμος,adjective,*)axille/ws,Ἀχιλλεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lqou=sa,ἔρχομαι,verb,d',δέ,particle,*au)li/d',Αὐλίς,proper,h(,ὁ,article,ta/lain',τάλας,adjective,u(pe\r,ὑπέρ,preposition,pura=s,πυρεύς,noun,metarsi/a,μετάρσιος,adjective,lhfqei=s',λαμβάνω,verb,e)kaino/mhn,καίνω,verb,ci/fei,ξίφος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
