word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS
*dh/mhter,e(stiou=x',ἑστιοῦχος,noun,*)eleusi=nos,Ἐλευσίς,proper,xqono\s,χθών,noun,th=sd',ὅδε,pronoun,oi(/,ἕ,pronoun,te,τε,particle,naou\s,ναός,noun,e)/xete,ἔχω,verb,pro/spoloi,πρόσπολος,noun,qea=s,θεά,noun,eu)daimonei=n,εὐδαιμονέω,verb,me,ἐγώ,pronoun,*qhse/a,Θησεύς,proper,te,τε,particle,pai=d',παῖς,adjective,e)mo\n,ἐμός,adjective,po/lin,πόλις,adjective,t',τε,particle,*)aqhnw=n,Ἀθήνη,proper,th/n,ὁ,article,te,τε,particle,*pitqe/ws,Πιτθεύς,proper,xqo/na,χθών,noun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,me,ἐγώ,pronoun,qre/yas,τρέφω,verb,o)lbi/ois,ὄλβιος,adjective,e)n,ἐν,preposition,dw/masin,δῶμα,noun,*ai)/qran,Αἴθρη,proper,path\r,πατήρ,noun,di/dwsi,δίδωμι,verb,tw=|,ὁ,article,*pandi/onos,Πανδίων,proper,*ai)gei=,Αἰγεύς,proper,da/marta,δάμαρ,noun,*loci/ou,Λοξίας,proper,manteu/masin,μάντευμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,ta/sde,ὅδε,pronoun,ga\r,γάρ,particle,ble/yas',βλέπω,verb,e)phuca/mhn,ἐπεύχομαι,verb,ta/de,ὅδε,pronoun,grau=s,γραῦς,adjective,ai(\,ὅς,pronoun,lipou=sai,λείπω,verb,dw/mat',δῶμα,noun,*)argei/as,Ἀργεῖος,proper,xqono\s,χθών,noun,i(kth=ri,ἱκτήρ,noun,qallw=|,θαλλός,noun,prospi/tnous',προσπίτνω,verb,e)mo\n,ἐμός,adjective,go/nu,γόνυ,noun,pa/qos,πάθος,adjective,paqou=sai,πάσχω,verb,deino/n,δεινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfi\,ga\r,γάρ,particle,pu/las,πύλη,adjective,*ka/dmou,Κάδμος,proper,qano/ntwn,θνήσκω,verb,e(pta\,ἑπτά,noun,gennai/wn,γενναῖος,adjective,te/knwn,τέκνον,noun,a)/paide/s,ἄπαις,noun,ei)sin,εἰμί,verb,ou(/s,ὅς,pronoun,pot',ποτέ,particle,*)argei/wn,Ἀργᾶς,proper,a)/nac,ἄναξ,noun,*)/adrastos,Ἄδραστος,proper,h)/gag',ἄγω,verb,*oi)di/pou,Οἰδίπους,proper,pagklhri/as,παγκληρία,noun,me/ros,μέρος,noun,katasxei=n,κατασχάω,verb,fuga/di,φυγάς,noun,*polunei/kei,Πολυνείκης,proper,qe/lwn,ἐθέλω,verb,gambrw=|,γαμβρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀμφί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nekrou\s,de\,δέ,particle,tou\s,ὁ,article,o)lwlo/tas,ὄλλυμι,verb,dori\,δόρυ,noun,qa/yai,θάπτω,verb,qelousw=n,ἐθέλω,verb,tw=nde,ὅδε,pronoun,mhte/rwn,μήτηρ,noun,xqoni\,χθών,noun,ei)/rgousin,ἔργω,verb,oi(,ἕ,pronoun,kratou=ntes,κρατέω,verb,ou)d',οὐδέ,particle,a)nai/resin,ἀναίρεσις,noun,dou=nai,δίδωμι,verb,qe/lousi,ἐθέλω,verb,no/mim',νόμιμος,adjective,a)ti/zontes,ἀτίζω,verb,qew=n,θέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νεκρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koino\n,de\,δέ,particle,fo/rton,φόρτος,noun,tai=sd',ὅδε,pronoun,e)/xwn,ἔχω,verb,xrei/as,χρεία,noun,e)mh=s,ἐμός,adjective,*)/adrastos,Ἄδραστος,proper,o)/mma,ὄμμα,noun,da/krusin,δάκρυον,noun,te/ggwn,τέγγω,verb,o(/de,ὅδε,pronoun,kei=tai,κέω,verb,to/,ὁ,article,t',τε,particle,e)/gxos,ἔγχος,noun,th/n,ὁ,article,te,τε,particle,dustuxesta/thn,δυστυχής,adverb,ste/nwn,στένω,verb,stratei/an,στρατεία,adjective,h(\n,ὅς,pronoun,e)/pemyen,πέμπω,verb,e)k,ἐκ,preposition,do/mwn,δόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κοινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/s,m',ἐγώ,pronoun,e)cotru/nei,ἐξοτρύνω,verb,pai=d',παῖς,adjective,e)mo\n,ἐμός,adjective,pei=sai,πείθω,verb,litai=s,λιτή,noun,nekrw=n,νεκρός,noun,komisth\n,κομιστή,noun,h)\,ἠέ,conjunction,lo/goisin,λόγος,noun,h)\,ἠέ,conjunction,doro\s,δόρυ,noun,r(w/mh|,ῥώμη,noun,gene/sqai,γίγνομαι,verb,kai\,καί,conjunction,ta/fou,τάφος,noun,metai/tion,μεταίτιος,adjective,mo/non,μόνος,adjective,to/d',ὅδε,pronoun,e)/rgon,ἔργον,noun,prostiqei\s,προστίθημι,verb,e)mw=|,ἐμός,adjective,te/knw|,τέκνον,noun,po/lei,πόλις,adjective,t',τε,particle,*)aqhnw=n,Ἀθήνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tugxa/nw,d',δέ,particle,u(pe\r,ὑπέρ,preposition,xqono\s,χθών,noun,a)ro/tou,ἀρότης,noun,proqu/ous',προθύω,verb,e)k,ἐκ,preposition,do/mwn,δόμος,noun,e)lqou=s',ἔρχομαι,verb,e)mw=n,ἐμός,adjective,pro\s,πρός,preposition,to/nde,ὅδε,pronoun,shko/n,σηκός,noun,e)/nqa,ἔνθα,adverb,prw=ta,πρότερος,adjective,fai/netai,φαίνω,verb,fri/cas,φρίσσω,verb,u(pe\r,ὑπέρ,preposition,gh=s,γῆ,noun,th=sde,ὅδε,pronoun,ka/rpimos,κάρπιμος,adjective,sta/xus,στάχυς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desmo\n,d',δέ,particle,a)/desmon,ἄδεσμος,adjective,to/nd',ὅδε,pronoun,e)/xousa,ἔχω,verb,fulla/dos,φυλλάς,noun,me/nw,μένω,verb,pro\s,πρός,preposition,a(gnai=s,ἁγνός,adjective,e)sxa/rais,ἐσχάρα,noun,duoi=n,δύο,adjective,qeai=n,θεά,noun,*ko/rhs,Κόρα,proper,te,τε,particle,kai\,καί,conjunction,*dh/mhtros,Δημήτηρ,proper,oi)kti/rousa,οἰκτείρω,verb,me\n,μέν,particle,polia\s,πολιός,adjective,a)/paidas,ἄπαις,noun,ta/sde,ὅδε,pronoun,mhte/ras,μήτηρ,noun,te/knwn,τέκνον,noun,se/bousa,σέβω,verb,d',δέ,particle,i(era\,ἱερός,adjective,ste/mmat',στέμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δεσμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/xetai,de/,δέ,particle,moi,ἐγώ,pronoun,kh=ruc,κῆρυξ,noun,pro\s,πρός,preposition,a)/stu,ἄστυ,noun,deu=ro,δεῦρο,adverb,*qhse/a,Θησεύς,proper,kalw=n,κάλη,adjective,w(s,ὡς,conjunction,h)\,ἠέ,conjunction,to\,ὁ,article,tou/twn,οὗτος,pronoun,lupro\n,λυπρός,adjective,e)ce/lh|,ἐξαιρέω,verb,xqono/s,χθών,noun,h)\,ἠέ,conjunction,ta/sd',ὅδε,pronoun,a)na/gkas,ἀνάγκη,noun,i(kesi/ous,ἱκέσιος,adjective,lu/sh|,λύω,verb,qeou\s,θεός,noun,o(/sio/n,ὅσιος,adjective,ti,τις,pronoun,dra/sas,δράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἴχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nta,ga\r,γάρ,particle,di',διά,preposition,a)rse/nwn,ἄρσην,noun,gunaici\,γυνή,noun,pra/ssein,πράσσω,verb,ei)ko/s,ἔοικα,verb,ai(/tines,ὅστις,pronoun,sofai/,σοφός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
