word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/2/lemma/@_entry,word/2/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/40/lemma/@_entry,word/40/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS
*(/hkw,ἥκω,verb,lipw\n,λείπω,verb,*ai)/gaion,a(lmuro\n,ἁλμυρός,adjective,ba/qos,βάθος,adjective,po/ntou,πόντος,noun,*poseidw=n,Ποσειδῶν,proper,e)/nqa,ἔνθα,adverb,*nhrh/|dwn,Νηρηίς,proper,xoroi\,χορός,noun,ka/lliston,καλός,noun,i)/xnos,ἴχνος,noun,e)celi/ssousin,ἐξελίσσω,verb,podo/s,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)c,ἐκ,preposition,ou(=,ἕ,pronoun,ga\r,a)mfi\,ἀμφί,preposition,th/nde,ὅδε,pronoun,*trwikh\n,Τρωικός,adjective,xqo/na,χθών,noun,*foi=bo/s,Φοῖβος,proper,te,τε,particle,ka)gw\,ἐγώ,pronoun,lai/+nous,λάινος,adjective,pu/rgous,πύργος,noun,pe/ric,πέριξ,preposition,o)rqoi=sin,ὀρθός,adjective,γάρ,particle,e)/qemen,kano/sin,κανών,noun,ou)/pot',οὔποτε,adverb,e)k,ἐκ,preposition,frenw=n,φρήν,noun,eu)/noi',εὔνοια,noun,a)pe/sth,ἀφίστημι,verb,tw=n,ὁ,article,e)mw=n,ἐμός,adjective,*frugw=n,Φρύξ,proper,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,nu=n,νῦν,adverb,kapnou=tai,kai\,καί,conjunction,pro\s,πρός,preposition,*)argei/ou,Ἀργεῖος,proper,doro\s,δόρυ,noun,o)/lwle,ὄλλυμι,verb,porqhqei=s',πορθέω,verb,,,,,,,,,,,,,,,,καπνόομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,*parna/sios,*fwkeu\s,Φωκεύς,proper,*)epeio/s,Ἐπειός,proper,mhxanai=si,μηχανή,noun,*palla/dos,Παλλάς,proper,e)gku/mon',ἐγκύμων,verb,i(/ppon,ἵππος,noun,teuxe/wn,τεῦχος,noun,cunarmo/sas,συναρμόζω,verb,pu/rgwn,πύργος,noun,e)/pemyen,πέμπω,verb,e)nto\s,ἐντός,adverb,Παρνάσιος,proper,o)le/qrion,bre/tas,βρέτας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὀλέθριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/rhma,ἐρῆμος,adjective,d',δέ,particle,a)/lsh,kai\,καί,conjunction,qew=n,θέα,noun,a)na/ktora,ἄναξ,noun,fo/nw|,φόνος,noun,katarrei=,καταρρέω,verb,,,,,,,,,,,,,,,,,,,ἄλσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,de\,δέ,particle,krhpi/dwn,ba/qrois,βάθρον,noun,pe/ptwke,πίπτω,verb,*pri/amos,Πρίαμος,proper,*zhno\s,Ζεύς,proper,e(rkei/ou,ἕρκειος,adjective,qanw/n,θνήσκω,verb,,,,,,,,,,,,,,,,κρηπίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polu\s,πολύς,adjective,de\,δέ,particle,xruso\s,*fru/gia/,Φρύγιος,proper,te,τε,particle,skuleu/mata,σκύλευμα,noun,pro\s,πρός,preposition,nau=s,ναῦς,noun,*)axaiw=n,Ἀχαία,proper,pe/mpetai,πέμπω,verb,,,,,,,,,,,,,χρυσός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/nousi,μένω,verb,de\,δέ,particle,pru/mnhqen,ou)=ron,οὖρον,noun,w(s,ὡς,conjunction,dekaspo/rw|,δεκάσπορος,adjective,xro/nw|,χρόνος,noun,a)lo/xous,ἄλοχος,adjective,te,τε,particle,kai\,καί,conjunction,te/kn',τέκνον,noun,ei)si/dwsin,εἰσεῖδον,verb,a)/smenoi,ἄσμενος,adjective,oi(\,ἕ,pronoun,πρύμνηθεν,adverb,th/nd',e)pestra/teusan,ἐπιστρατεύω,verb,*(/ellhnes,Ἕλλην,proper,po/lin,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de/,δέ,particle,nikw=mai,ga\r,γάρ,particle,*)argei/as,Ἀργεῖος,proper,qeou=,θεός,noun,*(/hras,Ἥρα,proper,*)aqa/nas,Ἀθήνη,proper,q',τε,particle,ai(\,ὅς,pronoun,sunecei=lon,συνεξαιρέω,verb,*fru/gas,Φρύξ,proper,lei/pw,λείπω,verb,to\,ὁ,article,νικάω,verb,kleino\n,*)/ilion,Ἴλιον,proper,bwmou/s,βωμός,noun,t',τε,particle,e)mou/s,ἐμός,adjective,,,,,,,,,,,,,,,,,,,κλεινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)rhmi/a,ἐρημία,noun,ga\r,γάρ,particle,po/lin,o(/tan,ὅταν,conjunction,la/bh|,λαμβάνω,verb,kakh/,κακός,adjective,nosei=,νοσέω,verb,ta\,τίς,pronoun,tw=n,ὁ,article,qew=n,θέα,noun,ou)de\,οὐδέ,particle,tima=sqai,τιμάω,verb,qe/lei,ἐθέλω,verb,,,,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
