word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/74/lemma/@_entry,word/74/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS
*(ikanw=s,ἱκανός,adjective,me\n,μέν,particle,u(polamba/nw,ὑπολαμβάνω,verb,kai\,καί,conjunction,dia\,διά,preposition,th=s,ὁ,article,peri\,περί,preposition,th\n,ὁ,article,a)rxaiologi/an,ἀρχαιολογία,noun,suggrafh=s,συγγραφεύς,noun,kra/tiste,κράτιστος,adjective,a)ndrw=n,ἀνήρ,noun,*)epafro/dite,Ἐπαφρόδιτος,proper,toi=s,ὁ,article,e)nteucome/nois,ἐντυγχάνω,verb,au)th=|,αὐτός,pronoun,pepoihke/nai,ποιέω,verb,fanero\n,φανερός,adjective,peri\,περί,preposition,tou=,ὁ,article,ge/nous,γένος,noun,h(mw=n,ἐγώ,pronoun,tw=n,ὁ,article,*)ioudai/wn,Ἰουδαῖος,proper,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,palaio/tato/n,παλαιός,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,th\n,ὁ,article,prw/thn,πρότερος,adjective,u(po/stasin,ὑπόστασις,noun,e)/sxen,ἔχω,verb,i)di/an,ἴδιος,adjective,kai\,καί,conjunction,pw=s,πῶς,adverb,th\n,ὁ,article,xw/ran,χώρα,noun,h(\n,ὅς,pronoun,nu=n,νῦν,adverb,e)/xomen,ἔχω,verb,katw/|khse,κατοικέω,verb,pentakisxili/wn,πεντακισχίλιοι,adjective,e)tw=n,ἔται,noun,a)riqmo\n,ἀριθμός,adjective,i(stori/an,ἱστορία,noun,perie/xousan,περιέχω,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,par',παρά,preposition,h(mi=n,ἐγώ,pronoun,i(erw=n,ἱερά,noun,bi/blwn,βίβλος,noun,dia\,διά,preposition,th=s,ὁ,article,*(ellhnikh=s,Ἑλληνικός,adjective,fwnh=s,φωνή,noun,sunegraya/mhn,συγγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,suxnou\s,συχνός,adjective,o(rw=,ὁράω,verb,tai=s,ὁ,article,u(po\,ὑπό,preposition,dusmenei/as,δυσμένεια,noun,u(po/,ὑπό,preposition,tinwn,τις,pronoun,ei)rhme/nais,ἐρῶ,verb,prose/xontas,προσέχω,verb,blasfhmi/ais,βλασφημία,noun,kai\,καί,conjunction,toi=s,ὁ,article,peri\,περί,preposition,th\n,ὁ,article,a)rxaiologi/an,ἀρχαιολογία,noun,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,gegramme/nois,γράφω,verb,a)pistou=ntas,ἀπιστέω,verb,tekmh/rio/n,τεκμήριον,noun,te,τε,particle,poioume/nous,ποιέω,verb,tou=,ὁ,article,new/teron,νέος,adjective,ei)=nai,εἰμί,verb,to\,ὁ,article,ge/nos,γένος,noun,h(mw=n,ἐγώ,pronoun,to\,ὁ,article,mhdemia=s,μηδείς,pronoun,para\,παρά,preposition,toi=s,ὁ,article,e)pifane/si,ἐπιφανής,adverb,tw=n,ὁ,article,*(ellhnikw=n,Ἑλληνικός,adjective,i(storiogra/fwn,ἱστοριόγραφος,noun,mnh/mhs,μνήμη,noun,h)ciw=sqai,ἀξιόω,verb,peri\,περί,preposition,tou/twn,οὗτος,pronoun,a(pa/ntwn,ἅπας,adjective,w)|h/qhn,οἴομαι,verb,dei=n,δέω,verb,gra/yai,γράφω,verb,sunto/mws,σύντομος,adjective,tw=n,ὁ,article,me\n,μέν,particle,loidorou/ntwn,λοιδορέω,verb,th\n,ὁ,article,dusme/neian,δυσμένεια,noun,kai\,καί,conjunction,th\n,ὁ,article,e(kou/sion,ἑκούσιος,adjective,e)le/gcai,ἐλέγχω,verb,yeudologi/an,ψευδολογία,noun,tw=n,ὁ,article,de\,δέ,particle,th\n,ὁ,article,a)/gnoian,ἄγνοια,noun,e)panorqw/sasqai,ἐπανορθόω,verb,dida/cai,διδάσκω,verb,de\,δέ,particle,pa/ntas,πᾶς,adjective,o(/soi,ὅσος,adjective,ta)lhqe\s,ἀληθής,adjective,ei)de/nai,οἶδα,verb,bou/lontai,βούλομαι,verb,peri\,περί,preposition,th=s,ὁ,article,h(mete/ras,ἡμέτερος,adjective,a)rxaio/thtos,ἀρχαιότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh/somai,χράω,verb,de\,δέ,particle,tw=n,ὁ,article,me\n,μέν,particle,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,legome/nwn,λέγω,verb,ma/rtusi,μάρτυς,noun,toi=s,ὁ,article,a)ciopistota/tois,ἀξιόπιστος,adjective,ei)=nai,εἰμί,verb,peri\,περί,preposition,pa/shs,πᾶς,adjective,a)rxaiologi/as,ἀρχαιολογία,noun,u(po\,ὑπό,preposition,tw=n,ὁ,article,*(ellh/nwn,Ἕλλην,proper,kekrime/nois,κρίνω,verb,tou\s,ὁ,article,de\,δέ,particle,blasfh/mws,βλάσφημος,adjective,peri\,περί,preposition,h(mw=n,ἐγώ,pronoun,kai\,καί,conjunction,yeudw=s,ψευδής,adverb,gegrafo/tas,γράφω,verb,au)tou\s,αὐτός,pronoun,di',διά,preposition,e(autw=n,ἑαυτοῦ,pronoun,e)legxome/nous,ἐλέγχω,verb,pare/cw,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peira/somai,πειράω,verb,de\,δέ,particle,kai\,καί,conjunction,ta\s,ὁ,article,ai)ti/as,αἰτία,noun,a)podou=nai,ἀποδίδωμι,verb,di',διά,preposition,a(\s,ὅς,pronoun,ou),οὐ,adverb,polloi\,πολύς,adjective,tou=,ὁ,article,e)/qnous,ἔθνος,adjective,h(mw=n,ἐγώ,pronoun,e)n,ἐν,preposition,tai=s,ὁ,article,i(stori/ais,ἱστορία,noun,*(/ellhnes,Ἕλλην,proper,e)mnhmoneu/kasin,μνημονεύω,verb,e)/ti,ἔτι,adverb,me/ntoi,μέντοι,particle,kai\,καί,conjunction,tou\s,ὁ,article,ou),οὐ,adverb,paralipo/ntas,παραλείπω,verb,th\n,ὁ,article,peri\,περί,preposition,h(mw=n,ἐγώ,pronoun,i(stori/an,ἱστορία,noun,poih/sw,ποιέω,verb,fanerou\s,φανερός,adjective,toi=s,ὁ,article,mh\,μή,conjunction,gignw/skousin,γιγνώσκω,verb,h)\,ἠέ,conjunction,prospoioume/nois,προσποιέω,verb,a)gnoei=n,ἀγνοέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*prw=ton,πρότερος,adjective,ou)=n,οὖν,particle,e)pe/rxetai/,ἐπέρχομαι,verb,moi,ἐγώ,pronoun,pa/nu,πάνυ,adverb,qauma/zein,θαυμάζω,verb,tou\s,ὁ,article,oi)ome/nous,οἴομαι,verb,dei=n,δέω,verb,peri\,περί,preposition,tw=n,ὁ,article,palaiota/twn,παλαιός,adjective,e)/rgwn,ἔργον,noun,mo/nois,μόνος,adjective,prose/xein,προσέχω,verb,toi=s,ὁ,article,*(/ellhsi,Ἕλλην,proper,kai\,καί,conjunction,para\,παρά,preposition,tou/twn,οὗτος,pronoun,punqa/nesqai,πυνθάνομαι,verb,th\n,ὁ,article,a)lh/qeian,ἀλήθεια,adjective,h(mi=n,ἐγώ,pronoun,de\,δέ,particle,kai\,καί,conjunction,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,a)nqrw/pois,ἄνθρωπος,noun,a)pistei=n,ἀπιστέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=n,πᾶς,adjective,ga\r,γάρ,particle,e)gw\,ἐγώ,pronoun,tou)nanti/on,ἐναντίον,adverb,o(rw=,ὁράω,verb,sumbebhko/s,συμβαίνω,verb,ei)/,εἰ,conjunction,ge,γε,particle,dei=,δέομαι,verb,mh\,μή,conjunction,tai=s,ὁ,article,matai/ais,μάταιος,adjective,do/cais,δόξα,noun,e)pakolouqei=n,ἐπακολουθέω,verb,a)ll',ἀλλά,adverb,e)c,ἐκ,preposition,au)tw=n,αὐτός,pronoun,to\,ὁ,article,di/kaion,δίκαιος,adjective,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,lamba/nein,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,para\,παρά,preposition,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,a(/panta,ἅπας,adjective,ne/a,ναῦς,noun,kai\,καί,conjunction,xqe\s,χθές,adverb,kai\,καί,conjunction,prw/|hn,πρώιος,adjective,w(s,ὡς,conjunction,a)\n,ἄν,particle,ei)/poi,εἶπον,verb,tis,τις,pronoun,eu(/roi,εὑρίσκω,verb,gegono/ta,γίγνομαι,verb,le/gw,λέγω,verb,de\,δέ,particle,ta\s,ὁ,article,kti/seis,κτίσις,adjective,tw=n,ὁ,article,po/lewn,πόλις,adjective,kai\,καί,conjunction,ta\,ὁ,article,peri\,περί,preposition,ta\s,ὁ,article,e)pinoi/as,ἐπίνοια,noun,tw=n,ὁ,article,texnw=n,τέχνη,noun,kai\,καί,conjunction,ta\,ὁ,article,peri\,περί,preposition,ta\s,ὁ,article,tw=n,ὁ,article,no/mwn,νόμος,noun,a)nagrafa/s,ἀναγραφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntwn,πᾶς,adjective,de\,δέ,particle,newta/th,νέος,adjective,sxedo/n,σχεδόν,adverb,e)sti,εἰμί,verb,par',παρά,preposition,au)toi=s,αὐτός,pronoun,h(,ὁ,article,peri\,περί,preposition,to\,ὁ,article,suggra/fein,συγγράφω,verb,ta\s,ὁ,article,i(stori/as,ἱστορία,noun,e)pime/leia,ἐπιμέλεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me/ntoi,μέντοι,particle,par',παρά,preposition,*ai)gupti/ois,Αἰγύπτιος,proper,te,τε,particle,kai\,καί,conjunction,*xaldai/ois,Χαλδαῖος,proper,kai\,καί,conjunction,*foi/nicin,Φοῖνιξ,proper,e)w=,ἀίω,verb,ga\r,γάρ,particle,nu=n,νῦν,adverb,h(ma=s,ἐγώ,pronoun,e)kei/nois,ἐκεῖνος,pronoun,sugkatale/gein,καταλέγω,verb,au)toi\,αὐτός,pronoun,dh/pouqen,δήπουθεν,particle,o(mologou=sin,ὁμολογέω,verb,a)rxaiota/thn,ἀρχαῖος,adjective,te,τε,particle,kai\,καί,conjunction,monimwta/thn,μόνιμος,adjective,e)/xein,ἔχω,verb,th=s,ὁ,article,mnh/mhs,μνήμη,noun,th\n,ὁ,article,para/dosin,παράδοσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,to/pous,τόπος,noun,a(/pantes,ἅπας,adjective,oi)kou=sin,οἰκέω,verb,h(/kista,ἥκιστος,adjective,tai=s,ὁ,article,e)k,ἐκ,preposition,tou=,ὁ,article,perie/xontos,περιέχω,verb,fqorai=s,φθορά,noun,u(pokeime/nous,ὑπόκειμαι,verb,kai\,καί,conjunction,pollh\n,πολύς,adjective,e)poih/santo,ποιέω,verb,pro/noian,πρόνοια,noun,tou=,ὁ,article,mhde\n,μηδείς,pronoun,a)/mnhston,ἄμνηστος,adjective,tw=n,ὁ,article,par',παρά,preposition,au)toi=s,αὐτός,pronoun,prattome/nwn,πράσσω,verb,paralipei=n,παραλείπω,verb,a)ll',ἀλλά,adverb,e)n,ἐν,preposition,dhmosi/ais,δημόσιος,adjective,a)nagrafai=s,ἀναγραφή,noun,u(po\,ὑπό,preposition,tw=n,ὁ,article,sofwta/twn,σοφός,adjective,a)ei\,ἀεί,adverb,kaqierou=sqai,καθιερόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
