word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
o(,ὁ,article,bi/os,βίος,adjective,braxu\s,βραχύς,adjective,h(,ὁ,article,de\,δέ,particle,te/xnh,τέχνη,noun,makrh\,μακρός,adjective,o(,ὁ,article,de\,δέ,particle,kairo\s,καιρός,noun,o)cu\s,ὀξύς,adjective,h(,ὁ,article,de\,δέ,particle,pei=ra,πεῖρα,noun,sfalerh\,σφαλερός,adjective,h(,ὁ,article,de\,δέ,particle,kri/sis,κρίσις,adjective,xaleph/,χαλεπός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,de\,δέ,particle,ou),οὐ,adverb,mo/non,μόνος,adjective,e(wuto\n,ἑαυτοῦ,pronoun,pare/xein,παρέχω,verb,ta\,ὁ,article,de/onta,δέω,verb,poieu=nta,ποιέω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,to\n,ὁ,article,nose/onta,νοσέω,verb,kai\,καί,conjunction,tou\s,ὁ,article,pareo/ntas,πάρειμι,verb,kai\,καί,conjunction,ta\,ὁ,article,e)/cwqen,ἔξωθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,th=|si,ὁ,article,ta,,,raxh=|si,,,th=s,ὁ,article,koili/hs,κοιλία,noun,kai\,καί,conjunction,e)me/toisi,ἔμετος,noun,toi=sin,τίς,pronoun,au)toma/tws,αὐτόματος,adjective,gignome/noisin,γίγνομαι,verb,h)\n,ἐάν,conjunction,me\n,μέν,particle,oi(=a,οἷος,adjective,dei=,δέομαι,verb,kaqai/resqai,καθαίρω,verb,kaqai/rwntai,καθαίρω,verb,cumfe/rei,συμφέρω,verb,te,τε,particle,kai\,καί,conjunction,eu)fo/rws,εὔφορος,adjective,fe/rousin,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,tou)nanti/on,ἐναντίον,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,de\,δέ,particle,kai\,καί,conjunction,keneaggei/h,,,h)\n,ἐάν,conjunction,me\n,μέν,particle,oi(=a,οἷος,adjective,dei=,δέομαι,verb,gi/gnesqai,γίγνομαι,verb,gi/gnhtai,γίγνομαι,verb,cumfe/rei,συμφέρω,verb,te,τε,particle,kai\,καί,conjunction,eu)fo/rws,εὔφορος,adjective,fe/rousin,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,tou)nanti/on,ἐναντίον,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pible/pein,ἐπιβλέπω,verb,ou)=n,οὖν,particle,dei=,δέομαι,verb,kai\,καί,conjunction,xw/rhn,χώρα,noun,kai\,καί,conjunction,w(/rhn,ὥρα,adjective,kai\,καί,conjunction,h(liki/hn,ἡλικία,noun,kai\,καί,conjunction,nou/sous,νόσος,noun,e)n,ἐν,preposition,h(=|si,ἵημι,verb,dei=,δέομαι,verb,h)\,ἠέ,conjunction,ou)/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,toi=si,ὁ,article,gumnastikoi=sin,γυμναστικός,adjective,ai(,ὁ,article,e)p',ἐπί,preposition,a)/kron,ἄκρος,adjective,eu)eci/ai,εὐεξία,noun,sfalerai\,σφαλερός,adjective,h)\n,ἐάν,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,e)sxa/tw|,σχέθω,verb,e)/wsin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,du/nantai,δύναμαι,verb,me/nein,μένω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,au)te/w|,,,ou)de\,οὐδέ,particle,a)treme/ein,ἀτρεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,ou)k,οὐ,adverb,a)treme/ousin,ἀτρεμέω,verb,ou)d',οὐδέ,particle,e)/ti,ἔτι,adverb,duna/ntai,,,e)pi\,ἐπί,preposition,to\,ὁ,article,be/ltion,βελτίων,adverb,e)pidido/nai,ἐπιδίδωμι,verb,lei/petai,λείπω,verb,e)pi\,ἐπί,preposition,to\,ὁ,article,xei=ron,χείρων,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
