word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
trofh\,τροφή,noun,kai\,καί,conjunction,trofh=s,τροφεύς,noun,ei)=dos,εἶδος,noun,mi/a,εἷς,adjective,kai\,καί,conjunction,pollai/,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi/a,εἷς,adjective,me\n,μέν,particle,h(=|,ὅς,pronoun,ge/nos,γένος,noun,e(/n,εἷς,adjective,ei)=dos,εἶδος,noun,de\,δέ,particle,u(gro/thti,ὑγρότης,noun,kai\,καί,conjunction,chro/thti,ξηρότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,i)de/ai,ἰδέα,noun,kai\,καί,conjunction,po/son,πόσος,adjective,e)sti\,εἰμί,verb,kai\,καί,conjunction,e)/s,εἰς,preposition,tina,τις,pronoun,kai\,καί,conjunction,e)s,εἰς,preposition,tosau=ta,τοσοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)/cei,αὐξάνω,verb,de\,δέ,particle,kai\,καί,conjunction,r(w/nnusi,ῥώννυμι,verb,kai\,καί,conjunction,sarkoi=,σαρκάω,verb,kai\,καί,conjunction,o(moioi=,ὁμοιόω,verb,kai\,καί,conjunction,a)nomoioi=,ἀνομοιόω,verb,ta\,ὁ,article,e)n,ἐν,preposition,e(ka/stois,ἕκαστος,adjective,kata\,κατά,preposition,fu/sin,φύσις,noun,th\n,ὁ,article,e(ka/stou,ἕκαστος,adjective,kai\,καί,conjunction,th\n,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,du/namin,δύναμις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(moioi=,ὁμοιόω,verb,de\,δέ,particle,e)s,εἰς,preposition,du/namin,δύναμις,adjective,o(/tan,ὅταν,conjunction,krath/sh|,κράτησις,adjective,h(,ὁ,article,e)peisiou=sa,ἐπείσειμι,verb,kai\,καί,conjunction,o(/tan,ὅταν,conjunction,e)pikrath=tai,,,h(,ὁ,article,prou=,,,pa/rxousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi/gnetai,γίγνομαι,verb,de\,δέ,particle,kai\,καί,conjunction,e)ci/thlos,ἐξίτηλος,adjective,o(te\,ὅτε,conjunction,me\n,μέν,particle,h(,ὁ,article,prote/rh,πρότερος,adjective,e)n,ἐν,preposition,xro/nw|,χρόνος,noun,a)poluqei=sa,ἀπολύω,verb,h)\,ἠέ,conjunction,e)piprosteqei=sa,ἐπιπροστίθημι,verb,o(te\,ὅτε,conjunction,de\,δέ,particle,h(,ὁ,article,u(ste/rh,ὑστέρα,noun,e)n,ἐν,preposition,xro/nw|,χρόνος,noun,a)poluqei=sa,ἀπολύω,verb,h)\,ἠέ,conjunction,e)piprosteqei=sa,ἐπιπροστίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mauroi=,ἀμαυρόω,verb,de\,δέ,particle,e(kate/ras,ἑκάτερος,adjective,e)n,ἐν,preposition,xro/nw|,χρόνος,noun,kai\,καί,conjunction,meta\,μετά,preposition,xro/non,χρόνος,noun,h(,ὁ,article,e)/cwqen,ἔξωθεν,adverb,sunexh\s,συνεχής,adverb,e)peiskriqei=sa,εἰσκρίνω,verb,kai\,καί,conjunction,e)pi\,ἐπί,preposition,pollo\n,πολύς,adjective,xro/non,χρόνος,noun,steremni/ws,στερέμνιος,adjective,pa=si,πᾶς,adjective,toi=s,ὁ,article,me/lesi,μέλος,noun,diaplekei=sa,διαπλέκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,i)di/hn,ἴδιος,adjective,i)de/hn,ἰδέα,noun,e)ce/blasthse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metaba/llei,μεταβάλλω,verb,te,τε,particle,th\n,ὁ,article,a)rxai/hn,ἀρχαῖος,adjective,kai\,καί,conjunction,katafe/retai,καταφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre/fei,τρέφω,verb,de\,δέ,particle,pettome/nh,πέσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
