word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS
o(po/soi,ὁπόσος,adjective,me\n,μέν,particle,e)pexei/rhsan,ἐπιχειρέω,verb,peri\,περί,preposition,i)htrikh=s,ἰατρικός,adjective,le/gein,λέγω,verb,h)\,ἠέ,conjunction,gra/fein,γράφω,verb,u(po/qesin,ὑπόθεσις,noun,au)toi\,αὐτός,pronoun,au)toi=s,αὐτός,pronoun,u(poqe/menoi,ὑποτίθημι,verb,tw=|,ὁ,article,lo/gw|,λόγος,noun,qermo\n,θερμός,adjective,h)\,ἠέ,conjunction,yuxro\n,ψυχρός,adjective,h)\,ἠέ,conjunction,u(gro\n,ὑγρός,adjective,h)\,ἠέ,conjunction,chro\n,ξηρός,adjective,h)\,ἠέ,conjunction,a)/llo,ἄλλος,adjective,ti,τις,pronoun,o(\,ὅς,pronoun,a)\n,ἄν,particle,qe/lwsin,ἐθέλω,verb,e)s,εἰς,preposition,braxu\,βραχύς,adjective,a)/gontes,ἄγω,verb,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,th=s,ὁ,article,ai)ti/hs,αἰτία,noun,toi=si,ὁ,article,a)nqrw/poisi,ἄνθρωπος,noun,nou/swn,νόσος,noun,te,τε,particle,kai\,καί,conjunction,qana/tou,θάνατος,adjective,kai\,καί,conjunction,pa=si,πᾶς,adjective,th\n,ὁ,article,au)th/n,αὐτός,pronoun,e(\n,εἷς,adjective,h)\,ἠέ,conjunction,du/o,δύο,adjective,u(poqe/menoi,ὑποτίθημι,verb,e)n,ἐν,preposition,polloi=si,πολύς,adjective,me\n,μέν,particle,kai\,καί,conjunction,oi(=si,ὅς,pronoun,le/gousi,λέγω,verb,katafane/es,καταφανής,adverb,ei)si\,εἰμί,verb,a(marta/nontes,ἁμαρτάνω,verb,ma/lista,μάλιστα,adverb,de\,δέ,particle,a)/cion,ἄξιος,adjective,me/myasqai,μέμφομαι,verb,o(/ti,ὅστις,pronoun,a)mfi\,ἀμφί,preposition,te/xnhs,τέχνη,noun,e)ou/shs,εἰμί,verb,h(=|,ὅς,pronoun,xre/ontai/,χράω,verb,te,τε,particle,pa/ntes,πᾶς,adjective,e)pi\,ἐπί,preposition,toi=si,ὁ,article,megi/stoisi,μέγας,adverb,kai\,καί,conjunction,timw=si,τιμάω,verb,ma/lista,μάλιστα,adverb,tou\s,ὁ,article,a)gaqou\s,ἀγαθός,adjective,xeirote/xnas,χειροτέχνης,noun,kai\,καί,conjunction,dhmiourgou/s,δημιουργός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)si\n,εἰμί,verb,de\,δέ,particle,dhmiourgoi\,δημιουργός,noun,oi(,ὁ,article,me\n,μέν,particle,fau=loi,φαῦλος,adjective,oi(,ὁ,article,de\,δέ,particle,pollo\n,πολύς,adjective,diafe/rontes,διαφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/per,ὅσπερ,adjective,ei),εἰ,conjunction,mh\,μή,conjunction,h)=n,εἰμί,verb,i)htrikh\,ἰατρικός,adjective,o(/lws,ὅλος,adjective,mhd',μηδέ,particle,e)n,ἐν,preposition,au)th=|,αὐτός,pronoun,e)/skepto,σκέπτομαι,verb,mhd',μηδέ,particle,eu(/rhto,εὑρίσκω,verb,mhde/n,μηδείς,pronoun,ou)k,οὐ,adverb,a)\n,ἄν,particle,h)=n,εἰμί,verb,a)lla\,ἀλλά,adverb,pa/ntes,πᾶς,adjective,o(moi/ws,ὅμοιος,adjective,au)th=s,αὐτός,pronoun,a)/peiroi/,ἄπειρος,adjective,te,τε,particle,kai\,καί,conjunction,a)nepisth/mones,ἀνεπιστήμων,adjective,h)=san,εἰμί,verb,tu/xh|,τύχη,noun,d',δέ,particle,a)\n,ἄν,particle,pa/nta,πᾶς,adjective,ta\,ὁ,article,tw=n,ὁ,article,kamno/ntwn,κάμνω,verb,dioikei=to,διοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,ou)x,οὐ,adverb,ou(/tws,οὕτως,adverb,e)/xei,ἔχω,verb,a)ll',ἀλλά,adverb,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,texne/wn,τέχνη,noun,pase/wn,πᾶς,adjective,oi(,ὁ,article,dhmiourgoi\,δημιουργός,noun,pollo\n,πολύς,adjective,a)llh/lwn,ἀλλήλων,pronoun,diafe/rousin,διαφέρω,verb,kata\,κατά,preposition,xei=ra,χείρ,noun,kai\,καί,conjunction,kata\,κατά,preposition,gnw/mhn,γνώμη,noun,ou(/tw,οὕτως,adverb,de\,δέ,particle,kai\,καί,conjunction,e)pi\,ἐπί,preposition,i)htrikh=s,ἰατρικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,ou)k,οὐ,adverb,h)ci/oun,ἀξιόω,verb,au)th\n,αὐτός,pronoun,e)/gwge,ἐγώ,pronoun,kenh=s,κενός,adjective,u(poqe/sios,ὑπόθεσις,noun,dei=sqai,δέομαι,verb,w(/sper,ὥσπερ,adverb,ta\,ὁ,article,a)fane/a,ἀφανής,adjective,te,τε,particle,kai\,καί,conjunction,a)poreo/mena,ἀφοράω,verb,peri\,περί,preposition,w(=n,ὅς,pronoun,a)na/gkh,ἀνάγκη,noun,h)/n,ἐάν,conjunction,tis,τις,pronoun,e)pixeirh=|,ἐπιχειρέω,verb,ti,τις,pronoun,le/gein,λέγω,verb,u(poqe/sei,ὑπόθεσις,noun,xrh=sqai,χράομαι,verb,oi(=on,οἷος,adjective,peri\,περί,preposition,tw=n,ὁ,article,metew/rwn,μετέωρος,adjective,h)\,ἠέ,conjunction,tw=n,ὁ,article,u(po\,ὑπό,preposition,gh=n,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,ei)/,εἰ,conjunction,tis,τις,pronoun,le/goi,λέγω,verb,kai\,καί,conjunction,ginw/skoi,γιγνώσκω,verb,w(s,ὡς,conjunction,e)/xei,ἔχω,verb,ou)/t',οὔτε,adverb,a)\n,ἄν,particle,au)tw=|,αὐτός,pronoun,tw=|,ὁ,article,le/gonti,λέγω,verb,ou)/te,οὔτε,adverb,toi=s,ὁ,article,a)kou/ousi,ἀκούω,verb,dh=la,δῆλος,adjective,a)\n,ἄν,particle,ei)/h,ἀίω,verb,ei)/te,εἴτε,adverb,a)lhqe/a,ἀληθής,adjective,e)sti\n,εἰμί,verb,ei)/te,εἴτε,adverb,mh/,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)/sti,εἰμί,verb,pro\s,πρός,preposition,o(/,ὅς,pronoun,ti,τις,pronoun,xrh\,χρή,verb,a)nene/gkanta,ἀναφέρω,verb,ei)de/nai,οἶδα,verb,to\,ὁ,article,safe/s,σαφής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)htrikh=|,ἰατρικός,adjective,de\,δέ,particle,pa/lai,πάλαι,adverb,pa/nta,πᾶς,adjective,u(pa/rxei,ὑπάρχω,verb,kai\,καί,conjunction,a)rxh\,ἀρχή,noun,kai\,καί,conjunction,o(do\s,ὁδός,adjective,eu(rhme/nh,εὑρίσκω,verb,kaq',κατά,preposition,h(\n,ὅς,pronoun,ta\,ὁ,article,eu(rhme/na,εὑρίσκω,verb,polla/,πολύς,adjective,te,τε,particle,kai\,καί,conjunction,kalw=s,καλός,noun,e)/xonta,ἔχω,verb,eu(/rhtai,εὑρίσκω,verb,e)n,ἐν,preposition,pollw=|,πολύς,adjective,xro/nw|,χρόνος,noun,kai\,καί,conjunction,ta\,ὁ,article,loipa\,λοιπός,adjective,eu(reqh/setai,εὑρίσκω,verb,h)/n,ἐάν,conjunction,tis,τις,pronoun,i(kano/s,ἱκανός,adjective,te,τε,particle,e)w\n,εἰμί,verb,kai\,καί,conjunction,ta\,ὁ,article,eu(rhme/na,εὑρίσκω,verb,ei)dw\s,οἶδα,verb,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,o(rmw/menos,ὁρμάω,verb,zhth=|,ζητέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/stis,ὅστις,pronoun,de\,δέ,particle,tau=ta,οὗτος,pronoun,a)pobalw\n,ἀποβάλλω,verb,kai\,καί,conjunction,a)podokima/sas,ἀποδοκιμάω,verb,pa/nta,πᾶς,adjective,e(te/rh|,ἕτερος,adjective,o(dw=|,ὁδός,adjective,kai\,καί,conjunction,e(te/rw|,ἕτερος,adjective,sxh/mati,σχῆμα,noun,e)pixeirei=,ἐπιχειρέω,verb,zhtei=n,ζητέω,verb,kai/,καί,conjunction,fhsi/,φημί,verb,ti,τις,pronoun,e)ceurhke/nai,ἐξευρίσκω,verb,e)chpa/thtai,ἐξαπατάω,verb,kai\,καί,conjunction,e)capata=tai,ἐξαπατάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)du/naton,ἀδύνατος,adjective,ga/r,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
