word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/44/lemma/@_entry,word/44/lemma/@_POS,word/53/lemma/@_entry,word/53/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS
peri\,περί,preposition,me\n,μέν,particle,th=s,ὁ,article,i(erh=s,ἱερεύς,adjective,nou/sou,νόσος,noun,kaleome/nhs,καλέω,verb,w(=d',ὧδε,adverb,e)/xei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de/n,οὐδείς,pronoun,ti/,τίς,pronoun,moi,ἐγώ,pronoun,doke/ei,δοκέω,verb,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,qeiote/rh,θεῖος,adjective,ei)=nai,εἰμί,verb,nou/swn,νόσος,noun,ou)de\,οὐδέ,particle,i(erwte/rh,ἱερός,adjective,a)lla\,ἀλλά,adverb,fu/sin,φύσις,noun,me\n,μέν,particle,e)/xei,ἔχω,verb,h(\n,ὅς,pronoun,kai\,καί,conjunction,ta\,ὁ,article,loipa\,λοιπός,adjective,noush/mata,o(/qen,ὅθεν,adverb,gi/netai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu/sin,φύσις,noun,de\,δέ,particle,au)th=|,αὐτός,pronoun,kai\,καί,conjunction,pro/fasin,πρόφασις,noun,oi(,ὁ,article,a)/nqrwpoi,ἄνθρωπος,noun,e)no/misan,νομίζω,verb,qei=o/n,θεῖος,adjective,ti,τις,pronoun,prh=gma,πρᾶγμα,noun,ei)=nai,εἰμί,verb,u(po\,ὑπό,preposition,a)peiri/hs,ἀπειρία,noun,kai\,καί,conjunction,qaumasio/thtos,θαυμασιότης,noun,o(/ti,ὅστις,pronoun,ou)de\n,οὐδείς,pronoun,e)/oiken,ἔοικα,verb,e(te/rh|si,nou/soisin,νόσος,noun,,,,ἕτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,kata\,κατά,preposition,me\n,μέν,particle,th\n,ὁ,article,a)pori/hn,ἀπορία,noun,au)toi=si,αὐτός,pronoun,tou=,ὁ,article,mh\,μή,conjunction,ginw/skein,γιγνώσκω,verb,to\,ὁ,article,qei=on,θεῖος,noun,au)th=|,αὐτός,pronoun,diasw/zetai,διασῴζω,verb,kata\,κατά,preposition,de\,δέ,particle,th\n,ὁ,article,eu)pori/hn,εὐπορία,noun,tou=,ὁ,article,tro/pou,τρόπος,noun,th=s,i)h/sios,,,w(=|,ὅς,pronoun,ὁ,article,i)w=ntai,ἰάομαι,verb,a)po/llutai,ἀπόλλυμι,verb,o(/ti,ὅστις,pronoun,kaqarmoi=si/,καθαρμός,noun,te,τε,particle,i)w=ntai,ἰάομαι,verb,kai\,καί,conjunction,e)paoidh=|sin,ἐπαοιδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,dia\,διά,preposition,to\,ὁ,article,qauma/sion,θαυμάσιος,adjective,qei=on,θεῖος,adjective,nomiei=tai,νομίζω,verb,polla\,πολύς,adjective,ta\,ὁ,article,i(era\,ἱερός,adjective,noush/mata,,,e)/stai,εἰμί,verb,kai\,καί,conjunction,ou)xi\,οὐ,adverb,e(\n,εἷς,adjective,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,a)podei/cw,ἀποδείκνυμι,verb,e(/tera,ἕτερος,adjective,ou)de\n,h(=sson,ἥσσων,adverb,e)o/nta,εἰμί,verb,οὐδείς,pronoun,qauma/sia,θαυμάσιος,adjective,ou)de\,οὐδέ,particle,teratw/dea,τερατώδης,adverb,a(\,ὅς,pronoun,ou)dei\s,οὐδείς,pronoun,nomi/zei,νομίζω,verb,i(era\,ἱερά,noun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,oi(,ὁ,article,puretoi\,πυρετός,noun,oi(,ὁ,article,a)mfhmeri,,,noi\,νόος,adjective,kai\,καί,conjunction,oi(,ὁ,article,tritai=oi,τριταῖος,adjective,kai\,καί,conjunction,oi(,ὁ,article,tetartai=oi,τεταρταῖος,adjective,ou)de\n,οὐδείς,pronoun,h(=sso/n,ἥσσων,adverb,moi,ἐγώ,pronoun,doke/ousin,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(eroi\,ἱερός,adjective,ei)=nai,εἰμί,verb,kai\,καί,conjunction,u(po\,ὑπό,preposition,qeou=,θεός,noun,gi/nesqai,γίγνομαι,verb,tau/ths,οὗτος,pronoun,th=s,ὁ,article,nou/sou,νόσος,noun,w(=n,ὅς,pronoun,ou),οὐ,adverb,qaumasi/ws,θαυμάσιος,adjective,g',γε,particle,e)/xousin,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,de\,δέ,particle,o(re/w,ὁράω,verb,mainome/nous,μαίνομαι,verb,a)nqrw/pous,ἄνθρωπος,noun,kai\,καί,conjunction,parafrone/ontas,παραφρονέω,verb,a)po\,ἀπό,preposition,mhdemih=s,μηδείς,pronoun,profa/sios,πρόφασις,noun,e)mfane/os,ἐμφανής,adjective,kai\,καί,conjunction,polla/,πολύς,adjective,te,τε,particle,kai\,καί,conjunction,a)/kaira,ἄκαιρος,adjective,poie/ontas,ποιέω,verb,e)/n,ἐν,preposition,te,τε,particle,tw=|,u(/pnw|,ὕπνον,noun,oi)=da,οἶδα,verb,ὁ,article,pollou\s,πολύς,adjective,oi)mw/zontas,οἰμώζω,verb,kai\,καί,conjunction,bow=ntas,βοάω,verb,tou\s,ὁ,article,de\,δέ,particle,pnigome/nous,πνίγω,verb,tou\s,ὁ,article,de\,δέ,particle,kai\,καί,conjunction,a)nai/+ssonta/s,ἀνᾴσσω,verb,te,τε,particle,kai\,καί,conjunction,feu/gontas,φεύγω,verb,e)/cw,ἔξω,adverb,kai\,καί,conjunction,parafrone/ontas,παραφρονέω,verb,me/xris,μέχρι,preposition,a)\n,ἄν,particle,e)pe/grwntai,ἐπεγείρω,verb,e)/peita,ἔπειτα,adverb,de\,δέ,particle,o(gie/as,e)o/ntas,εἰμί,verb,kai\,καί,conjunction,frone/ontas,φρονέω,verb,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,pro/teron,πρότερος,adjective,e)o/ntas,εἰμί,verb,t',τε,particle,au)te/ous,w)xrou/s,ὠχρός,adjective,te,τε,particle,kai\,καί,conjunction,a)sqene/as,ἀσθενής,adjective,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,ou)x,οὐ,adverb,a(/pac,ἅπαξ,adverb,a)lla\,ἀλλά,adverb,polla/kis,πολλάκις,adverb,a)/lla,ἄλλος,adjective,te,τε,particle,polla/,πολύς,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,pantodapa\,παντοδαπός,adjective,w(=n,ὅς,pronoun,peri\,περί,preposition,e(ka/stou,ἕκαστος,adjective,le/gein,λέγω,verb,poulu\s,πολύς,adjective,a)\n,ἄν,particle,ei)/h,ἀίω,verb,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,de\,δέ,particle,doke/ousin,δοκέω,verb,oi(,ὁ,article,prw=toi,πρότερος,adjective,tou=to,οὗτος,pronoun,to\,ὁ,article,no/shma,νόσημα,noun,a)fierw/santes,ἀφιερόω,verb,toiou=toi,τοιοῦτος,adjective,ei)=nai,εἰμί,verb,a)/nqrwpoi,ἄνθρωπος,noun,oi(=oi,οἷος,adjective,kai\,καί,conjunction,nu=n,νῦν,adverb,ei)si,εἰμί,verb,ma/goi,Μάγος,proper,te,τε,particle,kai\,καί,conjunction,kaqa/rtai,kai\,καί,conjunction,a)gu/rtai,ἀγύρτης,noun,,,kai\,καί,conjunction,a)lazo/nes,ἀλαζών,noun,o(ko/soi,ὁπόσος,adjective,dh\,δή,particle,prospoie/ontai,προσποιέω,verb,sfo/dra,σφόδρα,adverb,qeosebe/es,θεοσεβής,adverb,ei)=nai,εἰμί,verb,kai\,καί,conjunction,ple/on,πλέος,adjective,ti,τις,pronoun,ei)de/nai,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,toi/nun,τοίνυν,particle,parampexo/menoi,παραμπέχω,verb,kai\,καί,conjunction,proballo/menoi,προβάλλω,verb,to\,ὁ,article,qei=on,θεῖος,noun,th=s,ὁ,article,a)mhxani/hs,ἀμηχανία,noun,tou=,ὁ,article,mh\,μή,conjunction,i)/sxein,ἴσχω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,prosene/gkantes,προσφέρω,verb,w)felh/sousin,ὠφελέω,verb,w(s,ὡς,conjunction,mh\,μή,conjunction,kata/dhloi,κατάδηλος,adjective,e)/wsin,ou)de\n,οὐδείς,pronoun,e)pista/menoi,ἐφίστημι,verb,εἰμί,verb,i(ero\n,ἱερός,adjective,e)no/misan,νομίζω,verb,tou=to,οὗτος,pronoun,to\,ὁ,article,pa/qos,πάθος,adjective,ei)=nai,εἰμί,verb,kai\,καί,conjunction,lo/gous,λόγος,noun,e)pile/cantes,ἐπιλέγω,verb,e)pithdei/ous,ἐπιτήδειος,adjective,th\n,ὁ,article,i)/hsin,εἶμι,verb,katesth/santo,καθίστημι,verb,e)s,εἰς,preposition,to\,ὁ,article,a)sfale\s,ἀσφαλής,adjective,sfi/sin,σφεῖς,pronoun,au)toi=si,αὐτός,pronoun,kaqarmou\s,καθαρμός,noun,prosfe/rontes,προσφέρω,verb,kai\,καί,conjunction,e)paoida\s,ἐπαοιδή,noun,loutrw=n,te,τε,particle,a)pe/xesqai,ἀπέχω,verb,keleu/ontes,κελεύω,verb,kai\,καί,conjunction,e)desma/twn,ἔδεσμα,noun,pollw=n,πολύς,adjective,kai\,καί,conjunction,a)nepithdei/wn,ἀνεπιτήδειος,adjective,a)nqrw/poisi,nose/ousin,νοσέω,verb,e)sqi/ein,ἐσθίω,verb,qalassi/wn,θαλάσσιος,adjective,me\n,μέν,particle,tri/glhs,τρίγλη,noun,melanou/rou,μελάνουρος,noun,kestre/os,κεστρεύς,noun,e)gxe/luos,ἔγχελυς,noun,ou(=toi,οὗτος,pronoun,ga\r,γάρ,particle,oi(,ὁ,article,i)xqu/es,ἰχθύς,noun,ei)si\n,εἰμί,verb,e)pikairo/tatoi),ἐπίκαιρος,adjective,krew=n,κρέας,noun,de\,δέ,particle,ai)gei/ou,αἴγειος,adjective,kai\,καί,conjunction,e)la/fwn,ἔλαφος,noun,kai\,καί,conjunction,xoiri/wn,χοιρίον,noun,kai\,καί,conjunction,kuno\stau=ta,,,ga\r,γάρ,particle,λουτρόν,noun,ἄνθρωπος,noun,krew=n,κρέας,noun,taraktikw/tata/,ταρακτικός,adjective,e)sti,εἰμί,verb,th=s,ὁ,article,koili/hs',κοιλία,noun,o)rni/qwn,ὄρνις,noun,de\,δέ,particle,a)lektruo/nos,ἀλεκτρυών,adjective,kai\,καί,conjunction,trugo/nos,τρυγών,noun,kai\,καί,conjunction,w)ti/dos,ὠτίς,noun,e)/ti,ἔτι,adverb,de\,δέ,particle,o(/sa,ὅσος,adjective,nomi/zetai,νομίζω,verb,i)sxuro/tata,ἰσχυρός,adjective,ei)=nai,εἰμί,verb,laxa/nwn,λάχανον,adjective,de\,δέ,particle,mi/nqhs,skoro/dou,σκόροδον,noun,kai\,καί,conjunction,kromu/oudrimu\,ga\r,γάρ,particle,a)sqene/onti,ἀσθενέω,verb,ou)de\n,οὐδείς,pronoun,cumfe/rei),συμφέρω,verb,i(ma/tion,ἱμάτιον,adjective,de\,δέ,particle,me/lan,μέλας,adjective,mh\,μή,conjunction,e)/xeinqanatw=des,ga\r,γάρ,particle,to\,ὁ,article,me/lan',μέλας,adjective,mhde\,μηδέ,particle,e)n,ἐν,preposition,ai)gei/w|,αἴγειος,adjective,katake/esqai,κατάκειμαι,verb,de/rmati,δέρμα,noun,mhde\,μηδέ,particle,fore/ein,φορέω,verb,mhde\,μηδέ,particle,po/da,πούς,noun,e)pi\,ἐπί,preposition,podi\,ποδίς,noun,e)/xein,ἔχω,verb,mhde\,μηδέ,particle,xei=ra,χείρ,noun,e)pi\,ἐπί,preposition,xeiri\tau=ta,ga\r,γάρ,particle,pa/nta,πᾶς,adjective,kwlu/mata,κώλυμα,noun,ei)=nai),εἰμί,verb
