word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS
oi(\,ἕ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,*draka/nw|,s',σύ,pronoun,oi(\,ἕ,pronoun,d',δέ,particle,*)ika/rw|,Ἴκαρος,proper,h)nemoe/ssh|,ἠνεμόεις,adjective,fa/s',φημί,verb,oi(\,ἕ,pronoun,d',δέ,particle,e)n,ἐν,preposition,*na/cw|,Νάξος,proper,di=on,δῖος,adjective,ge/nos,γένος,noun,ei)rafiw=ta,oi(\,ἕ,pronoun,de/,δέ,particle,s',σύ,pronoun,e)p',ἐπί,preposition,*)alfeiw=|,Ἀλφειός,proper,potamw=|,ποταμός,noun,baqudinh/enti,βαθυδίνης,adjective,kusame/nhn,κύω,verb,*seme/lhn,Σεμέλη,proper,teke/ein,τίκτω,verb,*dii\,Ζεύς,proper,terpikerau/nw|,τερπικέραυνος,adjective,,,,
a)/lloi,ἄλλος,adjective,d',δέ,particle,e)n,ἐν,preposition,*qh/bh|sin,a)/nac,ἄναξ,noun,se,σύ,pronoun,le/gousi,λέγω,verb,gene/sqai,γίγνομαι,verb,yeudo/menoi,ψεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Θῆβαι,proper,,
se\,σύ,pronoun,d',δέ,particle,e)/tikte,τίκτω,verb,path\r,a)ndrw=n,ἀνήρ,noun,te,τε,particle,qew=n,θέα,noun,te,τε,particle,pollo\n,πολύς,adjective,a)p',ἀπό,preposition,a)nqrw/pwn,ἄνθρωπος,noun,kru/ptwn,κρύπτω,verb,leukw/lenon,λευκώλενος,adjective,*(/hrhn,Ἥρα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πατήρ,noun,,
e)/sti,εἰμί,verb,de/,δέ,particle,tis,τις,pronoun,*nu/sh,u(/paton,ὕπατος,adjective,o)/ros,ὄρος,adjective,a)nqe/on,ἀνθέω,verb,u(/lh|,ὕλη,noun,thlou=,τηλοῦ,adverb,*foini/khs,Φοινίκη,proper,sxedo\n,σχεδόν,adverb,*ai)gu/ptoio,Αἴγυπτος,proper,r(oa/wn,ῥόα,noun,kai/,καί,conjunction,oi(,ἕ,pronoun,a)nasth/sousin,ἀνίστημι,verb,a)ga/lmata,po/ll',πολύς,adjective,e)ni\,ἐν,preposition,nhoi=s,ναός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,Νύση,proper,ἄγαλμα,noun
w(\s,ὅς,pronoun,de\,δέ,particle,ta\,ὁ,article,me\n,tri/a,τρεῖς,noun,soi\,σύ,pronoun,pa/ntws,πάντως,adverb,triethri/sin,τριετηρίς,noun,ai)ei\,ἀεί,adverb,a)/nqrwpoi,ἄνθρωπος,noun,r(e/cousi,ῥέζω,verb,telhe/ssas,τελήεις,adjective,e(kato/mbas,ἑκατόμβη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,
h)=,ἦ,adverb,kai\,καί,conjunction,kuane/h|sin,κυάνεος,adjective,e)p',o)fru/si,ὀφρύς,noun,neu=se,νέω,verb,*kroni/wn,Κρόνια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπί,preposition,,
a)mbro/siai,ἀμβρόσιος,adjective,d',δέ,particle,a)/ra,ἄρα,particle,xai=tai,e)perrw/santo,ἐπιρρώννυμι,verb,a)/naktos,ἄναξ,noun,krato\s,κράς,verb,a)p',ἀπό,preposition,a)qana/toio,ἀθάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χαίτη,noun,,
me/gan,μέγας,adverb,d',δέ,particle,e)le/licen,ἐλελίζω,verb,*)/olumpon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ὄλυμπος,proper,,
w(\s,ὅς,pronoun,ei)pw\n,εἶπον,verb,e)pe/neuse,ἐπινέω,verb,karh/ati,mhti/eta,μητίετα,adjective,*zeu/s,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κάρα,noun,,
i(/lhq',ἵλημι,verb,ei)rafiw=ta,,,gunaimane/s,γυναιμανής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,de/,δέ,particle,s',σύ,pronoun,a)oidoi\,a(|domen,,,a)rxo/menoi,ἄρχω,verb,lh/gonte/s,λήγω,verb,t',τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀοιδός,noun,,
ou)de/,οὐδέ,particle,ph|,πη,particle,e)/sti,εἰμί,verb,sei=',e)pilhqome/nw|,ἐπιλανθάνομαι,verb,i(erh=s,ἱερά,noun,memnh=sqai,μιμνήσκω,verb,a)oidh=s,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,,
kai\,καί,conjunction,su\,σύ,pronoun,me\n,μέν,particle,ou(/tw,xai=re,χαίρω,verb,*diw/nus',Διόνυσος,proper,ei)rafiw=ta,,,su\n,σύν,preposition,mhtri\,μήτηρ,noun,*seme/lh|,Σεμέλη,proper,h(/n,ὅς,pronoun,per,πέρ,particle,kale/ousi,καλέω,verb,*quw/nhn,Θυώνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὕτως,adverb,,
