word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS
mou=sa/,Μοῦσα,proper,moi,ἐγώ,pronoun,e)/nnepe,ἐνέπω,verb,e)/rga,ἔργον,noun,poluxru/sou,πολύχρυσος,adjective,*)afrodi/ths,Ἀφροδίτη,proper,*ku/pridos,Κύπρις,proper,h(/te,ὅστε,pronoun,qeoi=sin,θεός,noun,e)pi\,ἐπί,preposition,gluku\n,γλυκύς,adjective,i(/meron,ἵμερος,adjective,w)=rse,ὄρνυμι,verb,kai/,καί,conjunction,t',τε,particle,e)dama/ssato,δαμάζω,verb,fu=la,φῦλον,noun,kataqnhtw=n,καταθνητός,adjective,a)nqrw/pwn,ἄνθρωπος,noun,oi)wnou/s,οἰωνός,noun,te,τε,particle,diipete/as,Διιπετής,proper,kai\,καί,conjunction,qhri/a,θηρίον,noun,pa/nta,πᾶς,adjective,h)me\n,ἠμέν,conjunction,o(/s',ὅσος,adjective,h)/peiros,ἤπειρος,adjective,polla\,πολύς,adjective,tre/fei,τρέφω,verb,h)d',ἠδέ,conjunction,o(/sa,ὅσος,adjective,po/ntos,πόντος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=sin,πᾶς,adjective,d',δέ,particle,e)/rga,ἔργον,noun,me/mhlen,μέλω,verb,e)ustefa/nou,εὐστέφανος,adjective,*kuqerei/hs,Κυθέρεια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trissa\s,τρισσός,adjective,d',δέ,particle,ou),οὐ,adverb,du/natai,δύναμαι,verb,pepiqei=n,πείθω,verb,fre/nas,φρήν,noun,ou)d',οὐδέ,particle,a)path=sai,ἀπατάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kou/rhn,κόρη,noun,t',τε,particle,ai)gio/xoio,αἰγίοχος,adjective,*dio/s,Ζεύς,proper,glaukw=pin,γλαυκῶπις,noun,*)aqh/nhn,Ἀθήνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,oi(,ἕ,pronoun,eu)/aden,ἁνδάνω,verb,e)/rga,ἔργον,noun,poluxru/sou,πολύχρυσος,adjective,*)afrodi/ths,Ἀφροδίτη,proper,a)ll',ἀλλά,adverb,a)/ra,ἄρος,adjective,oi(,ὁ,article,po/lemoi/,πόλεμος,noun,te,τε,particle,a(/don,ἁνδάνω,verb,kai\,καί,conjunction,e)/rgon,ἔργον,noun,*)/arhos,Ἄρης,proper,u(smi=nai/,ὑσμίνη,noun,te,τε,particle,ma/xai,μάχη,noun,te,τε,particle,kai\,καί,conjunction,a)glaa\,ἀγλαός,adjective,e)/rg',ἔργον,noun,a)legu/nein,ἀλεγύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw/th,πρότερος,adjective,te/ktonas,τέκτων,adjective,a)/ndras,ἀνήρ,noun,e)pixqoni/ous,ἐπιχθόνιος,adjective,e)di/dace,διδάσκω,verb,poih=sai,ποιέω,verb,sati/nas,σατίνη,adjective,te,τε,particle,kai\,καί,conjunction,a(/rmata,ἅρμα,noun,poiki/la,ποικίλος,adjective,xalkw=|,χαλκός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,de/,δέ,particle,te,τε,particle,parqenika\s,παρθενικός,adjective,a(palo/xroas,ἁπαλόχροος,adverb,e)n,ἐν,preposition,mega/roisin,μέγαρον,noun,a)glaa\,ἀγλαός,adjective,e)/rg',ἔργον,noun,e)di/dacen,διδάσκω,verb,e)pi\,ἐπί,preposition,fresi\,φρήν,noun,qei=sa,τίθημι,verb,e(ka/sth|,ἕκαστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de/,οὐδέ,particle,pot',ποτός,adjective,*)arte/mida,Ἄρτεμις,proper,xrushla/katon,χρυσηλάκατος,adjective,keladeinh\n,κελαδεινός,adjective,da/mnatai,δάμνημι,verb,e)n,ἐν,preposition,filo/thti,φιλότης,noun,filommeidh\s,φιλομμειδής,adjective,*)afrodi/th,Ἀφροδίτη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,th=|,ὁ,article,a(/de,ὅδε,pronoun,to/ca,τόξον,noun,kai\,καί,conjunction,ou)/resi,ὄρος,adjective,qh=ras,θήρ,noun,e)nai/rein,ἐναίρω,verb,fo/rmigge/s,φόρμιγξ,noun,te,τε,particle,xoroi/,χορός,noun,te,τε,particle,diapru/sioi/,διαπρύσιος,adjective,t',τε,particle,o)lolugai\,ὀλολυγή,noun,a)/lsea/,ἄλσις,noun,te,τε,particle,skio/enta,σκιόεις,adjective,dikai/wn,δίκαιος,adjective,te,τε,particle,pto/lis,πόλις,adjective,a)ndrw=n,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,me\n,μέν,particle,ai)doi/h|,αἰδοῖος,adjective,kou/rh|,κόρη,noun,a(/de,ἁνδάνω,verb,e)/rg',ἔργον,noun,*)afrodi/ths,Ἀφροδίτη,proper,*(isti/h|,Ἑστία,proper,h(\n,ὅς,pronoun,prw/thn,πρότερος,adjective,te/keto,τίκτω,verb,*kro/nos,Κρόνος,proper,a)gkulomh/ths,ἀγκυλομήτης,adjective,au)=tis,αὖθις,adverb,d',δέ,particle,o(plota/thn,ὁπλότατος,adjective,boulh=|,βουλεύς,noun,*dio\s,Ζεύς,proper,ai)gio/xoio,αἰγίοχος,adjective,po/tnian,πότνια,noun,h(\n,ὅς,pronoun,e)mnw=nto,μνάομαι,verb,*poseida/wn,Ποσειδεών,proper,kai\,καί,conjunction,*)apo/llwn,Ἀπόλλων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
