word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS
ai)doi/hn,αἰδοῖος,adjective,xrusoste/fanon,χρυσοστέφανος,adjective,kalh\n,καλός,noun,*)afrodi/thn,Ἀφροδίτη,proper,a(|somai,h(\,ὅς,pronoun,pa/shs,πᾶς,adjective,*ku/prou,Κύπρος,proper,krh/demna,κρήδεμνον,noun,le/logxen,λαγχάνω,verb,ei)nali/hs,ἐνάλιος,adjective,o(/qi,ὅθι,adverb,min,μιν,pronoun,*zefu/rou,Ζέφυρος,proper,me/nos,μένος,noun,u(gro\n,ὑγρός,adjective,a)e/ntos,ἄημι,verb,h)/neiken,ἀνίημι,verb,kata\,κατά,preposition,ku=ma,κῦμα,noun,polufloi/sboio,πολύφλοισβος,adjective,qala/sshs,θάλασσα,noun,a)frw=|,ἀφρός,noun,e)/ni,ἐν,preposition,malakw=|,μαλακός,adjective,,
th\n,ὁ,article,de\,δέ,particle,xrusa/mpukes,χρυσάμπυξ,noun,*(=wrai,Ὥρα,proper,de/cant',a)spasi/ws,ἀσπάσιος,adjective,peri\,περί,preposition,d',δέ,particle,a)/mbrota,ἄμβροτος,adjective,ei(/mata,εἷμα,noun,e(/ssan,ἵζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέχομαι,verb
krati\,κράς,verb,d',δέ,particle,e)p',ἐπί,preposition,a)qana/tw|,ἀθάνατος,adjective,stefa/nhn,eu)/tukton,εὔτυκτος,adjective,e)/qhkan,τίθημι,verb,kalh/n,καλός,noun,xrusei/hn,χρύσεος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,στεφάνη,adjective
e)n,ἐν,preposition,de\,δέ,particle,trhtoi=si,τρητός,adjective,loboi=sin,λοβός,noun,a)/nqem',o)reixa/lkou,ὀρείχαλκος,noun,xrusoi=o/,χρύσεος,adjective,te,τε,particle,timh/entos,τιμήεις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄνθεμα,noun
deirh=|,δειρή,noun,d',δέ,particle,a)mf',ἀμφί,preposition,a(palh=|,ἁπαλός,adjective,kai\,sth/qesin,στῆθος,noun,a)rgufe/oisin,ἀργύφεος,adjective,o(/rmoisi,ὅρμος,noun,xruse/oisin,χρύσεος,adjective,e)ko/smeon,κοσμέω,verb,oi(=si/,ὅς,pronoun,per,πέρ,particle,au)tai\,αὐτός,pronoun,*(=wrai,Ὥρα,proper,kosmei/sqhn,κοσμέω,verb,xrusa/mpukes,χρυσάμπυξ,noun,o(ppo/t',ὁπότε,adverb,i)/oien,εἶμι,verb,e)s,εἰς,preposition,xoro\n,χορός,noun,i(mero/enta,ἱμερόεις,adjective,qew=n,θέα,noun,kai\,καί,conjunction,dw/mata,δῶμα,noun,patro/s,πατήρ,noun,καί,conjunction
au)ta\r,ἀτάρ,particle,e)peidh\,ἐπεί,conjunction,pa/nta,πᾶς,adjective,peri\,περί,preposition,xroi\+,ko/smon,κόσμος,noun,e)/qhkan,τίθημι,verb,h)=gon,ἄγω,verb,e)s,εἰς,preposition,a)qana/tous,ἀθάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χρώς,noun
oi(\,ἕ,pronoun,d',δέ,particle,h)spa/zonto,ἀσπάζομαι,verb,i)do/ntes,εἶδον,verb,xersi/,t',τε,particle,e)decio/wnto,δεξιόομαι,verb,kai\,καί,conjunction,h)rh/santo,ἀράομαι,verb,e(/kastos,ἕκαστος,adjective,ei)=nai,εἰμί,verb,kouridi/hn,κουρίδιος,adjective,a)/loxon,ἄλοχος,adjective,kai\,καί,conjunction,oi)/kad',οἴκαδε,adverb,a)/gesqai,ἄγω,verb,ei)=dos,εἶδος,noun,qauma/zontes,θαυμάζω,verb,i)ostefa/nou,ἰοστέφανος,adjective,*kuqerei/hs,Κυθέρεια,proper,,,,,,,,,,,,,,,,χείρ,noun
xai=r',χαίρω,verb,e(likoble/fare,ἑλικοβλέφαρος,adjective,glukumei/lixe,γλυκυμείλιχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do\s,δίδωμι,verb,d',δέ,particle,e)n,ἐν,preposition,a)gw=ni,ἀγών,noun,ni/khn,tw=|de,ὅδε,pronoun,fe/resqai,φέρω,verb,e)mh\n,ἐμός,adjective,d',δέ,particle,e)/ntunon,ἐντύνω,verb,a)oidh/n,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νίκη,noun
au)ta\r,ἀτάρ,particle,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,sei=o,σύ,pronoun,kai\,a)/llhs,ἄλλος,adjective,mnh/som',μιμνήσκω,verb,a)oidh=s,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction
