word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/114/@_form,word/115/@_form,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS
a)ll',ἀλλά,adverb,e)gw/,ἐγώ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,o(/per,ὅσπερ,adjective,kai\,καί,conjunction,pro\s,πρός,preposition,tou\s,ὁ,article,parakaqhme/nous,παρακάθημαι,verb,a)rti/ws,ἄρτιος,adjective,e)/legon,λέγω,verb,qauma/zw,θαυμάζω,verb,touti\,οὗτος,pronoun,to\,ὁ,article,pra=gma,πρᾶγμα,noun,ei),εἰ,conjunction,dh\,δή,particle,nh\,νή,preposition,*di/a,Δίη,proper,kata\,κατά,preposition,*dhmosqe/nous,Δημοσθένης,proper,mo/nou,μόνος,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,mh/te,μήτε,particle,oi(,ὁ,article,no/moi,νόμος,noun,i)sxu/ousin,ἰσχύω,verb,oi(,ἕ,pronoun,keleu/ontes,κελεύω,verb,ku/ria,κύριος,adjective,ei)=nai,εἰμί,verb,o(/sa,ὅσος,adjective,a)/n,ἄν,particle,tis,τις,pronoun,au)to\s,αὐτός,pronoun,kaq',κατά,preposition,au(tou=,ἑαυτοῦ,pronoun,dia/qhtai,διατίθημι,verb,mh/te,μήτε,particle,ta\,ὁ,article,yhfi/smata,ψήφισμα,noun,tou=,ὁ,article,dh/mou,δῆμος,noun,kaq',κατά,preposition,a(\,ὅς,pronoun,u(mei=s,σύ,pronoun,me\n,μέν,particle,o)mwmo/kate,ὄμνυμι,verb,th\n,ὁ,article,yh=fon,ψῆφος,noun,oi)/sein,φέρω,verb,e)/grayen,γράφω,verb,de\,δέ,particle,au)ta\,αὐτός,pronoun,ou)dei\s,οὐδείς,pronoun,tw=n,ὁ,article,e)xqrw=n,ἐχθρός,adjective,tw=n,ὁ,article,*dhmosqe/nous,Δημοσθένης,proper,a)ll',ἀλλά,adverb,au)to\s,αὐτός,pronoun,ou(=tos,οὗτος,pronoun,e)yhfi/sato,ψηφίζομαι,verb,de\,δέ,particle,o(,ὁ,article,dh=mos,δῆμος,noun,tou/tou,οὗτος,pronoun,keleu/ontos,κελεύω,verb,kai\,καί,conjunction,mo/non,μόνος,adjective,ou)x,οὐ,adverb,e(kousi/ws,ἑκούσιος,adjective,au(to\n,ἑαυτοῦ,pronoun,a)pollu/ontos,ἀπόλλυμι,verb,kai/toi,καίτοι,particle,to\,ὁ,article,di/kaion,δίκαιος,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,a(plou=n,ἁπλόος,adjective,u(polamba/nw,ὑπολαμβάνω,verb,h(mi=n,ἐγώ,pronoun,ei)=nai,εἰμί,verb,pro\s,πρός,preposition,*dhmosqe/nh,Δημοσθένης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,ga\r,γάρ,particle,e)pi\,ἐπί,preposition,tw=n,ὁ,article,i)di/wn,ἴδιος,adjective,e)gklhma/twn,ἔγκλημα,noun,polla\,πολύς,adjective,dia\,διά,preposition,proklh/sewn,πρόκλησις,noun,kri/netai,κρίνω,verb,ou(/tws,οὕτως,adverb,kai\,καί,conjunction,touti\,οὗτος,pronoun,to\,ὁ,article,pra=gma,πρᾶγμα,noun,ke/kritai,κρίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ske/yasqe,σκέπτομαι,verb,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ou(twsi/,οὑτωσί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)|tia/sato/,αἰτιάομαι,verb,se,σύ,pronoun,w)=,ὦ,interjection,*dhmo/sqenes,Δημοσθένης,proper,o(,ὁ,article,dh=mos,δῆμος,noun,ei)lhfe/nai,λαμβάνω,verb,ei)/kosi,εἴκοσι,verb,ta/lanta,τάλαντον,noun,e)pi\,ἐπί,preposition,th=|,ὁ,article,politei/a|,πολιτεία,noun,kai\,καί,conjunction,toi=s,ὁ,article,no/mois,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,su\,σύ,pronoun,e)/carnos,ἔξαρνος,adjective,e)ge/nou,γίγνομαι,verb,mh\,μή,conjunction,labei=n,λαμβάνω,verb,kai\,καί,conjunction,pro/klhsin,πρόκλησις,noun,gra/yas,γράφω,verb,e)n,ἐν,preposition,yhfi/smati,ψήφισμα,noun,prosh/negkas,προσφέρω,verb,tw=|,ὁ,article,dh/mw|,δῆμος,noun,e)pitre/pwn,ἐπιτρέπω,verb,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,th\n,ὁ,article,ai)ti/an,αἰτία,noun,e)/sxes,ἔχω,verb,th=|,ὁ,article,boulh=|,βουλεύς,noun,th=|,ὁ,article,e)c,ἐκ,preposition,*)arei/ou,ἄρειος,adjective,pa/gou,πᾶγος,noun,kai\,καί,conjunction,sukofantei=s,συκοφαντέω,verb,th\n,ὁ,article,boulh/n,βουλή,noun,proklh/seis,πρόκλησις,noun,e)ktiqei\s,ἐκτίθημι,verb,kai\,καί,conjunction,e)rwtw=n,ἐρωτάω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,proklh/sesin,πρόκλησις,noun,po/qen,πόθεν,adverb,e)/labes,ἐλαύνω,verb,to\,ὁ,article,xrusi/on,χρυσίον,noun,kai\,καί,conjunction,ti/s,τίς,pronoun,h)=n,εἰμί,verb,soi,σύ,pronoun,o(,ὁ,article,dou/s,δίδωμι,verb,kai\,καί,conjunction,pou=,πού,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleutw=n,τελευτάω,verb,d',δέ,particle,i)/sws,ἴσως,adverb,e)rwth/seis,ἐρωτάω,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,e)xrh/sw,χράω,verb,labw\n,λαμβάνω,verb,tw=|,ὁ,article,xrusi/w|,χρυσίον,noun,w(/sper,ὥσπερ,adverb,trapezitiko\n,τραπεζιτικός,adjective,lo/gon,λόγος,noun,para\,παρά,preposition,th=s,ὁ,article,boulh=s,βουλεύς,noun,a)paitw=n,ἀπαιτέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\e\,δέω,verb,tou)nanti/on,ἐναντίον,adverb,h(de/ws,ἡδέως,adverb,a)\n,ἄν,particle,para\,παρά,preposition,sou=,σύ,pronoun,puqoi/mhn,πύθω,verb,ti/nos,τίς,pronoun,a)\n,ἄν,particle,e(/neka,ἕνεκα,preposition,h(,ὁ,article,e)c,ἐκ,preposition,*)arei/ou,ἄρειος,adjective,pa/gou,πᾶγος,noun,boulh\,βουλή,noun,e)/fh,φημί,verb,a)di/kws,ἄδικος,adjective,fhsi,φημί,verb,tou,τις,pronoun,a)\n,ἄν,particle,e)m,ἐν,preposition,dikai/ws,δίκαιος,adjective,ta\s,ὁ,article,a)pofa/seis,ἀπόφασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,e)/sti,εἰμί,verb,tau=ta,οὗτος,pronoun,a)lla\,ἀλλά,adverb,pa/ntwn,πᾶς,adjective,fanh/sontai,φαίνω,verb,ma/lista,μάλιστα,adverb,dhmotikw/tata,δημοτικός,adjective,tw=|,ὁ,article,pra/gmati,πρᾶγμα,noun,kexrhme/noi,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,me\n,ἐγώ,pronoun,ga\r,γάρ,particle,a)dikou=ntas,ἀδικέω,verb,a)pe/fhnan,ἀποφαίνω,verb,kai\,καί,conjunction,tau=,ταῦ,noun,t',τε,particle,ou)x,οὐ,adverb,e(ko/ntes,ἑκών,adjective,a)ll',ἀλλά,adverb,u(po\,ὑπό,preposition,tou=,ὁ,article,dh/mou,δῆμος,noun,polla/kis,πολλάκις,adverb,a)nagkazo/menoi,ἀναγκάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,kola/sai,κολάζω,verb,tou\s,ὁ,article,a)dikou=ntas,ἀδικέω,verb,ou)k,οὐ,adverb,e)f',ἐπί,preposition,au(toi=s,ἑαυτοῦ,pronoun,e)poi/hsan,ποιέω,verb,a)ll',ἀλλά,adverb,u(mi=n,σύ,pronoun,a)pe/dosan,ἀποδίδωμι,verb,toi=s,ὁ,article,kuri/ois,κύριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
