word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS
tw=n,ὁ,article,me\n,μέν,particle,lo/gwn,λόγος,noun,tw=n,ὁ,article,mello/ntwn,μέλλω,verb,r(hqh/sesqai,ἐρῶ,verb,e)pi\,ἐπί,preposition,tw=|de,ὅδε,pronoun,tw=|,ὁ,article,ta/fw|,τάφος,noun,peri/,περί,preposition,te,τε,particle,*lewsqe/nous,Λεωσθένης,proper,tou=,ὁ,article,strathgou=,στρατηγός,noun,kai\,καί,conjunction,peri\,περί,preposition,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,tw=n,ὁ,article,met',μετά,preposition,e)kei/nou,ἐκεῖνος,pronoun,teteleuthko/twn,τελευτάω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,pole/mw|,πόλεμος,noun,w(s,ὡς,conjunction,h)=san,εἰμί,verb,a)/ndres,ἀνήρ,noun,a)gaqoi/,ἀγαθός,adjective,ma/rtus,μής,noun,au)to\s,αὐτός,pronoun,o(,ὁ,article,xro/nos,χρόνος,noun,o(,ὁ,article,ta\s,ὁ,article,pra/ceis,πρᾶξις,adjective,p,n,pw,πω,particle,e(w/rake,ὁράω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,panti\,πᾶς,adjective,ai)w=ni,αἰών,noun,g,ou)/te,οὔτε,adverb,a)/ndras,ἀνήρ,noun,a)mei/nous,ἀμείνων,adjective,tw=n,ὁ,article,teteleuthko/twn,τελευτάω,verb,ou)/te,οὔτε,adverb,pra/ceis,πρᾶξις,adjective,megaloprepeste/ras,μεγαλοπρεπής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,kai\,καί,conjunction,ma/lista,μάλιστα,adverb,nu=n,νῦν,adverb,fobou=mai,φοβέω,verb,mh/,μή,conjunction,moi,ἐγώ,pronoun,sumbh=|,συμβαίνω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,e)la/ttw,ἐλάσσων,adjective,fai/nesqai,φαίνω,verb,tw=n,ὁ,article,e)/rgwn,ἔργον,noun,tw=n,ὁ,article,gegenhme/nwn,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh\n,πλήν,preposition,kat',κατά,preposition,e)kei=no/,ἐκεῖ,adverb,ge,γε,particle,pa/lin,πάλιν,adverb,qarrw=,θαρσέω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,ta\,ὁ,article,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,e)k,ἐκ,preposition,leipo/mena,λείπω,verb,u(mei=s,σύ,pronoun,oi(,ἕ,pronoun,a)kou/ontes,ἀκούω,verb,prosqh/sete,προσθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)n,ἐν,preposition,toi=s,ὁ,article,tuxou=sin,τυγχάνω,verb,oi(,ὁ,article,lo/goi,λόγος,noun,r(hqh/sontai,ἐρῶ,verb,a)ll',ἀλλά,adverb,e)n,ἐν,preposition,au)toi=s,αὐτός,pronoun,toi=s,ὁ,article,ma/rtusi,μάρτυς,noun,tw=n,ὁ,article,e)kei/nois,ἐκ,preposition,pepragme/nwn,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/cion,ἄξιος,adjective,de/,δέ,particle,e)stin,εἰμί,verb,e)painei=n,ἐπαινέω,verb,th\n,ὁ,article,me\n,μέν,particle,po/lin,πόλις,adjective,h(mw=n,ἐγώ,pronoun,th=s,ὁ,article,proaire/sews,προαίρεσις,noun,e(/neken,ἕνεκα,preposition,to\,ὁ,article,proele/sqai,προαιρέω,verb,o(/moia,ὅμοιος,adjective,kai\,καί,conjunction,e)/ti,ἔτι,adverb,semno/tera,σεμνός,adjective,kai\,καί,conjunction,kalli/w,καλλίας,noun,tw=n,ὁ,article,pro/teron,πρότερος,adjective,au)th=|,αὐτός,pronoun,pepragme/nwn,πράσσω,verb,tou\s,ὁ,article,de\,δέ,particle,teteleuthko/tas,τελευτάω,verb,th=s,ὁ,article,a)ndrei/as,ἀνδρεία,noun,th=s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,pole/mw|,πόλεμος,noun,to\,ὁ,article,mh\,μή,conjunction,kataisxu=nai,καταισχύνω,verb,ta\s,ὁ,article,tw=n,ὁ,article,progo/nwn,a)reta/s,to\n,ὁ,article,de\,δέ,particle,strathgo\n,στρατηγός,noun,*lewsqe/nh,Λεωσθένης,proper,dia\,διά,preposition,a)mfo/tera,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,πρόγονος,adjective,ἀρετή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,te,τε,particle,ga\r,γάρ,particle,proaire/sews,προαίρεσις,noun,ei)shghth\s,εἰσηγητής,noun,th=|,ὁ,article,po/lei,πόλις,adjective,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,th=s,ὁ,article,stratei/as,στρατεία,adjective,h(gemw\n,ἡγεμών,noun,toi=s,ὁ,article,poli/tais,πολίτης,noun,kate/sth,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,th=s,ὁ,article,po/lews,πόλις,adjective,diecie/nai,διέξειμι,verb,to\,ὁ,article,kaq',κατά,preposition,e(/kaston,ἕκαστος,adjective,w(=n,ὅς,pronoun,pro/,πρό,preposition,te,τε,particle,ron,,,pa=san,πᾶς,adjective,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,eu)erge/thken,εὐεργετέω,verb,ou)/te,οὔτε,adverb,o(,ὁ,article,xro/nos,χρόνος,noun,o(,ὁ,article,parw\n,πάρειμι,verb,i(kano/s,ἱκανός,adjective,ou)/te,οὔτε,adverb,o(,ὁ,article,kairo\s,καιρός,noun,a(rmo/ttwn,ἁρμόζω,verb,tw=|,ὁ,article,makrologei=n,μακρολογέω,verb,ou)/te,οὔτε,adverb,r(a/|dion,ῥαίδιον,noun,e(/na,ἕνος,adjective,o)/nta,εἰμί,verb,tosau/tas,τοσοῦτος,adjective,kai\,καί,conjunction,thlikau/tas,τηλικοῦτος,adjective,pra/ceis,πρᾶξις,adjective,e)pelqei=n,kai\,mnhmoneu=sai,μνημονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπέρχομαι,verb,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,kefalai/ou,κεφάλαιος,adjective,de\e\,δέω,verb,ou)k,οὐ,adverb,o)knh/sw,ὀκνέω,verb,ei)pei=n,εἶπον,verb,peri\,περί,preposition,au)th=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,ga\r,γάρ,particle,o(,ὁ,article,h(/lios,ἥλιος,noun,pa=san,πᾶς,adjective,th\n,ὁ,article,oi)koume/nhn,οἰκουμένη,noun,e)pe/rxetai,ἐπέρχομαι,verb,ta\s,ὁ,article,me\n,μέν,particle,w(/ras,ὥρα,adjective,diakri/nwn,διακρίνω,verb,ei)s,εἰς,preposition,to\,ὁ,article,pre/pon,πρέπω,verb,kai\,καί,conjunction,kalw=s,καλέω,verb,pa/nta,πᾶς,adjective,kaqista/s,καθίστημι,verb,toi=s,ὁ,article,de\,δέ,particle,sw/frosi,σώφρων,noun,kai\,καί,conjunction,e)pieike/si,ἐπιεικής,adjective,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,e)pimelou/menos,ἐπιμελέομαι,verb,kai\,καί,conjunction,gene/sews,γένεσις,noun,kai\,καί,conjunction,trofh=s,τροφεύς,noun,kai\,καί,conjunction,karpw=n,καρπός,noun,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,a(,ὁ,article,pa/ntwn,tw=n,ei)s,εἰς,preposition,to\n,ὁ,article,bi/on,βίος,adjective,xrhsi/mwn,χρήσιμος,adjective,ou(/tws,οὕτως,adverb,kai\,καί,conjunction,h(,po/lis,πόλις,adjective,h(mw=n,ἐγώ,pronoun,diatelei=,διατελής,adjective,tou\s,ὁ,article,me\n,μέν,particle,kakou\s,κακός,adjective,kola/zousa,κολάζω,verb,toi=s,ὁ,article,πᾶς,adjective,ὁ,article,ὁ,article,de\,δέ,particle,dikai/ois,δίκαιος,adjective,bohqou=sa,βοηθέω,verb,to\,ὁ,article,de\,δέ,particle,i)/son,ἴσος,adjective,a)nti/,ἀντί,preposition,th=s,ὁ,article,a)diki/as,ἀδικία,noun,a(/pasin,ἅπας,adjective,a)pone/mousa,ἀπονέμω,verb,toi=s,ὁ,article,de\,δέ,particle,i)di/ois,ἴδιος,adjective,kindu/nois,κίνδυνος,noun,kai\,καί,conjunction,dapa/nais,δαπάνη,noun,koinh\n,κοινός,adjective,a)/deian,ἄδεια,noun,toi=s,ὁ,article,*(/ellhsin,Ἕλλη,proper,paraskeua/zousa,παρασκευάζω,verb
peri\,περί,preposition,me\n,μέν,particle,ou)=n,οὐ,adverb,tw=n,ὁ,article,koinw=n,κοινός,adjective,e)/rgwn,ἔργον,noun,th=s,ὁ,article,po/lews,πόλις,adjective,w(/sper,ὥσπερ,adverb,proei=pon,προεῖπον,verb,fra/sai,φράζω,verb,paralei/yw,παραλείφω,verb,peri\,περί,preposition,de\,δέ,particle,*lewsqe/nous,Λεωσθένης,proper,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,tou\s,ὁ,article,lo/gous,λόγος,noun,poih/somai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
