word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS
*pu/rrou,Πύρρος,proper,to\n,ὁ,article,e(/teron,ἕτερος,adjective,lttw=ngt,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,ui(w=n,υἱός,noun,ui(opoihsame/nou,*)/endion,Ἔνδιος,proper,kai\,καί,conjunction,tou/tou,οὗτος,pronoun,ple/on,πλέος,adjective,h)\,ἠέ,conjunction,ei)/kosin,εἴκοσι,verb,e)/th,ἔτης,noun,to\n,ὁ,article,klh=ron,κλῆρος,adjective,katasxo/ntos,κατέχω,verb,ei)=ta,εἶτα,adverb,a)poqano/ntos,ἀποθνήσκω,verb,*cenoklh=s,Ξενοκλέης,proper,laxw\n,λαγχάνω,verb,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,u(pe\r,ὑπέρ,preposition,*fi/lhs,Φίλα,proper,th=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,gunaiko/s,γυνή,noun,diemartu/rhsen,διαμαρτυρέω,verb,ei)=nai,εἰμί,verb,au)th\n,αὐτός,pronoun,gnhsi/an,γνήσιος,adjective,*pu/rrou,Πύρρος,proper,qugate/ra,θυγάτηρ,adjective,a)mfisbhtou/shs,ἀμφισβητέω,verb,tou=,ὁ,article,klh/rou,κλῆρος,adjective,th=s,ὁ,article,*)endi/ou,Ἔνδιος,proper,mhtro/s,μήτηρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e(a/lw,ἁλίσκομαι,verb,yeudomarturiw=n,ψευδομαρτυρία,noun,*nikodh/mou,kai\,καί,conjunction,au)tou=,αὐτός,pronoun,marturh/santos,μαρτυρέω,verb,e)gguh=sai,*pu/rrw|,Πύρρος,proper,th\n,ὁ,article,a)delfh\n,ἀδελφή,noun,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,gegone/nai,γίγνομαι,verb,th\n,ὁ,article,*fi/lhn,φῖλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Νικόδημος,proper,ἐγγυάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,*)endi/ou,Ἔνδιος,proper,de\,δέ,particle,a)delfo\s,no/qhn,νόθος,adjective,ei)=nai/,εἰμί,verb,fhsin,φημί,verb,e)c,e(tai/ras,ἑταίρα,noun,*pu/rrw|,Πύρρος,proper,genome/nhn,γίγνομαι,verb,kai\,καί,conjunction,ou(/tws,οὕτως,adverb,u(po\,ὑπό,preposition,*)endi/ou,Ἔνδιος,proper,e)kdoqh=nai,ἐκδίδωμι,verb,*cenoklei=,Ξενοκλέης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀδελφός,adjective,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,sta/sis,στάσις,adjective,stoxasmo/s,στοχασμός,noun,to\,de\,δέ,particle,e)/gklhma,ἔγκλημα,noun,yeudomarturiw=n,ψευδομαρτυρία,noun,kata\,tou=,ὁ,article,*nikodh/mou,Νικόδημος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,κατά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,o(,ὁ,article,a)delfo\s,th=s,ὁ,article,mhtro\s,μήτηρ,noun,th=s,ὁ,article,e)mh=s,*pu/rros,Πύρρος,proper,a)/pais,ἄπαις,noun,w)\n,εἰμί,verb,gnhsi/wn,γνήσιος,adjective,pai/dwn,παῖς,adjective,e)poih/sato,ποιέω,verb,*)/endion,Ἔνδιος,proper,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,to\n,ὁ,article,e)mo\n,ἐμός,adjective,u(o\n,υἱός,noun,e(autw=|,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀδελφός,adjective,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,klhrono/mos,κληρονόμος,noun,w)\n,εἰμί,verb,tw=n,e)kei/nou,ἐκεῖνος,pronoun,e)pebi/w,ἐπιβιόω,verb,plei/w,πλέως,adjective,e)/th,h)\,ἠέ,conjunction,ei)/kosi,εἴκοσι,verb,kai\,καί,conjunction,e)n,ἐν,preposition,xro/nw|,χρόνος,noun,tosou/tw|,τοσοῦτος,adjective,e)/xontos,ἔχω,verb,e)kei/nou,ἐκεῖνος,pronoun,to\n,ὁ,article,klh=ron,κλῆρος,adjective,ou)dei\s,οὐδείς,pronoun,pw/pote,πώποτε,adverb,prosepoih/sato,προσποιέω,verb,ou)d',οὐδέ,particle,h)mfisbh/thse,ἀμφισβητέω,verb,th=s,ὁ,article,klhronomi/as,κληρονομία,noun,e)kei/nw|,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἔτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleuth/santos,τελευτάω,verb,de\,δέ,particle,tou=,ὁ,article,a)delfou=,pe/rusin,πέρυσι,adverb,u(perba=sa,ὑπερβαίνω,verb,to\n,ὁ,article,teleutai=on,klhrono/mon,κληρονόμος,noun,gnhsi/a,γνήσιος,adjective,quga/thr,θυγάτηρ,adjective,tou=,ὁ,article,h(mete/rou,ἡμέτερος,adjective,qei/ou,θεῖος,noun,h(/kei,ἥκω,verb,fa/skousa,φάσκω,verb,ei)=nai,εἰμί,verb,*fi/lh,φῖλος,noun,kai\,καί,conjunction,ku/rios,κῦρος,noun,*cenoklh=s,Ξενοκλέης,proper,*ko/preios,κόπρειος,adjective,tou=,ὁ,article,*pu/rrou,Πύρρος,proper,klh/rou,κλῆρος,adjective,laxei=n,λαγχάνω,verb,th\n,ὁ,article,lh=cin,λῆξις,noun,h)ci/wsen,ἀξιόω,verb,o(\s,ὅς,pronoun,teteleu/thke,τελευτάω,verb,plei/w,πλέως,adjective,h)\,ἠέ,conjunction,ei)/kosin,εἴκοσι,verb,e)/th,ἔτης,noun,tri/a,τρεῖς,noun,ta/lanta,τάλαντον,noun,ti/mhma,τίμημα,noun,tw=|,ὁ,article,klh/rw|,κλῆρος,adjective,e)pigraya/menos,ἐπιγράφω,verb,ἀδελφός,adjective,τελευταῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfisbhtou/shs,ἀμφισβητέω,verb,de\,δέ,particle,th=s,ὁ,article,mhtro\s,th=s,ὁ,article,h(mete/ras,ἡμέτερος,adjective,a)delfh=s,ἀδελφή,noun,de\,tou=,ὁ,article,*pu/rrou,Πύρρος,proper,o(,ὁ,article,ku/rios,κῦρος,noun,th=s,ὁ,article,ei)lhxui/as,λαγχάνω,verb,tou=,ὁ,article,klh/rou,κλῆρος,adjective,gunaiko\s,γυνή,noun,e)to/lmhse,τολμάω,verb,diamarturh=sai,διαμαρτυρέω,verb,mh\,μή,conjunction,e)pi/dikon,ἐπίδικος,adjective,th=|,ὁ,article,h(mete/ra|,ἡμέτερος,adjective,mhtri\,μήτηρ,noun,to\n,ὁ,article,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,klh=ron,κλῆρος,adjective,ei)=nai,εἰμί,verb,w(s,ὡς,conjunction,ou)/shs,εἰμί,verb,gnhsi/as,γνήσιος,adjective,qugatro\s,θυγάτηρ,adjective,*pu/rrw|,Πύρρος,proper,ou(=,ἕ,pronoun,h)=n,εἰμί,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,o(,ὁ,article,klh=ros,κλῆρος,adjective,,,,μήτηρ,noun,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)piskhya/menoi,ἐπισκήπτω,verb,de\,δέ,particle,h(mei=s,ἐγώ,pronoun,kai\,ei)s,εἰς,preposition,u(ma=s,σύ,pronoun,ei)sagago/ntes,εἰσάγω,verb,to\n,diamarturh=sai,διαμαρτυρέω,verb,tolmh/santa,τολμάω,verb,kata\,κατά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,e)kei=no/n,ἐκεῖνος,pronoun,te,τε,particle,e)cele/gcantes,perifanw=s,περιφανής,adverb,ta\,ὁ,article,yeudh=,ψευδής,adverb,memarturhko/ta,th\n,ὁ,article,tw=n,ὁ,article,yeudomarturi/wn,ψευδομαρτυρέω,verb,di/khn,δίκη,adjective,ei(/lomen,αἱρέω,verb,par',παρά,preposition,u(mi=n,σύ,pronoun,kai\,καί,conjunction,toutoni\,οὗτος,pronoun,*niko/dhmon,Νικόδημος,proper,paraxrh=ma,παραχρῆμα,adverb,e)chle/gcamen,ἐξελέγχω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,au)toi=s,αὐτός,pronoun,dikastai=s,δικαστής,noun,a)naisxunto/taton,ἀναίσχυντος,adjective,th=|,ὁ,article,marturi/a|,μαρτυρία,noun,o)/nta,εἰμί,verb,tau/th|,οὗτος,pronoun,o(/s,ὅς,pronoun,ge,γε,particle,e)to/lmhse,τολμάω,verb,marturh=sai,μαρτυρέω,verb,e)gguh=sai,ἐγγυάω,verb,tw=|,ὁ,article,qei/w|,θεῖος,noun,tw=|,ὁ,article,h(mete/rw|,ἡμέτερος,adjective,th\n,ὁ,article,a)delfh\n,ἀδελφή,noun,th\n,ὁ,article,ἐξελέγχω,verb,μαρτυρέω,verb,e(autou=,ἑαυτοῦ,pronoun,gunai=ka,γυνή,noun,ei)=nai,εἰμί,verb,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
