word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
*dikaioge/nous,teleuth/santos,τελευτάω,verb,a)/paidos,ἄπαις,noun,e)pi\,ἐπί,preposition,te/ssarsin,τέσσαρες,noun,a)delfai=s,ἀδελφή,noun,*pro/cenos,Πρόξενος,proper,h(=ken,ἥκω,verb,diaqh/khn,διαθήκη,noun,e)/xwn,ἔχω,verb,e)n,ἐν,preposition,h(=|,ὅς,pronoun,*dikaioge/nhs,Δικαιογένης,proper,o(,ὁ,article,teleuth/sas,τελευτάω,verb,to\n,ὁ,article,ui(o\n,υἱός,noun,au)tou=,αὐτός,pronoun,tou=,ὁ,article,*proce/nou,Πρόξενος,proper,*dikaioge/nhn,Δικαιογένης,proper,ui(o\n,υἱός,noun,qeto\n,θετός,adjective,e)poih/sato,ποιέω,verb,e)pi\,ἐπί,preposition,tw=|,ὁ,article,tri/tw|,τρίτος,adjective,me/rei,μέρος,noun,th=s,ὁ,article,ou)si/as,οὐσία,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=ton,de\,δέ,particle,to\n,ὁ,article,tro/pon,τρόπος,noun,dianeimame/nwn,διανέμω,verb,au)tw=n,αὐτός,pronoun,th\n,ὁ,article,o(/lhn,ὅλος,adjective,ou)si/an,οὐσία,adjective,teleutai=on,τελευταῖος,adjective,h)=lqen,ἔρχομαι,verb,o(,ὁ,article,ui(o\s,υἱός,noun,*proce/nou,Πρόξενος,proper,*dikaioge/nhs,Δικαιογένης,proper,fa/skwn,φάσκω,verb,e)pi\,ἐπί,preposition,o(/lh|,ὅλος,adjective,th=|,ὁ,article,ou)si/a|,οὐσία,adjective,gegone/nai,γίγνομαι,verb,ui(o/s,υἱός,noun,kai\,καί,conjunction,nikh/sas,νικάω,verb,a)ne/labe,ἀναλαμβάνω,verb,kai\,καί,conjunction,ta\,ὁ,article,du/o,δύο,adjective,me/rh,μέρα,noun,tw=n,ὁ,article,οὗτος,pronoun,a)delfw=n,ἀδελφή,noun,tou=,ὁ,article,teleuth/santos,τελευτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/steron,pa/lin,πάλιν,adverb,oi(,ὁ,article,pai=des,παῖς,adjective,tw=n,ὁ,article,a)delfw=n,ἀδελφή,noun,dikasa/menoi,δικάζω,verb,pro\s,πρός,preposition,*dikaioge/nhn,Δικαιογένης,proper,e)ni/khsan,νικάω,verb,kai\,καί,conjunction,sune/qeto,συντίθημι,verb,*dikaioge/nhs,Δικαιογένης,proper,a)podou=nai,ἀποδίδωμι,verb,pa/lin,πάλιν,adverb,ta\,ὁ,article,du/o,δύο,adjective,me/rh,μέρα,noun,au)toi=s,αὐτός,pronoun,kaqara\,καθαρός,adjective,kai\,καί,conjunction,a)ne/pafa,ἀνέπειμι,verb,e)gguhsame/nou,ἐγγυάω,verb,tau=ta,οὗτος,pronoun,*lewxa/rous,Λεωχάρης,proper,,,,,,,,,,,,,,,,ὕστερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,de\,δέ,particle,a)rnoume/nwn,ἀρνέομαι,verb,ta\,ὁ,article,do/canta,δοκέω,verb,tw=n,ὁ,article,peri\,περί,preposition,*dikaioge/nhn,Δικαιογένης,proper,kai\,καί,conjunction,*lewxa/rhn,Λεωχάρης,proper,e)gkalou=sin,ἐγκαλέω,verb,oi(,ὁ,article,pai=des,παῖς,adjective,tw=n,ὁ,article,a)delfw=n,ἀδελφή,noun,peri\,περί,preposition,tw=n,ὁ,article,du/o,δύο,adjective,merw=n,μέρα,noun,tw=|,ὁ,article,me\n,μέν,particle,w(s,ὡς,conjunction,sunqeme/nw|,συντίθημι,verb,tw=|,ὁ,article,de\,δέ,particle,w(s,ὡς,conjunction,e)gguhth=|,ἐγγυητής,noun,,,,,,,,,,νῦν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,sta/sis,στάσις,adjective,stoxasmo/s,στοχασμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rnou=ntai,ga/r,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀρνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)io/meqa,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,peri\,περί,preposition,w(=n,ὅς,pronoun,diefero/meqa,διαφέρω,verb,pro\s,πρός,preposition,*dikaioge/nhn,Δικαιογένης,proper,ta\,ὁ,article,w(mologhme/na,ὁμολογέω,verb,e)pi\,ἐπί,preposition,tou=,ὁ,article,dikasthri/ou,δικαστήριον,noun,ku/ria,κύριος,adjective,h(mi=n,ἐγώ,pronoun,e)/sesqai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἴομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)posta/ntos,ga\r,γάρ,particle,*dikaioge/nous,,,toi=n,ὁ,article,duoi=n,δύο,adjective,meroi=n,μέρος,noun,tou=,ὁ,article,klh/rou,κλῆρος,adjective,kai\,καί,conjunction,e)gguhta\s,ἐγγυητός,adjective,katasth/santos,καθίστημι,verb,h)=,ἦ,adverb,mh\n,μείς,adjective,paradw/sein,παραδίδωμι,verb,h(mi=n,ἐγώ,pronoun,tau=ta,οὗτος,pronoun,ta\,ὁ,article,me/rh,μέρα,noun,a)namfisbh/thta,ἀναμφισβήτητος,adjective,a)fh/kamen,ἀφίημι,verb,a)llh/lous,ἀλλήλων,pronoun,tw=n,ὁ,article,e)gklhma/twn,ἔγκλημα,noun,,,,,,,,,,,,,,,,,,,,,,ἀφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,de/,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,ou),οὐ,adverb,poiei=,ποιέω,verb,*dikaioge/nhs,Δικαιογένης,proper,a(\,ὅς,pronoun,w(molo/ghse,ὁμολογέω,verb,dikazo/meqa,δικάζω,verb,*lewxa/rei,Λεωχάρης,proper,e)gguhth=|,ἐγγυητής,noun,genome/nw|,γίγνομαι,verb,*dikaioge/nous,,,w(/sper,ὥσπερ,adverb,a)ntwmo/samen,ἀντόμνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπεί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,moi,ἐγώ,pronoun,a)na/gnwqi,ἀναγιγνώσκω,verb,th\n,ὁ,article,a)ntwmosi/an,ἀντωμοσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,toi/nun,τοίνυν,particle,a)lhqh=,ἀληθής,adjective,a)ntwmo/samen,ἀντόμνυμι,verb,*khfiso/dotos,Κηφισόδοτος,proper,ou(tosi\,οὗτος,pronoun,oi)=de,οἶδα,verb,kai\,καί,conjunction,ma/rturas,μάρτυς,noun,u(mi=n,σύ,pronoun,pareco/meqa,παρέχω,verb,prw=ton,πρότερος,adjective,me\n,μέν,particle,w(s,ὡς,conjunction,a)pe/sth,ἀφίστημι,verb,*dikaioge/nhs,Δικαιογένης,proper,h(mi=n,ἐγώ,pronoun,toi=n,ὁ,article,duoi=n,δύο,adjective,meroi=n,μέρος,noun,tou=,ὁ,article,klh/rou,κλῆρος,adjective,ei)=ta,εἶτα,adverb,w(s,ὡς,conjunction,h)gguh/sato,ἐγγυάω,verb,*lewxa/rhs,Λεωχάρης,proper,,,,,,,,,,,,,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,moi,ἐγώ,pronoun,a)na/gnwqi,ἀναγιγνώσκω,verb,th\n,ὁ,article,marturi/an,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,me\n,μέν,particle,martu/rwn,μάρτυρος,noun,a)khko/ate,ἀκούω,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,ou),οὐ,adverb,ta)lhqh=,ἀληθής,adjective,memarturh/kasin,μαρτυρέω,verb,ou)d',οὐδέ,particle,a)\n,ἄν,particle,au)to\n,αὐτός,pronoun,oi)=mai,οἴομαι,verb,*lewxa/rhn,Λεωχάρης,proper,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
