word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS
*menekle/ous,Μενεκλῆς,proper,poihsame/nou,ποιέω,verb,ui(o\n,υἱός,noun,kai\,καί,conjunction,e)pibiw/santos,ἐπιβιόω,verb,th=|,ὁ,article,poih/sei,ποιέω,verb,ei)/kosi,εἴκοσι,verb,tri/a,τρεῖς,noun,e)/th,ἔτης,noun,a)delfw=n,ἀδελφή,noun,a)mfisbhthsa/ntwn,ἀμφισβητέω,verb,tou=,ὁ,article,klh/rou,κλῆρος,adjective,e)martu/rhse/,μαρτυρέω,verb,tis,τις,pronoun,*filwni/dhs,Φιλωνίδης,proper,mh\,μή,conjunction,ei)=nai,εἰμί,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,e)pi/dikon,ἐπίδικος,adjective,katalei/yantos,καταλείβω,verb,ui(o\n,υἱός,noun,*menekle/ous,Μενεκλῆς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tw|,οὗτος,pronoun,e)pe/skhyan,ἐπισκήπτω,verb,yeudomarturi/as,ψευδομαρτυρία,noun,oi(,ὁ,article,a)delfoi/,ἀδελφός,adjective,kai\,καί,conjunction,pro\s,πρός,preposition,tou/tous,οὗτος,pronoun,o(,ὁ,article,pai=s,πᾶς,adjective,u(pe\r,ὑπέρ,preposition,au)tou=,αὐτός,pronoun,th\n,ὁ,article,a)pologi/an,ἀπολογία,noun,ei)se/rxetai,εἰσέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,o(,ὁ,article,lo/gos,λόγος,noun,ou(=tos,οὗτος,pronoun,e)nanti/os,ἐναντίος,adjective,tw=|,ὁ,article,peri\,περί,preposition,tou=,ὁ,article,*klewnu/mou,Κλεώνυμος,proper,klh/rou,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=,ἐκεῖ,adverb,me\n,μέν,particle,ga\r,γάρ,particle,u(pe\r,ὑπέρ,preposition,suggenei/as,συγγένεια,noun,ei)=pen,εἶπον,verb,w(=de,ὧδε,adverb,de\,δέ,particle,u(pe\r,ὑπέρ,preposition,diaqh/khs,διαθήκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,sta/sis,στάσις,adjective,a)nti/lhyis,ἀντίληψις,noun,kata\,κατά,preposition,stoxasmo/n,στοχασμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/gei,λέγω,verb,ga\r,γάρ,particle,o(/ti,ὅστις,pronoun,e)ch=n,ἔξεστι,verb,au)tw=|,αὐτός,pronoun,poiei=n,ποιέω,verb,e(autw=|,ἑαυτοῦ,pronoun,ui(o/n,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,to\,ὁ,article,stoxastiko/n,στοχαστικός,adjective,o(/ti,ὅστις,pronoun,ou),οὐ,adverb,peisqei\s,πείθω,verb,gunaiki\,γυνή,noun,e)poih/sato/,ποιέω,verb,me,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gou/mhn,ἁγέομαι,verb,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,ei)/,εἰ,conjunction,tis,τις,pronoun,kai\,καί,conjunction,a)/llos,ἄλλος,adjective,e)poih/qh,ποιέω,verb,u(po/,ὑπό,preposition,tinos,τις,pronoun,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,kai\,καί,conjunction,e)gw\,ἐγώ,pronoun,poihqh=nai,ποιέω,verb,kai\,καί,conjunction,ou)k,οὐ,adverb,a)/n,ἄν,particle,pote,ποτέ,particle,ei)pei=n,εἶπον,verb,ou)de/na,οὐδείς,pronoun,tolmh=sai,τολμάω,verb,w(s,ὡς,conjunction,e)poih/sato/,ποιέω,verb,me,ἐγώ,pronoun,*meneklh=s,Μενεκλῆς,proper,paranow=n,παρανοέω,verb,h)\,ἠέ,conjunction,gunaiki\,γυνή,noun,peiqo/menos,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,o(,ὁ,article,qei=os,θεῖος,noun,ou)k,οὐ,adverb,o)rqw=s,ὀρθός,adjective,bouleuo/menos,βουλεύω,verb,w(s,ὡς,conjunction,e)gw/,ἐγώ,pronoun,fhmi,φημί,verb,peira=tai,πειράω,verb,e)c,ἐκ,preposition,a(/pantos,ἅπας,adjective,tro/pou,τρόπος,noun,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,to\n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,a)/paida,ἄπαις,noun,teqnew=ta,θνήσκω,verb,katasth=sai,καθίστημι,verb,ou)/te,οὔτε,adverb,tou\s,ὁ,article,qeou\s,θεός,noun,tou\s,ὁ,article,patrw/|ous,πατρῷος,adjective,ou)/q',οὔτε,adverb,u(mw=n,σύ,pronoun,ai)sxuno/menos,αἰσχύνω,verb,ou)de/na,οὐδείς,pronoun,e)moi\,ἐγώ,pronoun,a)na/gkh,ἀνάγκη,noun,e)sti\,εἰμί,verb,pollh\,πολύς,adjective,bohqei=n,βοηθέω,verb,tw=|,ὁ,article,te,τε,particle,patri\,πατήρ,noun,tw=|,ὁ,article,poihsame/nw|,ποιέω,verb,me,ἐγώ,pronoun,kai\,καί,conjunction,e)mautw=|,ἐμαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dida/cw,διδάσκω,verb,ou)=n,οὖν,particle,u(ma=s,σύ,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,w(s,ὡς,conjunction,proshko/ntws,προσηκόντως,adverb,te,τε,particle,kai\,καί,conjunction,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,e)ge/neto,γίγνομαι,verb,h(,ὁ,article,poi/hsis,ποίησις,noun,kai\,καί,conjunction,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,e)pi/dikos,ἐπίδικος,adjective,o(,ὁ,article,klh=ros,κλῆρος,adjective,o(,ὁ,article,*menekle/ous,Μενεκλῆς,proper,o)/ntos,εἰμί,verb,e)mou=,ἐγώ,pronoun,u(ou=,υἱός,noun,e)kei/nou,ἐκεῖνος,pronoun,a)ll',ἀλλά,adverb,o(,ὁ,article,ma/rtus,μάρτυς,noun,diemartu/rhse,διαμαρτυρέω,verb,ta)lhqh=,ἀληθής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
