word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS
*nikostra/tou,Νικόστρατος,proper,e)n,ἐν,preposition,u(perori/a|,ὑπερορία,noun,teleuth/santos,τελευτάω,verb,*(/agnwn,Ἅγνων,proper,kai\,καί,conjunction,*(agno/qeos,w(s,ὡς,conjunction,o)/ntes,εἰμί,verb,a)neyioi\,ἀνεψιός,noun,e)k,ἐκ,preposition,patrade/lfou,πατράδελφος,noun,a)mfisbhtou=si,ἀμφισβητέω,verb,tou=,ὁ,article,klh/rou,κλῆρος,adjective,pro\s,πρός,preposition,*xaria/dhn,fa/skonta,φάσκω,verb,klhrono/mon,κληρονόμος,noun,au)tou=,αὐτός,pronoun,ei)=nai,εἰμί,verb,kata\,κατά,preposition,do/sin,δόσις,noun,o(\,ὅς,pronoun,e)/sti,εἰμί,verb,kata\,κατά,preposition,diaqh/kas,διαθήκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isai=os,,,ou)=n,οὖν,particle,o(,ὁ,article,r(h/twr,ῥήτωρ,noun,w(s,ὡς,conjunction,suggenh\s,συγγενής,adverb,w)\n,tw=n,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,*(/agnwna,Ἅγνων,proper,le/gei,λέγω,verb,sunhgorw=n,συνηγορέω,verb,au)toi=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,sta/sis,στάσις,adjective,stoxasmo/s,στοχασμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pith/deioi/,ἐπιτήδειος,adjective,moi,ἐγώ,pronoun,tugxa/nousin,τυγχάνω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,o)/ntes,εἰμί,verb,*(/agnwn,te,τε,particle,ou(tosi\,οὗτος,pronoun,kai\,καί,conjunction,*(agno/qeos,,,kai\,καί,conjunction,o(,ὁ,article,path\r,πατήρ,noun,au)tw=n,αὐτός,pronoun,e)/ti,ἔτι,adverb,pro/teron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἅγνων,proper,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)ko\s,ἔοικα,verb,ou)=n,οὖν,particle,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,ei)=nai,εἰμί,verb,w(s,ὡς,conjunction,a)\n,oi(=o/s,οἷος,adjective,te,τε,particle,w)=,ὦ,interjection,suneipei=n,συνεῖπον,verb,au)toi=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,u(perori/a|,praxqe/ntwn,πράσσω,verb,w(s,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπερορία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ma/rturas,μάρτυς,noun,e)ceurei=n,ἐξευρίσκω,verb,oi(=o/n,οἷος,adjective,te,τε,particle,ou)/te,οὔτε,adverb,tou\s,a)ntidi/kous,ἀντίδικος,adjective,e)a/n,ἐάν,conjunction,ti,τις,pronoun,yeu/dwntai,ψεύδω,verb,e)le/gxein,ἐλέγχω,verb,r(a/|dion,ῥαίδιον,noun,dia\,διά,preposition,to\,ὁ,article,mhde/teron,μηδέτερος,adjective,tou/twn,e)kei=se,ἐκεῖσε,adverb,a)fi=xqai,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,e)nqa/de,ἐνθάδε,adverb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumbebhko/ta,συμβαίνω,verb,dokei=,δοκέω,verb,moi,ἐγώ,pronoun,u(mi=n,σύ,pronoun,i(kana\,ἱκανός,adjective,gene/sqai,γίγνομαι,verb,a)\n,tekmh/ria,τεκμήριον,noun,o(/ti,ὅστις,pronoun,a(/pantes,ἅπας,adjective,oi(,ὁ,article,kata\,κατά,preposition,th\n,ὁ,article,do/sin,δόσις,noun,tw=n,ὁ,article,*nikostra/tou,Νικόστρατος,proper,a)mfisbhtou=ntes,e)capath=sai,ἐξαπατάω,verb,u(ma=s,σύ,pronoun,bou/lontai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,ἄν,particle,ἀμφισβητέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,peri\,περί,preposition,th=s,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,e)pigrafh=s,ἐπιγραφεύς,noun,a)/cio/n,ἄξιος,adjective,e)stin,εἰμί,verb,e)ceta/sai,ἐξετάζω,verb,kai\,καί,conjunction,ske/yasqai,σκέπτομαι,verb,o(po/teroi,ὁπότερος,adjective,a(plou/steron,kai\,καί,conjunction,kata\,κατά,preposition,fu/sin,φύσις,noun,ma=llon,μᾶλλον,adverb,ta\s,ὁ,article,lh/ceis,λῆξις,noun,e)poih/santo,ποιέω,verb,,,,,,,,,,ὁ,article,ἁπλόος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
