word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS
ou),οὐ,adverb,profa/sews,πρόφασις,noun,a)porw=,ἀφοράω,verb,di',διά,preposition,h(/ntina,ὅστις,pronoun,le/gw,λέγω,verb,u(pe\r,ὑπέρ,preposition,*niki/ou,Νικίας,proper,toutoui/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,fi/los,φίλος,adjective,w)/n,εἰμί,verb,moi,ἐγώ,pronoun,tugxa/nei,τυγχάνω,verb,kai\,καί,conjunction,deo/menos,δέομαι,verb,kai\,καί,conjunction,a)dikou/menos,ἀδικέω,verb,kai\,καί,conjunction,a)du/natos,ἀδύνατος,adjective,ei)pei=n,εἶπον,verb,w(/ste,ὥστε,conjunction,dia\,διά,preposition,tau=ta,οὗτος,pronoun,pa/nta,πᾶς,adjective,u(pe\r,ὑπέρ,preposition,au)tou=,αὐτός,pronoun,le/gein,λέγω,verb,a)nagka/zomai,ἀναγκάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,ou)=n,οὖν,particle,to\,ὁ,article,sumbo/laion,συμβόλαιον,noun,au)tw=|,αὐτός,pronoun,pro\s,πρός,preposition,*eu)qu/noun,,,gege/nhtai,γίγνομαι,verb,dihgh/somai,διηγέομαι,verb,u(mi=n,σύ,pronoun,w(s,ὡς,conjunction,a)\n,ἄν,particle,du/nwmai,δύναμαι,verb,dia\,διά,preposition,braxuta/twn,βραχύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*niki/as,Νικίας,proper,ga\r,γάρ,particle,ou(tosi/,οὗτος,pronoun,e)peidh\,ἐπεί,conjunction,oi(,ὁ,article,tria/konta,τριάκοντα,noun,kate/sthsan,καθίστημι,verb,kai\,καί,conjunction,au)to\n,αὐτός,pronoun,oi(,ὁ,article,e)xqroi\,ἐχθρός,adjective,e)k,ἐκ,preposition,me\n,μέν,particle,tw=n,ὁ,article,metexo/ntwn,μετέχω,verb,th=s,ὁ,article,politei/as,πολιτεία,noun,e)ch/leifon,ἐξαλείφω,verb,ei)s,εἰς,preposition,de\,δέ,particle,to\n,ὁ,article,meta\,μετά,preposition,*lusa/ndrou,Λύσανδρος,proper,kata/logon,κατάλογος,noun,e)ne/grafon,ἐγγράφω,verb,dediw\s,δείδω,verb,ta\,ὁ,article,paro/nta,πάρειμι,verb,pra/gmata,πρᾶγμα,noun,th\n,ὁ,article,me\n,μέν,particle,oi)ki/an,οἰκία,noun,u(pe/qhke,ὑποτίθημι,verb,tou\s,ὁ,article,d',δέ,particle,oi)ke/tas,οἰκέτης,noun,e)/cw,ἔξω,adverb,th=s,ὁ,article,gh=s,γῆ,noun,e)ce/pemye,ἐκπέμπω,verb,ta\,ὁ,article,d',δέ,particle,e)/pipla,ἔπιπλα,noun,w(s,ὡς,conjunction,e)me\,ἐγώ,pronoun,e)ko/mise,κομίζω,verb,tri/a,τρεῖς,noun,de\,δέ,particle,ta/lanta,τάλαντον,noun,a)rguri/ou,ἀργύριον,adjective,*eu)qu/nw|,εὔθυνος,noun,fula/ttein,φυλάσσω,verb,e)/dwken,δίδωμι,verb,au)to\s,αὐτός,pronoun,d',δέ,particle,ei)s,εἰς,preposition,a)gro\n,ἀγρός,noun,e)lqw\n,ἔρχομαι,verb,dih|ta=to,διαδιαιτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,pollw=|,πολύς,adjective,de\,δέ,particle,xro/nw|,χρόνος,noun,u(/steron,ὕστερος,adjective,boulo/menos,βούλομαι,verb,e)kplei=n,ἐκπλέω,verb,a)ph/|thse,ἀπαιτέω,verb,ta)rgu/rion,ἀργύριον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)qu/nous,εὔθυνος,noun,de\,δέ,particle,ta\,ὁ,article,me\n,μέν,particle,du/o,δύο,adjective,ta/lanta,τάλαντον,noun,a)podi/dwsi,ἀποδίδωμι,verb,tou=,ὁ,article,de\,δέ,particle,tri/tou,τρίτος,adjective,e)/carnos,ἔξαρνος,adjective,gi/gnetai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llo,ἄλλος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,ou)de\n,οὐδείς,pronoun,ei)=xe,ἔχω,verb,*niki/as,Νικίας,proper,e)n,ἐν,preposition,tw=|,ὁ,article,to/te,τότε,adverb,xro/nw|,χρόνος,noun,poih=sai,ποιέω,verb,prosiw\n,πρόσειμι,verb,de\,δέ,particle,pro\s,πρός,preposition,tou\s,ὁ,article,e)pithdei/ous,ἐπιτήδειος,adjective,e)neka/lei,ἐγκαλέω,verb,kai\,καί,conjunction,e)me/mfeto,μέμφομαι,verb,kai\,καί,conjunction,e)/legen,λέγω,verb,a(\,ὅς,pronoun,peponqw\s,πάσχω,verb,ei)/h,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,ou(/tw,οὕτως,adverb,tou=to/n,οὗτος,pronoun,te,τε,particle,peri\,περί,preposition,pollou=,πολύς,adjective,e)poiei=to,ποιέω,verb,kai\,καί,conjunction,ta\,ὁ,article,kaqestw=ta,καθεστῶτα,noun,e)fobei=to,φοβέω,verb,w(/ste,ὥστε,conjunction,polu\,πολύς,adjective,a)\n,ἄν,particle,qa=tton,θάσσων,adjective,o)li/gwn,ὀλίγος,adjective,sterhqei\s,στερέω,verb,e)siw/phsen,σιωπάω,verb,h)\,ἠέ,conjunction,mhde\n,μηδείς,pronoun,a)pole/sas,ἀπόλλυμι,verb,e)neka/lesen,ἐγκαλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,gegenhme/na,γίγνομαι,verb,tau=t',οὗτος,pronoun,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)po/rws,ἄπορος,adjective,d',δέ,particle,h(mi=n,ἐγώ,pronoun,e)/xei,ἔχω,verb,to\,ὁ,article,pra=gma,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*niki/a|,Νικίας,proper,ga\r,γάρ,particle,ou)/te,οὔτε,adverb,parakatatiqeme/nw|,παρακατατίθεμαι,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,ou)/te,οὔτε,adverb,komizome/nw|,κομίζω,verb,ou)dei\s,οὐδείς,pronoun,ou)/t',οὔτε,adverb,e)leu/qeros,ἐλεύθερος,adjective,ou)/te,οὔτε,adverb,dou=los,δοῦλος,noun,parege/neto,παραγίγνομαι,verb,w(/ste,ὥστε,conjunction,mh/t',μήτε,particle,e)k,ἐκ,preposition,basa/nwn,βάσανος,noun,mh/t',μήτε,particle,e)k,ἐκ,preposition,martu/rwn,μάρτυρος,noun,oi(=o/n,οἷος,adjective,t',τε,particle,ei)=nai,εἰμί,verb,gnw=nai,γιγνώσκω,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,a)ll',ἀλλά,adverb,a)na/gkh,ἀνάγκη,noun,e)k,ἐκ,preposition,tekmhri/wn,τεκμήριον,noun,kai\,καί,conjunction,h(ma=s,ἐγώ,pronoun,dida/skein,διδάσκω,verb,kai\,καί,conjunction,u(ma=s,σύ,pronoun,dika/zein,δικάζω,verb,o(po/teroi,ὁπότερος,adjective,ta)lhqh=,ἀληθής,adjective,le/gousin,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,dh\,δή,particle,pa/ntas,πᾶς,adjective,ei)de/nai,οἶδα,verb,o(/ti,ὅστις,pronoun,ma/lista,μάλιστα,adverb,sukofantei=n,συκοφαντέω,verb,e)pixeirou=sin,ἐπιχειρέω,verb,oi(,ἕ,pronoun,le/gein,λέγω,verb,me\n,μέν,particle,deinoi/,δεινός,adjective,e)/xontes,ἔχω,verb,de\,δέ,particle,mhde/n,μηδείς,pronoun,tou\s,ὁ,article,a)duna/tous,ἀδύνατος,adjective,me\n,μέν,particle,ei)pei=n,εἶπον,verb,i(kanou\s,ἱκανός,adjective,de\,δέ,particle,xrh/mata,χρῆμα,adjective,telei=n,τέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*niki/as,Νικίας,proper,toi/nun,τοίνυν,particle,*eu)qu/nou,εὔθυνος,noun,plei/w,πλέως,adjective,me\n,μέν,particle,e)/xei,ἔχω,verb,h(=tton,ἥσσων,adverb,de\,δέ,particle,du/natai,δύναμαι,verb,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,ou)k,οὐ,adverb,e)/sti,εἰμί,verb,di',διά,preposition,o(/ti,ὅστις,pronoun,a)\n,ἄν,particle,e)ph/rqh,ἐπαίρω,verb,a)di/kws,ἄδικος,adjective,e)p',ἐπί,preposition,*eu)qu/noun,,,e)lqei=n,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,mh\n,μήν,particle,kai\,καί,conjunction,e)c,ἐκ,preposition,au)tou=,αὐτός,pronoun,a)/n,ἄν,particle,tis,τις,pronoun,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,gnoi/h,γιγνώσκω,verb,o(/ti,ὅστις,pronoun,polu\,πολύς,adjective,ma=llon,μᾶλλον,adverb,ei)ko\s,ἔοικα,verb,h)=n,εἰμί,verb,*eu)qu/noun,,,labo/nta,λαμβάνω,verb,e)carnei=sqai,ἐξαρνέομαι,verb,h)\,ἠέ,conjunction,*niki/an,Νικίας,proper,mh\,μή,conjunction,do/nta,δίδωμι,verb,ai)tia=sqai,αἰτιάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=lon,δῆλος,adjective,ga\r,γάρ,particle,o(/ti,ὅστις,pronoun,pa/ntes,πᾶς,adjective,ke/rdous,κέρδος,noun,e(/nek',ἕνεκα,preposition,a)dikou=sin,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,a)posterou=ntes,ἀποστερέω,verb,w(=nper,ὅς,pronoun,e(/nek',ἕνεκα,preposition,a)dikou=sin,ἀδικέω,verb,e)/xousin,ἔχω,verb,oi(,ἕ,pronoun,d',δέ,particle,e)gkalou=ntes,ἐγκαλέω,verb,ou)d',οὐδέ,particle,ei),εἰ,conjunction,lh/yesqai,λαμβάνω,verb,me/llousin,μέλλω,verb,i)/sasin,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
