word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/70/lemma/@_entry,word/70/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh\n,πλήν,preposition,h)\n,ἐάν,conjunction,ei)s,εἰς,preposition,to\n,ὁ,article,basile/a,βασιλεύς,noun,e)pi/dwsin,ἐπεῖδον,verb,a)taktou=nta/s,ἀτακτέω,verb,tinas,τις,pronoun,au)ti/ka,αὐτίκα,adverb,ma/la,μάλα,adverb,kola/zousin,κολάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tou\s,ὁ,article,ou),οὐ,adverb,prosio/ntas,πρόσειμι,verb,toi=s,ὁ,article,qeoi=s,θεός,noun,e)sti,εἰμί,verb,to\,ὁ,article,tw=n,ὁ,article,ponhrw=n,πονηρός,adjective,daimo/nwn,δαίμων,adjective,tetagme/non,τάσσω,verb,fu=lon,φῦλον,noun,u(f),ὑφή,noun,w(=n,ὅς,pronoun,oi(,ὁ,article,polloi\,πολύς,adjective,paroistrou/menoi,παροιστράω,verb,tw=n,ὁ,article,a)qe/wn,ἄθεος,adjective,a)napei/qontai,ἀναπείθω,verb,qanata=n,θανατάω,verb,w(s,ὡς,conjunction,a)napthso/menoi,ἀναπέτομαι,verb,pro\s,πρός,preposition,to\n,ὁ,article,ou)rano/n,οὐρανός,noun,o(/tan,ὅταν,conjunction,a)porrh/cwsi,ἀπορρήγνυμι,verb,th\n,ὁ,article,yuxh\n,ψυχή,noun,biai/ws,βίαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)si\,εἰμί,verb,de\,δέ,particle,oi(\,ἕ,pronoun,kai\,καί,conjunction,ta\s,ὁ,article,e)rhmi/as,ἐρημία,noun,a)nti\,ἀντί,preposition,tw=n,ὁ,article,po/lewn,πόλις,adjective,diw/kousin,διώκω,verb,o)/ntos,εἰμί,verb,ta)nqrw/pou,ἄνθρωπος,noun,fu/sei,φύσις,noun,politikou=,πολιτικός,adjective,zw/|ou,ζώιον,noun,kai\,καί,conjunction,h(me/rou,ἥμερος,adjective,dai/mosin,δαίμων,adjective,e)kdedome/noi,ἐκδίδωμι,verb,ponhroi=s,πονηρός,adjective,u(f),ὑφή,noun,w(=n,ὅς,pronoun,ei)s,εἰς,preposition,tau/thn,οὗτος,pronoun,a)/gontai,ἄγω,verb,th\n,ὁ,article,misanqrwpi/an,μισανθρωπία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,de\,δέ,particle,kai\,καί,conjunction,desma\,δεσμός,noun,kai\,καί,conjunction,kloiou\s,κλοιός,noun,e)chu=ron,ἐξευρίσκω,verb,oi(,ὁ,article,polloi\,πολύς,adjective,tou/twn,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,pantaxo/qen,πανταχόθεν,adverb,au)tou\s,αὐτός,pronoun,o(,ὁ,article,kako\s,κακός,adjective,sunelau/nei,συνελαύνω,verb,dai/mwn,δαίμων,adjective,w(=|,ὅς,pronoun,dedw/kasin,δίδωμι,verb,e(ko/ntes,ἑκών,adjective,e(autou/s,ἑαυτοῦ,pronoun,a)posta/ntes,ἀφίστημι,verb,tw=n,ὁ,article,a)idi/wn,ἀίδιος,adjective,kai\,καί,conjunction,swth/rwn,σωτήρ,noun,qew=n,θέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll),ἀλλά,adverb,u(pe\r,ὑπέρ,preposition,me\n,μέν,particle,tou/twn,οὗτος,pronoun,a)po/xrh,ἀποχράω,verb,tosau=ta,τοσοῦτος,adjective,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,d),δέ,particle,e)ce/bhn,ἐκβαίνω,verb,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,e)panh/cw,ἐπανάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dikaiopragi/as,δικαιοπραγία,noun,ou)=n,οὖν,particle,th=s,ὁ,article,me\n,μέν,particle,kata\,κατά,preposition,tou\s,ὁ,article,politikou\s,πολιτικός,adjective,no/mous,νόμος,noun,eu)/dhlon,εὔδηλος,adjective,o(/ti,ὅστις,pronoun,melh/sei,ἐπιμελέομαι,verb,toi=s,ὁ,article,e)pitro/pois,ἐπίτροπος,adjective,tw=n,ὁ,article,po/lewn,πόλις,adjective,pre/poi,πρέπω,verb,d),δέ,particle,a)\n,ἄν,particle,kai\,καί,conjunction,u(mi=n,σύ,pronoun,ei)s,εἰς,preposition,parai/nesin,παραίω,verb,to\,ὁ,article,mh\,μή,conjunction,parabai/nein,παραβαίνω,verb,i(erou\s,ἱερός,adjective,o)/ntas,εἰμί,verb,tw=n,ὁ,article,qew=n,θέα,noun,tou\s,ὁ,article,no/mous,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,to\n,ὁ,article,i(eratiko\n,ἱερατικός,adjective,bi/on,βίος,adjective,ei)=nai,εἰμί,verb,xrh\,χρή,verb,tou=,ὁ,article,politikou=,πολιτικός,adjective,semno/teron,σεμνός,adjective,a)kte/on,ἀκτέος,noun,e)pi\,ἐπί,preposition,tou=ton,οὗτος,pronoun,kai\,καί,conjunction,didakte/on,διδακτέον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
