word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS
*to\n,ὁ,article,*)axille/a,Ἀχιλλεύς,proper,fhsi\n,φημί,verb,h(,ὁ,article,poi/hsis,ποίησις,noun,o(po/te,ὁπότε,adverb,e)mh/nise,μηνίω,verb,kai\,καί,conjunction,dihne/xqh,διαφέρω,verb,pro\s,πρός,preposition,to\n,ὁ,article,basile/a,βασιλεύς,noun,meqei=nai,μεθίημι,verb,me\n,μέν,particle,tai=n,ὁ,article,xeroi=n,χείρ,noun,th\n,ὁ,article,ai)xmh\n,αἰχμή,noun,kai\,καί,conjunction,th\n,ὁ,article,a)spi/da,ἀσπίς,noun,yalth/rion,ψαλτήριον,noun,de\,δέ,particle,a(rmosa/menon,ἁρμόζω,verb,kai\,καί,conjunction,kiqa/ran,κιθάρα,adjective,a(/|dein,kai\,καί,conjunction,u(mnei=n,ὑμνέω,verb,tw=n,ὁ,article,h(miqe/wn,ἡμίθεος,noun,ta\s,ὁ,article,pra/ceis,πρᾶξις,adjective,kai\,καί,conjunction,tau/thn,οὗτος,pronoun,diagwgh\n,διαγωγή,noun,th=s,ὁ,article,h(suxi/as,ἡσυχία,noun,poiei=sqai,ποιέω,verb,eu)=,εὖ,adverb,ma/la,μάλα,adverb,e)mfro/nws,ἔμφρων,adjective,tou=to,οὗτος,pronoun,dianohqe/nta,διανοέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a)pexqa/nesqai,ἀπεχθάνομαι,verb,kai\,καί,conjunction,parocu/nein,παροξύνω,verb,to\n,ὁ,article,basile/a,βασιλεύς,noun,li/an,λίαν,adverb,au)/qades,,,kai\,καί,conjunction,a)/grion,ἄγριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuxo\n,τυγχάνω,verb,de\,δέ,particle,ou)de\,οὐδέ,particle,e)kei/nhs,ἐκεῖνος,pronoun,a)polu/etai,ἀπολύω,verb,th=s,ὁ,article,me/myews,μέμψις,noun,o(,ὁ,article,th=s,ὁ,article,*qe/tidos,Θέτις,proper,o(/ti,ὅστις,pronoun,tw=|,ὁ,article,kairw=|,καιρός,noun,tw=n,ὁ,article,e)/rgwn,ἔργον,noun,ei)s,εἰς,preposition,w)|da\s,ἀοιδός,noun,kataxrh=tai,καταχράομαι,verb,kai\,καί,conjunction,krou/mata,κροῦμα,adjective,e)co\n,ἔξεστι,verb,to/te,τότε,adverb,me\n,μέν,particle,e)/xesqai,ἔχω,verb,tw=n,ὁ,article,o(/plwn,ὅπλον,noun,kai\,mh\,μή,conjunction,meqie/nai,μεθίημι,verb,au)=qis,αὖθις,adverb,de\,δέ,particle,e)f),ἐπί,preposition,h(suxi/as,ἡσυχία,noun,u(mnei=n,ὑμνέω,verb,to\n,ὁ,article,basile/a,βασιλεύς,noun,kai\,καί,conjunction,a(/|dein,,,ta\,ὁ,article,katorqw/mata,κατόρθωμα,noun,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,ou)de\,οὐδέ,particle,to\n,ὁ,article,*)agame/mnona/,Ἀγαμέμνων,proper,fhsin,φημί,verb,o(,ὁ,article,path\r,πατήρ,noun,e)kei/nwn,ἐκεῖνος,pronoun,tw=n,ὁ,article,lo/gwn,λόγος,noun,metri/ws,μέτριος,adjective,kai\,καί,conjunction,politikw=s,πολιτικός,adjective,prosenexqh=nai,προσφέρω,verb,tw=|,ὁ,article,strathgw=|,στρατηγός,noun,a)ll),ἀλλά,adverb,a)peilh=|,ἀπειλή,noun,te,τε,particle,xrh=sqai,χράομαι,verb,kai\,καί,conjunction,e)/rgois,ἔργον,noun,u(bri/zein,ὑβρίζω,verb,tou=,ὁ,article,ge/rws,γέρας,adjective,a)fairou/menon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suna/gwn,συνάγω,verb,de\,δέ,particle,au)tou\s,αὐτός,pronoun,e)s,εἰς,preposition,tau)to\n,ταυτός,adjective,a)llh/lois,ἀλλήλων,pronoun,e)pi\,ἐπί,preposition,th=s,ὁ,article,e)kklhsi/as,ἐκκλησία,noun,metamelome/nous,μεταμέλομαι,verb,to\n,ὁ,article,me\n,μέν,particle,th=s,ὁ,article,*qe/tidos,Θέτις,proper,e)kbow=nta,ἐκβοάω,verb,*)atrei/dh,Ἀτρείδης,proper,h)=,ἦ,adverb,a)/r,ἄρα,particle,ti,τις,pronoun,to/d),ὅδε,pronoun,a)mfote/roisin,ἀμφότερος,adjective,a)/reion,ἄρειος,adjective,*)/epleto,πέλω,verb,soi\,σύ,pronoun,kai\,καί,conjunction,e)moi/,ἐγώ,pronoun,ei)=ta,e)parw/menon,ἐπαράομαι,verb,th=|,ὁ,article,profa/sei,πρόφασις,noun,th=s,ὁ,article,a)pexqei/as,ἀπέχθεια,noun,kai\,καί,conjunction,a)pariqmou/menon,ἀπαριθμέω,verb,ta\s,ὁ,article,e)k,ἐκ,preposition,th=s,ὁ,article,mh/nidos,,,cumfora/s,συμφορά,noun,to\n,ὁ,article,basile/a,βασιλεύς,noun,de\,δέ,particle,ai)tiw/menon,αἰτιάομαι,verb,*di/a,Δίη,proper,εἶτα,adverb,kai\,καί,conjunction,*moi=ran,Μοῖρα,proper,kai\,καί,conjunction,*)erinu/n,Ἐρινύς,proper,dokei=,δοκέω,verb,moi,ἐγώ,pronoun,dida/skein,διδάσκω,verb,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,dra/mati,δρᾶμα,noun,toi=s,ὁ,article,prokeime/nois,πρόκειμαι,verb,a)ndra/sin,ἀνήρ,noun,oi(=on,οἷος,adjective,ei)ko/si,εἰκών,noun,xrw/menos,χράομαι,verb,o(/ti,ὅστις,pronoun,xrh\,χρή,verb,tou\s,ὁ,article,me\n,μέν,particle,basile/as,βασιλεύς,noun,mhde\n,μηδείς,pronoun,u(/brei,ὕβρις,noun,pra/ttein,πράσσω,verb,mhde\,μηδέ,particle,th=|,ὁ,article,duna/mei,δύναμις,adjective,pro\s,πρός,preposition,a(/pan,ἅπας,adjective,xrh=sqai,χράομαι,verb,mhde\,μηδέ,particle,e)fie/nai,ἐφίημι,verb,tw=|,ὁ,article,qumw=|,θυμός,noun,kaqa/per,καθά,adverb,i(/ppw|,ἵππος,noun,qrasei=,θρασύς,adjective,xh/tei,χῆτις,noun,xalinou=,χαλινόω,verb,kai\,καί,conjunction,h(nio/xou,ἡνίοχος,adjective,ferome/nw|,φέρω,verb,parainei=n,παραινέω,verb,de\,δέ,particle,au)=,αὖ,interjection,toi=s,ὁ,article,strathgoi=s,στρατηγός,noun,u(peroyi/an,ὑπεροψία,noun,basilikh\n,βασιλικός,adjective,mh\,μή,conjunction,dusxerai/nein,δυσχεραίνω,verb,fe/rein,φέρω,verb,de\,δέ,particle,e)gkratw=s,ἐγκρατής,adjective,kai\,καί,conjunction,pra/|ws,πρᾶος,adjective,ta\s,ὁ,article,e)pitimh/seis,ἐπιτίμησις,noun,i(/na,ἵνα,conjunction,mh\,μή,conjunction,metamelei/as,μεταμέλεια,noun,au)toi=s,αὐτός,pronoun,o(,ὁ,article,bi/os,βίος,adjective,mesto\s,μεστός,adjective,h)=|,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tau=ta,οὗτος,pronoun,kat),κατά,preposition,e)mauto\n,ἐμαυτοῦ,pronoun,e)nnow=n,ἐννοέω,verb,w)=,ὦ,interjection,fi/le,φίλος,adjective,basileu=,βασιλεύς,noun,kai\,καί,conjunction,se\,σύ,pronoun,me\n,μέν,particle,o(rw=n,ὁράω,verb,e)pi\,ἐπί,preposition,tw=n,ὁ,article,e)/rgwn,ἔργον,noun,th\n,ὁ,article,*(omhrikh\n,Ὁμηρικός,adjective,paidei/an,παιδεία,noun,e)pideiknu/menon,ἐπιδείκνυμι,verb,kai\,καί,conjunction,e)qe/lonta,ἐθέλω,verb,pa/ntws,πάντως,adverb,koinh=|,κοινῇ,adverb,me\n,μέν,particle,a(/pantas,ἅπας,adjective,a)gaqo/n,ἀγαθός,adjective,ti,τις,pronoun,dra=n,h(mi=n,ἐγώ,pronoun,de\,δέ,particle,i)di/a|,ἴδιος,adjective,tima\s,τιμή,noun,kai\,καί,conjunction,ge/ra,γέρας,adjective,a)/lla,ἄλλος,adjective,e)p),ἐπί,preposition,a)/llois,ἄλλος,adjective,paraskeua/zonta,παρασκευάζω,verb,tosou/tw|,τοσοῦτος,adjective,de\,δέ,particle,oi)=mai,οἴομαι,verb,krei/ttona,κρείσσων,verb,tou=,ὁ,article,tw=n,ὁ,article,*(ellh/nwn,Ἕλλην,proper,δράω,verb,basile/ws,βασιλεύς,noun,ei)=nai,εἰμί,verb,e)qe/lonta,ἐθέλω,verb,w(/ste,ὥστε,conjunction,o(,ὁ,article,me\n,μέν,particle,h)ti/maze,ἀτιμάζω,verb,tou\s,ὁ,article,a)ri/stous,ἄριστος,adjective,su\,σύ,pronoun,de\,δέ,particle,oi)=mai,οἴομαι,verb,kai\,καί,conjunction,tw=n,ὁ,article,fau/lwn,φαῦλος,adjective,polloi=s,πολύς,adjective,th\n,ὁ,article,suggnw/mhn,συγγνώμη,adjective,ne/meis,νέμω,verb,to\n,ὁ,article,*pittako\n,Πιττακός,adjective,e)painw=n,ἐπαινέω,verb,tou=,ὁ,article,lo/gou,λόγος,noun,o(\s,ὅς,pronoun,th\n,ὁ,article,suggnw/mhn,συγγνώμη,adjective,th=s,ὁ,article,timwri/as,τιμωρία,noun,prouti/qei,προτίθημι,verb,ai)sxunoi/mhn,αἰσχύνω,verb,a)/n,ἄν,particle,ei),εἰ,conjunction,mh\,μή,conjunction,tou=,ὁ,article,*phle/ws,Πηλεύς,proper,fainoi/mhn,φαίνω,verb,eu)gnwmone/steros,εὐγνώμων,adjective,mhde\,μηδέ,particle,e)painoi/hn,ἐπαινέω,verb,ei)s,εἰς,preposition,du/namin,δύναμις,adjective,ta\,ὁ,article,proso/nta,πρόσειμι,verb,soi/,σύ,pronoun,ou)/ti,οὔτι,adverb,fhmi\,φημί,verb,xruso\n,χρυσός,noun,kai\,καί,conjunction,a(lourgh=,ἁλουργής,adjective,xlai=nan,χλαῖνα,noun,ou)de\,οὐδέ,particle,ma\,μά,particle,*di/a,Δίη,proper,pe/plous,πέπλος,noun,pampoiki/lous,παμποίκιλος,adjective,gunaikw=n,γυνή,noun,e)/rga,ἔργον,noun,*sidwni/wn,Σιδών,proper,ou)de\,οὐδέ,particle,i(/ppwn,ἵππος,noun,*nisai/wn,Νισαῖος,proper,ka/llh,κάλλος,noun,kai\,καί,conjunction,xrusokollh/twn,χρυσοκόλλητος,adjective,a(rma/twn,ἅρμα,noun,a)stra/ptousan,ἀστράπτω,verb,ai)/glhn,αἴγλη,noun,ou)de\,οὐδέ,particle,th\n,ὁ,article,*)indw=n,Ἰνδή,proper,li/qon,λίθος,adjective,eu)anqh=,εὐανθής,adjective,kai\,καί,conjunction,xari/essan,χαρίεις,adjective
kai/toi,καίτοι,particle,ge,γε,particle,ei)/,εἰ,conjunction,tis,τις,pronoun,e)qe/loi,ἐθέλω,verb,tou/tois,οὗτος,pronoun,to\n,ὁ,article,nou=n,νόος,adjective,prose/xwn,προσέχω,verb,e(/kaston,ἕκαστος,adjective,a)ciou=n,ἀξιόω,verb,lo/gou,λόγος,noun,mikrou=,μικρός,adjective,pa=san,πᾶς,adjective,oi)=mai,οἴομαι,verb,th\n,ὁ,article,*(omh/rou,Ὅμηρος,proper,poi/hsin,ποίησις,noun,a)poxeteu/sas,ἀποχετεύω,verb,e)/ti,ἔτι,adverb,deh/setai,δέω,verb,lo/gwn,λόγος,noun,kai\,καί,conjunction,ou)k,οὐ,adverb,a)poxrh/sei,ἀπόχρησις,noun,soi\,σύ,pronoun,mo/nw|,ta\,ὁ,article,cu/mpasi,σύμπας,adjective,poihqe/nta,ποιέω,verb,toi=s,ὁ,article,h(miqe/ois,ἡμίθεος,noun,e)gkw/mia,ἐγκώμιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rcw/meqa,ἄρχω,verb,de\,δέ,particle,a)po\,ἀπό,preposition,tou=,ὁ,article,skh/ptrou,σκῆπτρον,noun,prw=ton,πρότερος,adjective,ei),εἰ,conjunction,bou/lei,βούλομαι,verb,kai\,καί,conjunction,th=s,ὁ,article,basilei/as,βασιλεία,noun,au)th=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,dh/,δή,particle,fhsin,φημί,verb,o(,ὁ,article,poihth\s,ποιητής,noun,e)painei=n,ἐπαινέω,verb,e)qe/lwn,ἐθέλω,verb,th=s,ὁ,article,tw=n,ὁ,article,*pelopidw=n,Πελοπίδης,proper,oi)ki/as,οἰκία,noun,th\n,ὁ,article,a)rxaio/thta,ἀρχαιότης,noun,kai\,καί,conjunction,to\,ὁ,article,me/geqos,μέγεθος,adjective,th=s,ὁ,article,h(gemoni/as,ἡγεμονία,noun,e)ndei/casqai,ἐνδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)na\,ἀνά,preposition,de\,δέ,particle,krei/wn,κρείων,noun,*)agame/mnwn,Ἀγαμέμνων,proper,*)/esth,ἵστημι,verb,skh=ptron,σκῆπτρον,noun,e)/xwn,ἔχω,verb,to\,ὁ,article,me\n,μέν,particle,*(/hfaistos,Ἥφαιστος,proper,ka/me,κάμνω,verb,teu/xwn,τεύχω,verb,kai\,καί,conjunction,e)/dwke,δίδωμι,verb,*dii/,Ζεύς,proper,o(,ὁ,article,de\,δέ,particle,tw=|,ὁ,article,th=s,ὁ,article,*mai/as,Μάιος,proper,kai\,καί,conjunction,e(autou=,ἑαυτοῦ,pronoun,paidi/,παῖς,adjective,*(ermei/as,Ἑρμῆς,proper,de\,δέ,particle,a)/nac,ἄναξ,noun,dw=ke,*pe/lopi,Πέλοψ,proper,*pe/loy,Πέλοψ,proper,de\,δέ,particle,dw=k),δίδωμι,verb,*)atre/i,Ἀτρεύς,proper,poime/ni,ποιμήν,noun,law=n,λαός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
