word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/33/lemma/@_entry,word/33/lemma/@_POS,word/40/lemma/@_entry,word/40/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS
to\n,ὁ,article,me\n,μέν,particle,prw=ton,πρότερος,adjective,lo/gon,λόγος,noun,e)poihsa/mhn,ποιέω,verb,peri\,περί,preposition,pa/ntwn,πᾶς,adjective,w)=,ὦ,interjection,*qeo/file,Θεόφιλος,proper,w(=n,ὅς,pronoun,h)/rcato,ἄρχω,verb,*)ihsou=s,Ἰησοῦς,proper,poiei=n,ποιέω,verb,te,τε,particle,kai\,καί,conjunction,dida/skein,διδάσκω,verb,a)/xri,ἄχρι,adverb,h(=s,ὅς,pronoun,h(me/ras,ἡμέρα,noun,e)nteila/menos,ἐντέλλω,verb,toi=s,ὁ,article,a)posto/lois,ἀπόστολος,noun,dia\,διά,preposition,pneu/matos,πνεῦμα,noun,a(gi/ou,ἅγιος,adjective,ou(\s,ὅς,pronoun,e)cele/cato,ἐκλέγω,verb,a)nelh/mfqh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,kai\,καί,conjunction,pare/sthsen,παρίστημι,verb,e(auto\n,ἑαυτοῦ,pronoun,zw=nta,ζάω,verb,meta\,μετά,preposition,to\,ὁ,article,paqei=n,πάσχω,verb,au)to\n,αὐτός,pronoun,e)n,ἐν,preposition,polloi=s,πολύς,adjective,tekmhri/ois,τεκμήριον,noun,di',διά,preposition,h(merw=n,ἡμέρα,noun,tessera/konta,τεσσαράκοντα,adjective,o)ptano/menos,ὀπτάζομαι,verb,au)toi=s,αὐτός,pronoun,kai\,καί,conjunction,le/gwn,λέγω,verb,ta\,ὁ,article,peri\,περί,preposition,th=s,ὁ,article,basilei/as,βασιλεία,noun,tou=,ὁ,article,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,sunalizo/menos,συναλίζω,verb,parh/ggeilen,παραγγέλλω,verb,au)toi=s,αὐτός,pronoun,a)po\,ἀπό,preposition,*)ierosolu/mwn,,,mh\,μή,conjunction,xwri/zesqai,χωρίζω,verb,a)lla\,ἀλλά,adverb,perime/nein,περιμένω,verb,th\n,ὁ,article,e)paggeli/an,ἐπαγγελία,noun,tou=,ὁ,article,patro\s,πατήρ,noun,h(\n,ὅς,pronoun,h)kou/sate/,ἀκούω,verb,mou,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*)iwa/nhs,,,me\n,μέν,particle,e)ba/ptisen,βαπτίζω,verb,u(/dati,ὕδωρ,noun,u(mei=s,σύ,pronoun,de\,δέ,particle,e)n,ἐν,preposition,pneu/mati,πνεῦμα,noun,baptisqh/sesqe,βαπτίζω,verb,a(gi/w|,ἅγιος,adjective,ou),οὐ,adverb,meta\,μετά,preposition,polla\s,πολύς,adjective,tau/tas,οὗτος,pronoun,h(me/ras,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,sunelqo/ntes,συνέρχομαι,verb,h)rw/twn,ἐρωτάω,verb,au)to\n,αὐτός,pronoun,le/gontes,λέγω,verb,*ku/rie,κύριος,adjective,ei),εἰ,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,xro/nw|,χρόνος,noun,tou/tw|,οὗτος,pronoun,a)pokaqista/neis,ἀποκαθιστάνω,verb,th\n,ὁ,article,basilei/an,βασιλεία,noun,tw=|,ὁ,article,*)israh/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pen,εἶπον,verb,pro\s,πρός,preposition,au)tou/s,αὐτός,pronoun,*ou)x,οὐ,adverb,u(mw=n,σύ,pronoun,e)sti\n,εἰμί,verb,gnw=nai,γιγνώσκω,verb,xro/nous,χρόνος,noun,h)\,ἠέ,conjunction,kairou\s,καιρός,noun,ou(\s,ὅς,pronoun,o(,ὁ,article,path\r,πατήρ,noun,e)/qeto,ἔθω,verb,e)n,ἐν,preposition,th=|,ὁ,article,i)di/a|,ἴδιος,adjective,e)cousi/a|,ἐξουσία,noun,a)lla\,ἀλλά,adverb,lh/myesqe,,,du/namin,δύναμις,adjective,e)pelqo/ntos,ἐπέρχομαι,verb,tou=,ὁ,article,a(gi/ou,ἅγιος,adjective,pneu/matos,πνεῦμα,noun,e)f',ἐπί,preposition,u(ma=s,σύ,pronoun,kai\,καί,conjunction,e)/sesqe/,εἰμί,verb,mou,ἐγώ,pronoun,ma/rtures,μάρτυς,noun,e)/n,ἐν,preposition,te,τε,particle,*)ierousalh\m,kai\,καί,conjunction,e)n,ἐν,preposition,pa/sh|,πᾶς,adjective,th=|,ὁ,article,*)ioudai/a|,Ἰουδαῖος,proper,kai\,καί,conjunction,*samari/a|,kai\,καί,conjunction,e(/ws,ἕως,conjunction,e)sxa/tou,σχέθω,verb,th=s,ὁ,article,gh=s,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,ei)pw\n,εἶπον,verb,blepo/ntwn,βλέπω,verb,au)tw=n,αὐτός,pronoun,e)ph/rqh,ἐπαίρω,verb,kai\,καί,conjunction,nefe/lh,νεφέλη,noun,u(pe/laben,ὑπολαμβάνω,verb,au)to\n,αὐτός,pronoun,a)po\,ἀπό,preposition,tw=n,ὁ,article,o)fqalmw=n,ὀφθαλμός,noun,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,w(s,ὡς,conjunction,a)teni/zontes,ἀτενίζω,verb,h)=san,εἰμί,verb,ei)s,εἰς,preposition,to\n,ὁ,article,ou)rano\n,οὐρανός,noun,poreuome/nou,πορεύω,verb,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,i)dou\,ἰδού,adverb,a)/ndres,ἀνήρ,noun,du/o,δύο,adjective,paristh/keisan,,,au)toi=s,αὐτός,pronoun,e)n,ἐν,preposition,e)sqh/sesi,ἔσθησις,noun,leukai=s,λευκός,adjective,oi(\,ἕ,pronoun,kai\,καί,conjunction,ei)=pan,εἶπον,verb,*)/andres,ἀνήρ,noun,*galilai=oi,,,ti/,τίς,pronoun,e(sth/kate,ἵστημι,verb,ble/pontes,βλέπω,verb,ei)s,εἰς,preposition,to\n,ὁ,article,ou)rano/n,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,o(,ὁ,article,a)nalhmfqei\s,,,a)f',ἀπό,preposition,u(mw=n,σύ,pronoun,ei)s,εἰς,preposition,to\n,ὁ,article,ou)rano\n,οὐρανός,noun,ou(/tws,οὕτως,adverb,e)leu/setai,ἔρχομαι,verb,o(\n,ὅς,pronoun,tro/pon,τρόπος,noun,e)qea/sasqe,θεάομαι,verb,au)to\n,αὐτός,pronoun,poreuo/menon,πορεύω,verb,ei)s,εἰς,preposition,to\n,ὁ,article,ou)rano/n,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*to/te,τότε,adverb,u(pe/streyan,ὑποστρέφω,verb,ei)s,εἰς,preposition,*)ierousalh\m,,,a)po\,ἀπό,preposition,o)/rous,ὄρος,adjective,tou=,ὁ,article,kaloume/nou,καλέω,verb,*)elaiw=nos,ἐλαιών,noun,o(/,ὅς,pronoun,e)stin,εἰμί,verb,e)ggu\s,ἐγγύς,adverb,*)ierousalh\m,,,sabba/tou,,,e)/xon,ἔχω,verb,o(do/n,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
