word/0/@_form,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
*e*n,*a*r*x*h,h)=n,εἰμί,verb,o(,ὁ,article,lo/gos,λόγος,noun,kai\,καί,conjunction,o(,ὁ,article,lo/gos,λόγος,noun,h)=n,εἰμί,verb,pro\s,πρός,preposition,to\n,ὁ,article,qeo/n,θεός,noun,kai\,καί,conjunction,qeo\s,θεός,noun,h)=n,εἰμί,verb,o(,ὁ,article,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou(=tos,h)=n,e)n,ἐν,preposition,a)rxh=|,ἀρχή,noun,pro\s,πρός,preposition,to\n,ὁ,article,qeo/n,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nta,di',au)tou=,αὐτός,pronoun,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,xwri\s,χωρίς,adverb,au)tou=,αὐτός,pronoun,e)ge/neto,γίγνομαι,verb,ou)de\,οὐδέ,particle,e(/n,εἷς,adjective,,,,,,,,,,,,,,,,,,,,,,πᾶς,adjective,διά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ge/gonen,e)n,ἐν,preposition,au)tw=|,αὐτός,pronoun,zwh\,ζωή,noun,h)=n,εἰμί,verb,kai\,καί,conjunction,h(,ὁ,article,zwh\,ζωή,noun,h)=n,εἰμί,verb,to\,ὁ,article,fw=s,φάος,adjective,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,,,,,,,,,,ὅς,pronoun,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,to\,fw=s,φάος,adjective,e)n,ἐν,preposition,th=|,ὁ,article,skoti/a|,σκοτία,noun,fai/nei,φαίνω,verb,kai\,καί,conjunction,h(,ὁ,article,skoti/a,σκοτία,noun,au)to\,αὐτός,pronoun,ou),οὐ,adverb,kate/laben,καταλαμβάνω,verb,,,,,,,,,,,,,καί,conjunction,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ege/neto,a)/nqrwpos,a)pestalme/nos,ἀποστέλλω,verb,para\,παρά,preposition,qeou=,θεός,noun,o)/noma,ὄνομα,adjective,au)tw=|,αὐτός,pronoun,*)iwa/nhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,h)=lqen,ei)s,εἰς,preposition,marturi/an,μαρτυρία,noun,i(/na,ἵνα,conjunction,marturh/sh|,μαρτύρομαι,verb,peri\,περί,preposition,tou=,ὁ,article,fwto/s,φάος,adjective,i(/na,ἵνα,conjunction,pa/ntes,πᾶς,adjective,pisteu/swsin,πιστεύω,verb,di',διά,preposition,au)tou=,αὐτός,pronoun,,,,,,,,,,οὗτος,pronoun,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,h)=n,e)kei=nos,ἐκεῖνος,pronoun,to\,ὁ,article,fw=s,φάος,adjective,a)ll',ἀλλά,adverb,i(/na,ἵνα,conjunction,marturh/sh|,μαρτύρομαι,verb,peri\,περί,preposition,tou=,ὁ,article,fwto/s,φάος,adjective,,,,,,,,,,,,,,,,,,,οὐ,adverb,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)=hn,to\,fw=s,φάος,adjective,to\,ὁ,article,a)lhqino\n,ἀληθινός,adjective,o(\,ὅς,pronoun,fwti/zei,φωτίζω,verb,pa/nta,πᾶς,adjective,a)/nqrwpon,ἄνθρωπος,noun,e)rxo/menon,ἔρχομαι,verb,ei)s,εἰς,preposition,to\n,ὁ,article,ko/smon,κόσμος,noun,,,,,,,,,,,,,εἰμί,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,tw=|,ko/smw|,κόσμος,noun,h)=n,εἰμί,verb,kai\,καί,conjunction,o(,ὁ,article,ko/smos,κόσμος,noun,di',διά,preposition,au)tou=,αὐτός,pronoun,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,o(,ὁ,article,ko/smos,κόσμος,noun,au)to\n,αὐτός,pronoun,ou)k,οὐ,adverb,e)/gnw,γιγνώσκω,verb,,,,ἐν,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ei)s,ta\,i)/dia,ἴδιος,adjective,h)=lqen,ἔρχομαι,verb,kai\,καί,conjunction,oi(,ὁ,article,i)/dioi,ἴδιος,adjective,au)to\n,αὐτός,pronoun,ou),οὐ,adverb,pare/labon,παραλαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/soi,de\,e)/labon,λαμβάνω,verb,au)to/n,αὐτός,pronoun,e)/dwken,δίδωμι,verb,au)toi=s,αὐτός,pronoun,e)cousi/an,ἐξουσία,noun,te/kna,τέκνον,noun,qeou=,θεός,noun,gene/sqai,γίγνομαι,verb,toi=s,ὁ,article,pisteu/ousin,πιστεύω,verb,ei)s,εἰς,preposition,to\,ὁ,article,o)/noma,ὄνομα,adjective,au)tou=,αὐτός,pronoun,oi(\,ἕ,pronoun,ὅσος,adjective,δέ,particle,ou)k,οὐ,adverb,e)c,ἐκ,preposition,ai(ma/twn,αἷμα,noun,ou)de\,οὐδέ,particle,e)k,ἐκ,preposition,qelh/matos,θέλημα,noun,sarko\s,σάρξ,adjective,ou)de\,οὐδέ,particle,e)k,ἐκ,preposition,qelh/matos,θέλημα,noun,a)ndro\s,ἀνήρ,noun,a)ll',ἀλλά,adverb,e)k,ἐκ,preposition,qeou=,θεός,noun,e)gennh/qhsan,γεννάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,o(,lo/gos,λόγος,noun,sa\rc,σάρξ,adjective,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,e)skh/nwsen,σκηνόω,verb,e)n,ἐν,preposition,h(mi=n,ἐγώ,pronoun,kai\,καί,conjunction,e)qeasa/meqa,θεάομαι,verb,th\n,ὁ,article,do/can,δόξα,noun,au)tou=,αὐτός,pronoun,do/can,δόξα,noun,w(s,ὡς,conjunction,monogenou=s,μονογενής,adjective,καί,conjunction,ὁ,article,para\,παρά,preposition,patro/s,πατήρ,noun,plh/rhs,πλήρης,adverb,xa/ritos,χάρις,noun,kai\,καί,conjunction,a)lhqei/as,ἀλήθεια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
