word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS
tou\s,ὁ,article,filosofh/santas,φιλοσοφέω,verb,e)n,ἐν,preposition,do/ch|,δόξα,noun,tou=,ὁ,article,sofisteu=sai,σοφιστεύω,verb,kai\,καί,conjunction,tou\s,ὁ,article,ou(/tw,οὕτως,adverb,kuri/ws,κυρίως,adverb,prosrhqe/ntas,προσερέω,verb,sofista\s,σοφιστής,noun,e)s,εἰς,preposition,du/o,δύο,adjective,bibli/a,βιβλίον,noun,a)ne/graya/,ἀναγράφω,verb,soi,σύ,pronoun,gignw/skwn,γιγνώσκω,verb,me/n,μέν,particle,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,ge/nos,γένος,noun,e)sti/,εἰμί,verb,soi,σύ,pronoun,pro\s,πρός,preposition,th\n,ὁ,article,te/xnhn,τέχνη,noun,e)s,εἰς,preposition,*(hrw/dhn,Ἡρώδης,proper,to\n,ὁ,article,sofisth\n,σοφιστής,noun,a)nafe/ronti,ἀναφέρω,verb,memnhme/nos,μιμνήσκω,verb,de\,δέ,particle,kai\,καί,conjunction,tw=n,ὁ,article,kata\,κατά,preposition,th\n,ὁ,article,*)antio/xeian,spoudasqe/ntwn,σπουδάζω,verb,pote\,ποτός,adjective,h(mi=n,ἐγώ,pronoun,u(pe\r,ὑπέρ,preposition,sofistw=n,σοφιστής,noun,e)n,ἐν,preposition,tw=|,ὁ,article,tou=,ὁ,article,*dafnai/ou,Δαφναῖος,proper,i(erw=|,ἱερόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pate/ras,πατήρ,noun,de\,δέ,particle,ou),οὐ,adverb,prose/graya,προσγράφω,verb,ma\,μά,particle,*di/a,Δίη,proper,ou),οὐ,adverb,pa=sin,πᾶς,adjective,a)lla\,ἀλλά,adverb,toi=s,ὁ,article,a)p',ἀπό,preposition,eu)doki/mwn,εὐδόκιμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=da,οἶδα,verb,ga\r,γάρ,particle,dh\,δή,particle,kai\,καί,conjunction,*kriti/an,Κριτίης,proper,to\n,ὁ,article,sofisth\n,σοφιστής,noun,ou)k,οὐ,adverb,e)k,ἐκ,preposition,pate/rwn,πατήρ,noun,a)lla\,ἀλλά,adverb,*(omh/rou,Ὅμηρος,proper,dh\,δή,particle,mo/nou,μόνος,adjective,su\n,σύν,preposition,tw=|,ὁ,article,patri\,πατήρ,noun,e)pimnhsqe/nta,ἐπιμιμνήσκομαι,verb,e)peidh\,ἐπεί,conjunction,qau=ma,θαῦμα,noun,dhlw/sein,δηλόω,verb,e)/melle,μέλλω,verb,pate/ra,πατήρ,noun,*(omh/rw|,Ὅμηρος,proper,potamo\n,ποταμός,noun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)/llws,ἄλλως,adverb,ou)k,οὐ,adverb,eu)tuxe\s,εὐτυχής,adjective,tw=|,ὁ,article,boulome/nw|,βούλομαι,verb,polla\,πολύς,adjective,ei)de/nai,οἶδα,verb,pate/ra,πατήρ,noun,me\n,μέν,particle,tou=,ὁ,article,dei=nos,δεῖνα,noun,e)cepi/stasqai,ἐξεπίσταμαι,verb,kai\,καί,conjunction,mhte/ra,μήτηρ,noun,ta\s,ὁ,article,de\,δέ,particle,peri\,περί,preposition,au)to\n,αὐτός,pronoun,a)reta/s,ἀρετή,noun,te,τε,particle,kai\,καί,conjunction,kaki/as,κακία,noun,ou),οὐ,adverb,gignw/skein,γιγνώσκω,verb,mhd',μηδέ,particle,o(/,ὅς,pronoun,ti,τις,pronoun,katw/rqwse/,κατορθόω,verb,te,τε,particle,ou(=tos,οὗτος,pronoun,kai\,καί,conjunction,e)sfa/lh,σφάλλω,verb,h)\,ἠέ,conjunction,tu/xh|,τυγχάνω,verb,h)\,ἠέ,conjunction,gnw/mh|,γνώμη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,fro/ntisma,φρόντισμα,noun,tou=to,οὗτος,pronoun,a)/riste,ἄριστος,adjective,a)nqupa/twn,ἀνθύπατος,noun,kai\,καί,conjunction,ta\,ὁ,article,a)/xqh,ἄχθος,noun,soi,σύ,pronoun,koufiei=,κουφίζω,verb,th=s,ὁ,article,gnw/mhs,γνώμη,noun,w(/sper,ὥσπερ,adverb,o(,ὁ,article,krath\r,κρατήρ,noun,th=s,ὁ,article,*(ele/nhs,Ἑλένη,proper,toi=s,ὁ,article,*ai)gupti/ois,Αἰγύπτιος,proper,farma/kois,φάρμακον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/rrwso,ῥώννυμι,verb,*moushge/ta,Μουσαγέτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,a)rxai/an,ἀρχαῖος,adjective,sofistikh\n,σοφιστικός,adjective,r(htorikh\n,ῥητορικός,adjective,h(gei=sqai,ἡγέομαι,verb,xrh\,χρή,verb,filosofou=san,φιλοσοφέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diale/getai,διαλέγω,verb,me\n,μέν,particle,ga\r,γάρ,particle,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,oi(,ἕ,pronoun,filosofou=ntes,φιλοσοφέω,verb,a(\,ὅς,pronoun,de\,δέ,particle,e)kei=noi,ἐκεῖνος,pronoun,ta\s,ὁ,article,e)rwth/seis,ἐρώτησις,noun,u(pokaqh/menoi,ὑποκάθημαι,verb,kai\,καί,conjunction,ta\,ὁ,article,smikra\,μικρός,adjective,tw=n,ὁ,article,zhtoume/nwn,ζητέω,verb,probiba/zontes,προβιβάζω,verb,ou)/pw,οὔπω,adverb,fasi\,φημί,verb,gignw/skein,γιγνώσκω,verb,tau=ta,οὗτος,pronoun,o(,ὁ,article,palaio\s,παλαιός,adjective,sofisth\s,σοφιστής,noun,w(s,ὡς,conjunction,ei)dw\s,οἶδα,verb,le/gei,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prooi/mia,προοίμιον,noun,gou=n,γοῦν,particle,poiei=tai,ποιέω,verb,tw=n,ὁ,article,lo/gwn,λόγος,noun,to\,ὁ,article,oi)=da,οἶδα,verb,kai\,καί,conjunction,to\,ὁ,article,gignw/skw,γιγνώσκω,verb,kai\,καί,conjunction,pa/lai,πάλαι,adverb,die/skemmai,διασκέπτομαι,verb,kai\,καί,conjunction,be/baion,βέβαιος,adjective,a)nqrw/pw|,ἄνθρωπος,noun,ou)de/n,οὐδείς,pronoun,h(,ὁ,article,de\,δέ,particle,toiau/th,τοιοῦτος,adjective,i)de/a,ἰδέα,noun,tw=n,ὁ,article,prooimi/wn,προοίμιον,noun,eu)ge/neia/n,εὐγένεια,noun,te,τε,particle,prohxei=,προηχέω,verb,tw=n,ὁ,article,lo/gwn,λόγος,noun,kai\,καί,conjunction,fro/nhma,φρόνημα,noun,kai\,καί,conjunction,kata/lhyin,κατάληψις,noun,safh=,σαφής,adverb,tou=,ὁ,article,o)/ntos,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/rmostai,ἁρμόζω,verb,de\,δέ,particle,h(,ὁ,article,me\n,μέν,particle,th=|,ὁ,article,a)nqrwpi/nh|,ἀνθρώπινος,adjective,mantikh=|,μαντικός,adjective,h(\n,ὅς,pronoun,*ai)gu/ptioi/,Αἰγύπτιος,proper,te,τε,particle,kai\,καί,conjunction,*xaldai=oi,Χαλδαῖος,proper,kai\,καί,conjunction,pro\,πρό,preposition,tou/twn,οὗτος,pronoun,*)indoi\,Ἰνδός,proper,cune/qesan,,,muri/ois,μυρίος,adjective,a)ste/rwn,ἀστήρ,noun,stoxazo/menoi,στοχάζομαι,verb,tou=,ὁ,article,o)/ntos,εἰμί,verb,h(,ὁ,article,de\,δέ,particle,th=|,ὁ,article,qespiw|dw=|,θεσπιῳδός,adjective,te,τε,particle,kai\,καί,conjunction,xrhsthriw/dei,χρηστηριώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
