word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS
*)agasiklh=s,Ἀγασικλέης,proper,o(,ὁ,article,*lakedaimoni/wn,Λακεδαιμόνιος,proper,basileu/s,βασιλεύς,noun,qauma/zonto/s,θαυμάζω,verb,tinos,τις,pronoun,o(/ti,ὅστις,pronoun,filh/koos,φιλήκοος,adjective,w)\n,εἰμί,verb,ou),οὐ,adverb,prosde/xetai,προσδέχομαι,verb,*filofa/nh,to\n,ὁ,article,sofisth/n,σοφιστής,noun,e)/fh,φημί,verb,tou/twn,οὗτος,pronoun,xrh/|zw,χρῄζω,verb,maqhth\s,μαθητής,noun,ei)=nai,εἰμί,verb,w(=n,ὅς,pronoun,ei)=nai,εἰμί,verb,kai\,καί,conjunction,ui(o/s,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,de\,δέ,particle,to\n,ὁ,article,ei)po/nta,εἶπον,verb,pw=s,πῶς,adverb,a)/n,ἄν,particle,tis,τις,pronoun,a)dorufo/rhtos,ἀδορυφόρητος,adjective,w)\n,εἰμί,verb,a)/rxein,ἄρχω,verb,a)sfalw=s,ἀσφαλής,adjective,du/naito,e)a\n,ἐάν,conjunction,ou(/tws,οὕτως,adverb,e)/fh,φημί,verb,au)tw=n,αὐτός,pronoun,a)/rxh|,ἄρχω,verb,w(/sper,ὥσπερ,adverb,oi(,ὁ,article,pate/res,πατήρ,noun,tw=n,ὁ,article,ui(w=n,υἱός,noun,,,,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aghsi/laos,Ἀγησίλαος,proper,o(,ὁ,article,me/gas,μέγας,adverb,para\,παρά,preposition,po/ton,πότος,noun,pote\,ποτός,adjective,laxw\n,λαγχάνω,verb,sumposi/arxos,συμποσίαρχος,noun,e)rwthqei\s,ἐρωτάω,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,oi)noxo/ou,po/son,πόσος,adjective,e(ka/stw|,ἕκαστος,adjective,prosfe/rh|,προσφέρω,verb,e)/fh,φημί,verb,ei),εἰ,conjunction,me\n,μέν,particle,polu\s,πολύς,adjective,oi)=no/s,οἶνος,noun,e)sti,εἰμί,verb,pareskeuasme/nos,παρασκευάζω,verb,o(/son,ὅσος,adjective,οἰνόχοος,noun,e(/kastos,ἕκαστος,adjective,ai)tei=,αἰτέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,o)li/gos,ὀλίγος,adjective,e)c,ἐκ,preposition,i)/sou,ἴσος,adjective,di/dou,δίδημι,verb,pa=sin,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kakou/rgou,κάκουργος,adjective,de/,δέ,particle,tinos,τις,pronoun,e)mmo/nws,ἔμμονος,adjective,u(pomei/nantos,ὑπομένω,verb,basa/nous,βάσανος,noun,w(s,ὡς,conjunction,sfo/dra,σφόδρα,adverb,ponhro/s,πονηρός,adjective,ei)=pen,εἶπον,verb,a(/nqrwpos,ἄνθρωπος,noun,ei)s,moxqhra\,μοχθηρός,adjective,kai\,καί,conjunction,ai)sxra\,αἰσχρός,adjective,pra/gmata,πρᾶγμα,noun,th\n,ὁ,article,u(pomonh\n,ὑπομονή,noun,kai\,καί,conjunction,karteri/an,καρτερία,noun,katatiqe/menos,κατατίθημι,verb,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)painou=ntos,ἐπαινέω,verb,de/,δέ,particle,tinos,τις,pronoun,r(h/tora,ῥήτωρ,noun,e)pi\,ἐπί,preposition,tw=|,ὁ,article,dunatw=s,δυνατός,adjective,au)/cein,αὐξάνω,verb,ta\,ὁ,article,mikra\,μικρός,adjective,pra/gmata,πρᾶγμα,noun,ou)de\,skutoto/mon,σκυτοτόμος,adjective,e)/fhsen,φημί,verb,ei)=nai,εἰμί,verb,spoudai=on,σπουδαῖος,adjective,o(\s,ὅς,pronoun,mikrw=|,μικρός,adjective,podi\,ποδίς,noun,u(podh/mata,ὑπόδημα,noun,mega/la,μέγας,adverb,periti/qhsin,περιτίθημι,verb,,,,οὐδέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fame/nou,φημί,verb,de\,δέ,particle,tino/s,τις,pronoun,pote,ποτέ,particle,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,w(molo/ghkas,ὁμολογέω,verb,kai\,καί,conjunction,polla/kis,πολλάκις,adverb,to\,ὁ,article,au)to\,αὐτός,pronoun,le/gontos,nai\,ναί,adverb,dh=ta,δῆτα,adverb,ei)/,εἰ,conjunction,g',γε,particle,e)sti\,εἰμί,verb,di/kaion,δίκαιος,adjective,e)/fh,φημί,verb,ei),εἰ,conjunction,de\,δέ,particle,mh/,μή,conjunction,e)/leca,λέγω,verb,λέγω,verb,me/n,μέν,particle,w(molo/ghsa,ὁμολογέω,verb,de\,δέ,particle,ou)/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peipo/ntos,ἐπεῖπον,verb,de/,δέ,particle,a)lla\,ἀλλά,adverb,mh\n,μήν,particle,dei=,δέομαι,verb,tou\s,ὁ,article,basilei=s,βασιλεύς,noun,e)pitelei=n,ἐπιτέλλω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,ken,ἄν,particle,kefalh=|,kataneu/swsin',κατανεύω,verb,ou),οὐ,adverb,ma=llon,μᾶλλον,adverb,e)/fh,φημί,verb,h)\,ἠέ,conjunction,tou\s,ὁ,article,prosio/ntas,πρόσειμι,verb,toi=s,ὁ,article,basileu=sin,βασιλεύς,noun,ai)tei=sqai,αἰτέω,verb,dei=,δέομαι,verb,κεφαλή,noun,ta\,ὁ,article,di/kaia,δίκαιος,adjective,kai\,καί,conjunction,le/gein,λέγω,verb,stoxazome/nous,στοχάζομαι,verb,te,τε,particle,tou=,ὁ,article,kairou=,καιρός,noun,kai\,καί,conjunction,tou=,ὁ,article,a(rmo/zontos,ἁρμόζω,verb,toi=s,ὁ,article,basileu=sin,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(po/te,ὁπότε,adverb,de\,δέ,particle,yego/ntwn,ψέγω,verb,h)\,ἠέ,conjunction,e)painou/ntwn,ἐπαινέω,verb,tinw=n,τις,pronoun,a)kou/oi,ἀκούω,verb,ou)x,οὐ,adverb,h(=tton,ἥσσων,adverb,w)/|eto,οἴομαι,verb,dei=n,δέω,verb,katamanqa/nein,tou\s,ὁ,article,tw=n,ὁ,article,lego/ntwn,λέγω,verb,tro/pous,τρόπος,noun,h)\,ἠέ,conjunction,peri\,περί,preposition,w(=n,ὅς,pronoun,le/goien,λέγω,verb,,,,,,,,,,καταμανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,pai=da,παῖς,adjective,au)to\n,αὐτός,pronoun,o)/nta,εἰμί,verb,gumnopaidi/as,Γυμνοπαιδίαι,proper,a)gome/nhs,ἄγω,verb,o(,ὁ,article,xoropoio\s,χοροποιός,adjective,e)/sthsen,ἵστημι,verb,ei)s,εἰς,preposition,a)/shmon,to/pon,τόπος,noun,o(,ὁ,article,de\,δέ,particle,e)pei/sqh,πείθω,verb,kai/per,καίπερ,particle,h)/dh,ἤδη,adverb,basileu\s,βασιλεύς,noun,a)podedeigme/nos,ἀποδείκνυμι,verb,kai\,καί,conjunction,ei)=pen,εἶπον,verb,eu)=ge,εὖγε,adverb,ἄσημος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
