word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/64/lemma/@_entry,word/64/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/78/lemma/@_entry,word/78/lemma/@_POS,word/99/lemma/@_entry,word/99/lemma/@_POS,word/87/lemma/@_entry,word/87/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/122/lemma/@_entry,word/122/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS
*kike/rwnos,de\,δέ,particle,th\n,ὁ,article,me\n,μέν,particle,mhte/ra,μήτηρ,noun,le/gousin,λέγω,verb,*(elbi/an,kai\,καί,conjunction,gegone/nai,γίγνομαι,verb,kalw=s,καλός,noun,kai\,καί,conjunction,bebiwke/nai,βιόω,verb,peri\,περί,preposition,de\,δέ,particle,tou=,ὁ,article,patro\s,πατήρ,noun,ou)de\n,οὐδείς,pronoun,h)=n,εἰμί,verb,puqe/sqai,πυνθάνομαι,verb,me/trion,μέτριος,adjective,oi(,ἕ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,e)n,ἐν,preposition,knafei/w|,κναφεῖον,noun,tini\,τις,pronoun,kai\,καί,conjunction,gene/sqai,γίγνομαι,verb,kai\,καί,conjunction,trafh=nai,τρέφω,verb,to/n,ὁ,article,a)/ndra,ἀνήρ,noun,le/gousin,λέγω,verb,oi(,ἕ,pronoun,d',δέ,particle,ei)s,εἰς,preposition,*tu/llon,τύλλος,noun,*)/attion,a)na/gousi,ἀνάγω,verb,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,tou=,ὁ,article,ge/nous,γένος,noun,basileu/santa,βασιλεύω,verb,lamprw=s,λαμπρός,adjective,e)n,ἐν,preposition,*ou)olou/skois,Οὐόλουσκος,proper,kai\,καί,conjunction,polemh/santa,πολεμέω,verb,*(rwmai/ois,ou)k,οὐ,adverb,a)duna/tws,ἀδύνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,me/ntoi,μέντοι,particle,prw=tos,πρότερος,adjective,e)k,ἐκ,preposition,tou=,ὁ,article,ge/nous,γένος,noun,*kike/rwn,e)ponomasqei\s,ἐπονομάζω,verb,a)/cios,ἄξιος,adjective,lo/gou,λόγος,noun,dokei=,δοκέω,verb,gene/sqai,γίγνομαι,verb,dio\,διό,conjunction,th\n,ὁ,article,e)pi/klhsin,ἐπίκλησις,noun,ou)k,οὐ,adverb,a)pe/rriyan,ἀπορρίπτω,verb,oi(,ὁ,article,met',μετά,preposition,au)to/n,αὐτός,pronoun,a)ll',ἀλλά,adverb,h)spa/santo,ἀσπάζομαι,verb,kai/per,καίπερ,particle,u(po\,ὑπό,preposition,pollw=n,πολύς,adjective,xleuazome/nhn,χλευάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ki/kera,ga\r,γάρ,particle,oi(,ὁ,article,*lati=noi,Λατῖνος,proper,to/n,ὁ,article,e)re/binqon,ἐρέβινθος,noun,kalou=si,ka)kei=nos,ἐκεῖνος,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,pe/rati,πέρας,noun,th=s,ὁ,article,r(ino\s,ῥίς,noun,diastolh\n,διαστολή,noun,w(s,ὡς,conjunction,e)/oiken,ἔοικα,verb,a)mblei=an,ἀμβλύς,adjective,ei)=xen,ἔχω,verb,w(/sper,ὥσπερ,adverb,e)rebi/nqou,ἐρέβινθος,noun,diafuh/n,διαφυή,noun,a)f',ἀπό,preposition,h(=s,ὅς,pronoun,e)kth/sato,κτάομαι,verb,th\n,ὁ,article,e)pwnumi/an,ἐπωνυμία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to/s,ge,γε,particle,mh\n,μήν,particle,*kike/rwn,,,u(pe\r,ὑπέρ,preposition,ou(=,ἕ,pronoun,ta/de,ge/graptai,γράφω,verb,tw=n,ὁ,article,fi/lwn,φίλος,adjective,au)to\n,αὐτός,pronoun,oi)ome/nwn,οἴομαι,verb,dei=n,δέω,verb,o(/te,ὅτε,conjunction,prw=ton,πρότερος,adjective,a)rxh\n,ἀρχή,noun,meth/|ei,μέτειμι,verb,kai\,καί,conjunction,politei/as,πολιτεία,noun,h(/pteto,ἅπτω,verb,fugei=n,φεύγω,verb,tou)/noma,ὄνομα,adjective,kai\,καί,conjunction,metaqe/sqai,μετατίθημι,verb,le/getai,λέγω,verb,neanieusa/menos,νεανιεύομαι,verb,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,a)gwniei=tai,ἀγωνίζομαι,verb,to/n,ὁ,article,*kike/rwna,,,tw=n,ὁ,article,*skau/rwn,σκαῦρος,noun,kai\,καί,conjunction,tw=n,ὁ,article,*ka/tlwn,,,e)ndoco/teron,ἔνδοξος,adjective,a)podei=cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,ὅδε,pronoun,ἀποδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tamieu/wn,d',δέ,particle,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,kai\,καί,conjunction,toi=s,ὁ,article,qeoi=s,a)na/qhma,ἀνάθημα,noun,poiou/menos,ποιέω,verb,a)rgurou=n,ἀργυρόω,verb,ta\,ὁ,article,me\n,μέν,particle,prw=ta,πρότερος,adjective,du/o,δύο,adjective,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,e)pe/graye,ἐπιγράφω,verb,to/n,ὁ,article,te,τε,particle,*ma=rkon,,,kai\,καί,conjunction,to/n,ὁ,article,*tu/llion,Τύλλιος,proper,a)nti\,ἀντί,preposition,de\,δέ,particle,tou=,ὁ,article,tri/tou,τρίτος,adjective,skw/ptwn,εἰσλάω,verb,e)re/binqon,ἐρέβινθος,noun,e)ke/leuse,κελεύω,verb,para\,παρά,preposition,ta\,ὁ,article,gra/mmata,γράμμα,noun,to/n,ὁ,article,texni/thn,τεχνίτης,noun,e)ntoreu=sai,ἐντορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ταμιεύω,verb,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,me\n,μέν,particle,ou)=n,οὖν,particle,peri\,περί,preposition,tou=,ὁ,article,o)no/matos,ὄνομα,adjective,i(sto/rhtai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,ἱστορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texqh=nai,de\,δέ,particle,*kike/rwna,,,le/gousin,λέγω,verb,a)nwdu/nws,ἀνώδυνος,adjective,kai/,καί,conjunction,a)po/nws,loxeuqei/shs,λοχεύω,verb,au)tou=,αὐτός,pronoun,th=s,ὁ,article,mhtro\s,μήτηρ,noun,h(me/ra|,ἡμέρα,noun,tri/th|,τρίτος,adjective,tw=n,ὁ,article,ne/wn,νέος,adjective,*kalandw=n,,,e)n,ἐν,preposition,h(=|,ὅς,pronoun,nu=n,νῦν,adverb,oi(,ὁ,article,a)/rxontes,ἄρχων,noun,eu)/xontai,εὔχομαι,verb,kai/,καί,conjunction,qu/ousin,θύω,verb,u(pe\r,ὑπέρ,preposition,tou=,ὁ,article,h(gemo/nos,ἡγεμών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίκτω,verb,ἄπονος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,de\,δέ,particle,ti/tqh|,τίτθη,noun,fa/sma,φάσμα,adjective,dokei=,δοκέω,verb,gene/sqai,γίγνομαι,verb,kai/,proeipei=n,προεῖπον,verb,w(s,ὡς,conjunction,o)/felos,ὄφελος,noun,me/ga,μέγας,adverb,pa=si,πᾶς,adjective,*(rwmai/ois,,,e)ktrefou/sh|,ἐκτρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,de\,δέ,particle,a)/llws,ἄλλως,adverb,o)nei/rata,ὄνειρος,noun,kai/,καί,conjunction,flu/aron,φλύαρος,noun,ei)=nai,dokou=nta,δοκέω,verb,taxe/ws,ταχέως,adverb,au)to\s,αὐτός,pronoun,a)pe/deice,ἀποδείκνυμι,verb,mantei/an,μαντεία,noun,a)lhqinh\n,ἀληθινός,adjective,e)n,ἐν,preposition,h(liki/a|,ἡλικία,noun,tou=,ὁ,article,manqa/nein,μανθάνω,verb,geno/menos,γίγνομαι,verb,di',διά,preposition,eu)fui/+an,εὐφυία,noun,e)kla/myas,ἐκλάμπω,verb,kai/,καί,conjunction,labw\n,λαμβάνω,verb,o)/noma,ὄνομα,adjective,kai/,καί,conjunction,do/can,δόξα,noun,e)n,ἐν,preposition,toi=s,ὁ,article,paisi/n,παῖς,adjective,w(/ste,ὥστε,conjunction,tou\s,ὁ,article,pate/ras,πατήρ,noun,au(tw=n,ἑαυτοῦ,pronoun,e)pifoita=n,ἐπιφοιτάω,verb,toi=s,ὁ,article,didaskalei/ois,διδασκαλεῖον,noun,o)/yei,ὁράω,verb,te,boulome/nous,βούλομαι,verb,i)dei=n,εἶδον,verb,to\n,ὁ,article,*kike/rwna,,,kai\,καί,conjunction,th\n,ὁ,article,u(mnoume/nhn,ὑμνέω,verb,au)tou=,αὐτός,pronoun,peri\,περί,preposition,ta\s,ὁ,article,maqh/seis,μάθησις,noun,o)cu/thta,kai/,καί,conjunction,su/nesin,σύνεσις,noun,οὗτος,pronoun,εἰμί,verb,τε,particle,ὀξύτης,noun,i(storh=sai,ἱστορέω,verb,tou\s,ὁ,article,d',δέ,particle,a)groikote/rous,ἄγροικος,adjective,o)rgi/zesqai,ὀργίζω,verb,toi=s,ὁ,article,ui(e/sin,υἱός,noun,o(rw=ntas,ὁράω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,o(doi=s,ὁδός,adjective,to\n,ὁ,article,*kike/rwna,me/son,μέσος,adjective,au(tw=n,ἑαυτοῦ,pronoun,e)pi\,ἐπί,preposition,timh=|,τιμή,noun,lamba/nontas,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geno/menos,d',δέ,particle,w(/sper,ὥσπερ,adverb,o(,ὁ,article,*pla/twn,Πλάτων,proper,a)cioi=,ἀξιόω,verb,th\n,filomaqh=,φιλομαθής,adverb,kai/,καί,conjunction,filo/sofon,φιλόσοφος,noun,fu/sin,φύσις,noun,oi(=os,οἷος,adjective,a)spa/zesqai,ἀσπάζομαι,verb,pa=n,πᾶς,adjective,ma/qhma,μάθημα,noun,kai/,καί,conjunction,mhde\n,μηδείς,pronoun,lo/gou,λόγος,noun,mhde\,μηδέ,particle,paidei/as,παιδεία,noun,a)tima/zein,ἀτιμάζω,verb,ei)=dos,εἶδος,noun,e)rru/h,ῥέω,verb,pws,πως,particle,proqumo/teron,πρόθυμος,adjective,e)pi\,ἐπί,preposition,poihtikh/n,ποιητικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
