word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/35/lemma/@_entry,word/35/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS
a)=ra/,ἆρα,particle,ge,γε,particle,w(/sper,ὥσπερ,adverb,o(,ὁ,article,*simwni/dhs,Σιμωνίδης,proper,fhsi/n,φημί,verb,w)=,ὦ,interjection,*so/ssie,*seneki/wn,toi=s,ὁ,article,*korinqi/ois,Κορίνθιος,proper,ou),οὐ,adverb,mhni/ein,μηνίω,verb,to\,ὁ,article,*)/ilion,Ἴλιον,proper,e)pistrateu/sasi,ἐπιστρατεύω,verb,meta\,μετά,preposition,tw=n,ὁ,article,*)axaiw=n,Ἀχαία,proper,o(/ti,ὅστις,pronoun,ka)kei/nois,ἐκεῖνος,pronoun,oi(,ὁ,article,peri\,περί,preposition,*glau=kon,Γλαύκος,proper,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,*kori/nqioi,Κορίνθιος,proper,gegono/tes,γίγνομαι,verb,sunema/xoun,συμμαχέω,verb,proqu/mws,πρόθυμος,adjective,ou(/tws,οὕτως,adverb,ei)ko\s,ἔοικα,verb,th=|,ὁ,article,*)akadhmei/a|,Ἀκαδήμεια,proper,mh/te,μήτε,particle,*(rwmai/ous,mh/te,μήτε,particle,*(/ellhnas,Ἕλλην,proper,e)gkalei=n,ἐγκαλέω,verb,i)/son,ἴσος,adjective,ferome/nous,φέρω,verb,e)k,ἐκ,preposition,th=s,ὁ,article,grafh=s,γραφεύς,noun,tau/ths,οὗτος,pronoun,h(\,ὅς,pronoun,to/n,ὁ,article,te,τε,particle,*brou/tou,perie/xei,περιέχω,verb,bi/on,βίος,adjective,kai\,καί,conjunction,to/n,ὁ,article,*di/wnos,Δίων,proper,w(=n,ὅς,pronoun,o(,ὁ,article,me\n,μέν,particle,au)tw=|,αὐτός,pronoun,*pla/twni,Πλάτων,proper,plhsia/sas,πλησιάζω,verb,o(,ὁ,article,de\,δέ,particle,toi=s,ὁ,article,lo/gois,λόγος,noun,e)ntrafei\s,ἐντρέφω,verb,toi=s,ὁ,article,*pla/twnos,Πλάτων,proper,w(/sper,ὥσπερ,adverb,e)k,ἐκ,preposition,mia=s,εἷς,adjective,w(/rmhsan,ὁρμάω,verb,a)mfo/teroi,ἀμφότερος,adjective,palai/stras,παλαίστρα,noun,e)pi\,ἐπί,preposition,tou\s,ὁ,article,megi/stous,μέγας,adverb,a)gw=nas,ἀγών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,me\n,μέν,particle,o(/moia,ὅμοιος,adjective,polla\,πολύς,adjective,kai\,καί,conjunction,a)delfa\,ἀδελφή,noun,pra/cantas,marturh=sai,tw=|,ὁ,article,kaqhgemo/ni,καθηγεμών,noun,th=s,ὁ,article,a)reth=s,ἀρετή,noun,o(/ti,ὅστις,pronoun,dei=,δέομαι,verb,fronh/sei,φρόνησις,noun,kai\,καί,conjunction,dikaiosu/nh|,δικαιοσύνη,noun,du/namin,δύναμις,adjective,e)pi\,ἐπί,preposition,to\,ὁ,article,au)to\,αὐτός,pronoun,kai\,καί,conjunction,tu/xhn,τύχη,noun,sunelqei=n,συνέρχομαι,verb,i(/na,ἵνα,conjunction,ka/llos,κάλλος,noun,a(/ma,ἅμα,adverb,kai\,καί,conjunction,me/geqos,μέγεθος,adjective,ai(,ὁ,article,politikai\,πολιτικός,adjective,pra/ceis,πρᾶξις,adjective,la/bwsin,λαμβάνω,verb,ou),οὐ,adverb,qaumasto/n,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πράσσω,verb,μαρτυρέω,verb,θαυμαστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ga\r,γάρ,particle,*(ippo/maxos,Ἱππόμαχος,proper,o,,,a)lei/pths,ἀλείπτης,noun,e)/lege,λέγω,verb,tou\s,ὁ,article,gegumnasme/nous,par',au)tw=|,αὐτός,pronoun,kai\,καί,conjunction,kre/as,κρέας,noun,e)c,ἐκ,preposition,a)gora=s,ἀγορά,noun,i)dw\n,εἶδον,verb,fe/rontas,φέρω,verb,e)pignw=nai,ἐπιγιγνώσκω,verb,po/rrwqen,πρόσωθεν,adverb,ou(/tw,οὕτως,adverb,to/n,ὁ,article,lo/gon,λόγος,noun,e)sti\n,εἰμί,verb,ei)ko\s,ἔοικα,verb,tw=n,ὁ,article,pepaideume/nwn,παιδεύω,verb,o(moi/ws,ὅμοιος,adjective,e(/pesqai,ἕπομαι,verb,tai=s,ὁ,article,pra/cesin,πρᾶξις,adjective,e)mme/leia/n,ἐμμέλεια,noun,tina,τις,pronoun,kai\,καί,conjunction,r(uqmo\n,ῥυθμός,noun,e)pife/ronta,ἐπιφέρω,verb,meta\,μετά,preposition,tou=,pre/pontos,πρέπων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γυμνάζω,verb,παρά,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,δέ,particle,tu/xai,τύχη,noun,toi=s,ὁ,article,sumptw/masi,σύμπτωμα,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,tai=s,proaire/sesin,ou)=sai,εἰμί,verb,ai(,ὁ,article,au)tai/,αὐτός,pronoun,suna/gousi,συνάγω,verb,tw=n,ὁ,article,a)ndrw=n,ἀνήρ,noun,tou\s,ὁ,article,bi/ous,βίος,adjective,ei)s,εἰς,preposition,o(moio/thta,ὁμοιότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,προαίρεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proanh|re/qhsan,προαναιρέω,verb,ga\r,γάρ,particle,a)mfo/teroi,ἀμφότερος,adjective,tou=,ὁ,article,te/lous,τέλος,noun,ei)s,εἰς,preposition,o(\,ὅς,pronoun,prou)/qento,ta\s,pra/ceis,πρᾶξις,adjective,e)k,ἐκ,preposition,pollw=n,πολύς,adjective,kai\,καί,conjunction,mega/lwn,μέγας,adverb,a)gw/nwn,ἀγών,noun,kataqe/sqai,κατατίθημι,verb,mh\,μή,conjunction,dunhqe/ntes,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,προτίθημι,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,de\,δέ,particle,pa/ntwn,πᾶς,adjective,qaumasiw/taton,θαυμάσιος,adjective,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,to\,ὁ,article,daimo/nion,a)mfote/rois,u(pedh/lwse,ὑποδηλόω,verb,th\n,ὁ,article,teleuth/n,τελευτή,noun,o(moi/ws,ὅμοιος,adjective,e(kate/rw|,ἑκάτερος,adjective,fa/smatos,φάσμα,adjective,ei)s,εἰς,preposition,o)/yin,ὄψις,noun,ou)k,οὐ,adverb,eu)menou=s,εὐμενής,adverb,paragenome/nou,παραγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δαιμόνιον,noun,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,lo/gos,λόγος,noun,ti/s,τίς,pronoun,e)sti,εἰμί,verb,tw=n,ὁ,article,a)nairou/ntwn,ἀναιρέω,verb,ta\,ὁ,article,toiau=ta,mhdeni\,a)\n,ἄν,particle,nou=n,νόος,adjective,e)/xonti,ἔχω,verb,prospesei=n,προσπίτνω,verb,fa/ntasma,φάντασμα,noun,dai/monos,δαίμων,adjective,mhde\,μηδέ,particle,ei)/dwlon,εἴδωλον,noun,*)alla\,ἀλλά,adverb,paida/ria,παιδάριον,noun,kai\,καί,conjunction,gu/naia,γύναιον,noun,kai\,καί,conjunction,parafo/rous,παράφορος,adjective,di',διά,preposition,a)sqe/neian,ἀσθένεια,noun,a)nqrw/pous,ἄνθρωπος,noun,e)/n,ἐν,preposition,tini,τις,pronoun,pla/nw|,πλάνος,adjective,yuxh=s,ψυχή,noun,h)\,ἠέ,conjunction,duskrasi/a|,δυσκρασία,noun,sw/matos,σῶμα,adjective,genome/nous,γίγνομαι,verb,do/cas,δόξα,noun,e)fe/lkesqai,kena\s,κενός,adjective,kai\,καί,conjunction,a)lloko/tous,ἀλλόκοτος,adjective,dai/mona,δαίμων,adjective,ponhro\n,πονηρός,adjective,e)n,ἐν,preposition,au(toi=s,ἑαυτοῦ,pronoun,th\n,ὁ,article,deisidaimoni/an,δεισιδαιμονία,noun,e)/xontas,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τοιοῦτος,adjective,μηδείς,pronoun,ἐφέλκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,*di/wn,Δίος,proper,kai\,καί,conjunction,*brou=tos,,,a)/ndres,ἀνήρ,noun,e)mbriqei=s,ἐμβριθής,adverb,kai\,filo/sofoi,kai\,καί,conjunction,pro\s,πρός,preposition,ou)de\n,οὐδείς,pronoun,a)krosfalei=s,ἀκροσφαλής,adverb,ou)d',οὐδέ,particle,eu)a/lwtoi,εὐάλωτος,adjective,pa/qos,πάθος,adjective,ou(/tws,οὕτως,adverb,u(po\,ὑπό,preposition,fa/smatos,φάσμα,adjective,diete/qhsan,διατίθημι,verb,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,fra/sai,φράζω,verb,pro\s,πρός,preposition,e(te/rous,ἕτερος,adjective,ou)k,οὐ,adverb,oi)=da,οἶδα,verb,mh\,μή,conjunction,tw=n,ὁ,article,pa/nu,πάνυ,adverb,palaiw=n,παλαιός,adjective,to\n,ὁ,article,a)topw/taton,ἄτοπος,adjective,a)nagkasqw=men,ἀναγκάζω,verb,prosde/xesqai,προσδέχομαι,verb,lo/gon,w(s,ὡς,conjunction,ta\,ὁ,article,fau=la,φαῦλος,adjective,daimo/nia,δαιμόνιον,noun,kai\,καί,conjunction,ba/skana,βασκαίνω,verb,prosfqonou=nta,προσφθονέω,verb,toi=s,ὁ,article,a)gaqoi=s,ἀγαθός,adjective,a)ndra/si,ἀνήρ,noun,kai\,καί,conjunction,tai=s,ὁ,article,pra/cesin,e)nista/mena,ἐνίστημι,verb,taraxa\s,ταραχή,noun,kai\,καί,conjunction,fo/bous,φόβος,noun,e)pa/gei,ἐπάγω,verb,sei/onta,σείω,verb,kai\,καί,conjunction,sfa/llonta,σφάλλω,verb,th\n,ὁ,article,a)reth/n,ἀρετή,noun,w(s,ὡς,conjunction,mh\,μή,conjunction,diamei/nantes,διαμένω,verb,a)ptw=tes,ἀπτώς,noun,e)n,ἐν,preposition,tw=|,ὁ,article,kalw=|,καλός,noun,kai\,καί,conjunction,a)ke/raioi,ἀκέραιος,adjective,belti/onos,βελτίων,adverb,e)kei/nwn,ἐκεῖνος,pronoun,moi/ras,μοῖρα,adjective,meta\,μετά,preposition,th\n,ὁ,article,teleuth\n,τελευτή,noun,tu/xwsin,τυγχάνω,verb,,,,,,,καί,conjunction,φιλόσοφος,noun,λόγος,noun,πρᾶξις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'alla\,,,tau=ta,οὗτος,pronoun,me\n,μέν,particle,ei)s,εἰς,preposition,a)/llon,ἄλλος,adjective,a)nakei/sqw,ἀνάκειμαι,verb,lo/gon,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,de/,δέ,particle,dwdeka/tw|,δωδέκατος,adjective,tw=n,ὁ,article,parallh/lwn,παραλάω,verb,o)/nti,εἰμί,verb,bi/wn,to\n,tou=,ὁ,article,presbute/rou,πρέσβυς,noun,proeisaga/gwmen,προεισάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βίος,adjective,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
