word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/67/lemma/@_entry,word/67/lemma/@_POS,word/69/lemma/@_entry,word/69/lemma/@_POS
dia\,διά,preposition,ti/,τίς,pronoun,th\n,ὁ,article,gamoume/nhn,γαμέω,verb,a(/ptesqai,ἅπτω,verb,puro\s,πῦρ,noun,kai\,καί,conjunction,u(/datos,ὕδωρ,noun,keleu/ousi,κελεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,tou/twn,οὗτος,pronoun,w(s,ὡς,conjunction,e)n,ἐν,preposition,stoixei/ois,στοιχεῖον,noun,kai\,καί,conjunction,a)rxai=s,ἀρχή,noun,to\,ὁ,article,me\n,μέν,particle,a)/rren,ἄρσην,noun,e)sti\,εἰμί,verb,to\,ὁ,article,de\,δέ,particle,qh=lu,θῆλυς,adjective,kai\,καί,conjunction,to\,ὁ,article,me\n,μέν,particle,a)rxa\s,ἀρχή,noun,kinh/sews,κίνησις,adjective,e)ni/hsi,ἔνειμι,verb,to\,ὁ,article,d',δέ,particle,u(pokeime/nou,ὑπόκειμαι,verb,kai\,καί,conjunction,u(/lhs,ὕλη,noun,du/namin,δύναμις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/,ἠέ,conjunction,dio/ti,διότι,conjunction,to\,ὁ,article,pu=r,πῦρ,noun,kaqai/rei,καθαίρω,verb,kai\,καί,conjunction,to\,ὁ,article,u(/dwr,ὕδωρ,noun,a(gni/zei,ἁγνίζω,verb,dei=,δέομαι,verb,de\,δέ,particle,kaqara\n,καθαρός,adjective,kai\,καί,conjunction,a(gnh\n,ἁγνός,adjective,diame/nein,διαμένω,verb,th\n,ὁ,article,gamhqei=san,γαμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,o(/ti,ὅστις,pronoun,kaqa/per,καθά,adverb,to\,ὁ,article,pu=r,πῦρ,noun,xwri\s,χωρίς,adverb,u(gro/thtos,ὑγρότης,noun,a)/trofo/n,ἄτροφος,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,chro\n,ξηρός,adjective,to\,ὁ,article,de\,δέ,particle,u(/dwr,ὕδωρ,noun,a)/neu,ἄνευ,preposition,qermo/thtos,θερμότης,noun,a)/gonon,ἄγονος,adjective,kai\,καί,conjunction,a)rgo/n,ἀργός,adjective,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,to\,ὁ,article,a)/rren,ἄρσην,noun,a)drane\s,ἀδρανής,adverb,kai\,καί,conjunction,to\,ὁ,article,qh=lu,θῆλυς,adjective,xwri\s,χωρίς,adverb,a)llh/lwn,ἀλλήλων,pronoun,h(,ὁ,article,de\,δέ,particle,su/nodos,σύνοδος,noun,a)mfoi=n,ἄμφω,noun,e)pitelei=,ἐπιτελής,adjective,toi=s,ὁ,article,gh/masi,γαμέω,verb,th\n,ὁ,article,sumbi/wsin,συμβίωσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,ou)k,οὐ,adverb,a)poleipte/on,ἀπολειπτέον,adjective,kai\,καί,conjunction,koinwnhte/on,κοινωνητέον,adjective,a(pa/shs,ἅπας,adjective,tu/xhs,τύχη,noun,ka)\n,κἀν,conjunction,a)/llou,ἄλλος,adjective,mhdeno\s,μηδείς,pronoun,h)\,ἠέ,conjunction,puro\s,πῦρ,noun,kai\,καί,conjunction,u(/datos,ὕδωρ,noun,me/llwsi,μέλλω,verb,koinwnei=n,κοινωνέω,verb,a)llh/lois,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,ou),οὐ,adverb,plei/onas,πλείων,verb,ou)d',οὐδέ,particle,e)la/ttonas,ἐλάσσων,adjective,a)lla\,ἀλλά,adverb,pe/nte,πέντε,adverb,lampa/das,λαμπάς,noun,a(/ptousin,ἅπτω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,ga/mois,γάμος,adjective,a(\s,ὅς,pronoun,khri/wnas,κηρίων,noun,o)noma/zousin,ὀνομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,w(s,ὡς,conjunction,*ba/rrwn,,,e)/legen,λέγω,verb,o(/ti,ὅστις,pronoun,tw=n,ὁ,article,strathgw=n,στρατηγός,noun,trisi\,τρεῖς,noun,xrwme/nwn,χράομαι,verb,ei)si\,εἰμί,verb,toi=s,ὁ,article,a)gorano/mois,ἀγορανόμος,noun,plei/onas,πλείων,verb,para\,παρά,preposition,de\,δέ,particle,tw=n,ὁ,article,a)gorano/mwn,ἀγορανόμος,noun,a(/ptousi,ἅπτω,verb,to\,ὁ,article,pu=r,πῦρ,noun,oi(,ἕ,pronoun,gamou=ntes,γαμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/,ἠέ,conjunction,dio/ti,διότι,conjunction,plei/osi,πλείων,verb,xrwme/nwn,χράομαι,verb,a)riqmoi=s,ἀριθμός,adjective,pro/s,πρός,preposition,te,τε,particle,ta\,ὁ,article,a)/lla,ἄλλος,adjective,belti/wn,βελτίων,adverb,kai\,καί,conjunction,teleio/teros,τέλειος,adjective,o(,ὁ,article,peritto\s,περισσός,adjective,e)nomi/zeto,νομίζω,verb,kai\,καί,conjunction,pro\s,πρός,preposition,ga/mon,γάμος,adjective,a(rmodiw/teros,ἁρμόδιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,a)/rtios,ἄρτιος,adjective,dia/stasi/n,διάστασις,noun,te,τε,particle,de/xetai,δέχομαι,verb,kai\,καί,conjunction,i)/son,ἴσος,adjective,au)tou=,αὐτός,pronoun,ma/ximo/n,μάχιμος,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,a)nti/palon,ἀντίπαλος,adjective,o(,ὁ,article,de\,δέ,particle,peritto\s,περισσός,adjective,ou),οὐ,adverb,du/natai,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diasxisqh=nai,διασχίζω,verb,panta/pasin,παντάπασι,adverb,a)ll',ἀλλά,adverb,u(polei/pei,ὑπολείπω,verb,ti,τις,pronoun,koino\n,κοινός,adjective,a)ei\,ἀεί,adverb,merizo/menos,μερίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
