word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form
me/llontes,μέλλω,verb,to\n,ὁ,article,fusiko\n,φυσικός,adjective,paradw/sein,παραδίδωμι,verb,lo/gon,λόγος,noun,a)nagkai=on,ἀναγκαῖος,adjective,h(gou/meqa,ἁγέομαι,verb,eu)qu\s,εὐθύς,adverb,e)n,ἐν,preposition,a)rxai=s,ἀρχή,noun,diele/sqai,διαιρέω,verb,th\n,ὁ,article,th=s,ὁ,article,filosofi/as,φιλοσοφία,noun,pragmatei/an,πραγματεία,noun,i(/n',ἵνα,conjunction,ei)dw=men,οἶδα,verb,ti/,τίς,pronoun,e)sti,εἰμί,verb,kai\,καί,conjunction,po/ston,πόστος,adjective,me/ros,μέρος,noun,au)th=s,αὐτός,pronoun,h(,ὁ,article,fusikh\,φυσικός,adjective,die/codos,διέξοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,*stwikoi\,στωικός,adjective,e)/fasan,φημί,verb,th\n,ὁ,article,me\n,μέν,particle,sofi/an,σοφία,noun,ei)=nai,εἰμί,verb,qei/wn,θεῖος,adjective,te,τε,particle,kai\,καί,conjunction,a)nqrwpi/nwn,ἀνθρώπινος,adjective,e)pisth/mhn,ἐπιστήμη,noun,th\n,ὁ,article,de\,δέ,particle,filosofi/an,φιλοσοφία,noun,a)/skhsin,ἄσκησις,noun,e)pithdei/ou,ἐπιτήδειος,adjective,te/xnhs,τέχνη,noun,e)pith/deion,ἐπιτήδειος,adjective,d',δέ,particle,ei)=nai,εἰμί,verb,mi/an,εἷς,adjective,kai\,καί,conjunction,a)nwta/tw,ἄνω,adverb,th\n,ὁ,article,a)reth/n,ἀρετή,noun,a)reta\s,ἀρετή,noun,de\,δέ,particle,ta\s,ὁ,article,genikwta/tas,γενικός,adjective,trei=s,τρέω,verb,fusikh\n,φυσικός,adjective,h)qikh\n,ἠθικός,adjective,logikh/n,λογικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di',διά,preposition,h(\n,ὅς,pronoun,ai)ti/an,αἰτία,noun,kai\,καί,conjunction,trimerh/s,τριμερής,adverb,e)stin,εἰμί,verb,h(,ὁ,article,filosofi/a,φιλοσοφία,noun,h(=s,ὅς,pronoun,to\,ὁ,article,me\n,μέν,particle,fusiko\n,φυσικός,adjective,to\,ὁ,article,d',δέ,particle,h)qiko\n,ἠθικός,adjective,to\,ὁ,article,de\,δέ,particle,logiko/n,λογικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,fusiko\n,φυσικός,adjective,me\n,μέν,particle,o(/tan,ὅταν,conjunction,peri\,περί,preposition,ko/smou,κόσμος,noun,zhtw=men,ζητέω,verb,kai\,καί,conjunction,tw=n,ὁ,article,e)n,ἐν,preposition,ko/smw|,κόσμος,noun,h)qiko\n,ἠθικός,adjective,de\,δέ,particle,to\,ὁ,article,kathsxolhme/non,κατασχολέω,verb,peri\,περί,preposition,to\n,ὁ,article,a)nqrw/pinon,ἀνθρώπινος,adjective,bi/on,βίος,adjective,logiko\n,λογικός,adjective,de\,δέ,particle,to\,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,lo/gon,λόγος,noun,o(\,ὅς,pronoun,kai\,καί,conjunction,dialektiko\n,διαλεκτικός,adjective,kalou=sin,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)aristote/lhs,Ἀριστοτέλης,proper,de\,δέ,particle,kai\,καί,conjunction,*qeo/frastos,Θεόφραστος,proper,kai\,καί,conjunction,sxedo\n,σχεδόν,adverb,pa/ntes,πᾶς,adjective,oi(,ὁ,article,*peripathtikoi\,περιπατητικός,adjective,diei/lonto,διαιρέω,verb,th\n,ὁ,article,filosofi/an,φιλοσοφία,noun,ou(/tws,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nagkai=on,ἀναγκαῖος,adjective,to\n,ὁ,article,te/leion,τέλειος,adjective,a)/ndra,ἀνήρ,noun,kai\,καί,conjunction,qewrhtiko\n,θεωρητικός,adjective,ei)=nai,εἰμί,verb,tw=n,ὁ,article,o)/ntwn,εἰμί,verb,kai\,καί,conjunction,praktiko\n,πρακτικός,adjective,tw=n,ὁ,article,deo/ntwn,δέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,d',δέ,particle,e)/cesti,ἔξεστι,verb,kai\,καί,conjunction,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,sunidei=n,σύνεῖδον,verb,oi(=on,οἷος,adjective,zhtei=tai,ζητέω,verb,ei),εἰ,conjunction,zw=|on,ζώιον,noun,h)\,ἠέ,conjunction,mh\,μή,conjunction,zw=|on,ζώιον,noun,o(,ὁ,article,h(\lios,ἥλιος,noun,ei)/per,εἴπερ,conjunction,o(ra=tai,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,tou=to,οὗτος,pronoun,de\,δέ,particle,zhtw=n,ζητέω,verb,qewrhtiko/s,θεωρητικός,adjective,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,ga/r,γάρ,particle,ti,τις,pronoun,ple/on,πλέος,adjective,qewrei=tai,θεωρέω,verb,h)\,ἠέ,conjunction,to\,ὁ,article,o)/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhtei=tai,ζητέω,verb,o(moi/ws,ὅμοιος,adjective,ei),εἰ,conjunction,a)/peiros,ἄπειρος,adjective,o(,ὁ,article,ko/smos,κόσμος,noun,e)sti\,εἰμί,verb,kai\,καί,conjunction,ei),εἰ,conjunction,e)/cw,ἔξω,adverb,ti,τις,pronoun,tou=,ὁ,article,ko/smou,κόσμος,noun,e)/sti,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
