word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS
*eu)=q',εὖτε,conjunction,u(po\,ὑπό,preposition,*phlei/wni,Πηλείων,proper,da/mh,δαμάω,verb,qeoei/kelos,θεοείκελος,adjective,*(/ektwr,Ἕκτωρ,proper,kai/,καί,conjunction,e(,ἕ,pronoun,purh\,πυρή,noun,kate/daye,καταδάπτω,verb,kai\,καί,conjunction,o)ste/a,ὀστέον,noun,gai=a,γαῖα,noun,kekeu/qei,κεύθω,verb,dh\,δή,particle,to/te,τότε,adverb,*trw=es,Τρώς,proper,e)/mimnon,μίμνω,verb,a)na\,ἀνά,preposition,*pria/moio,Πρίαμος,proper,po/lha,πόλις,adjective,deidio/tes,δείδω,verb,me/nos,μένος,noun,h)u\+,ἐύς,adjective,qrasu/fronos,θρασύφρων,adjective,*ai)aki/dao,Αἰακίδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)u/+t',ἠύτε,particle,e)ni\,ἐν,preposition,culoxoisi,,,bo/es,βοῦς,noun,blosuroi=o,βλοσυρός,adjective,le/ontos,λέων,noun,e)lqe/men,ἔρχομαι,verb,ou)k,οὐ,adverb,e)qe/lousin,ἐθέλω,verb,e)nanti/ai,ἐναντίος,adjective,a)lla\,ἀλλά,adverb,fe/boutai,,,i)lhdo\n,,,ptw/ssousai,πτώσσω,verb,a)na\,ἀνά,preposition,r(wph/ia,ῥωπήιον,noun,pukna/,πυκνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/s,ὡς,conjunction,oi(,ἕ,pronoun,a)na\,ἀνά,preposition,ptoli/eqron,πτολίεθρον,adjective,u(pe/tresan,ὑποτρέω,verb,o)/brimou,,,a)/ndra,ἀνήρ,noun,mnhsa/menoi,μιμνήσκω,verb,prote/rwn,πρότερος,adjective,o(po/swn,ὁπόσος,adjective,a)po\,ἀπό,preposition,qumo\n,θυμός,noun,i)/ayen,ἰάπτω,verb,qu/wn,θύω,verb,*)idai/oio,Ἰδαῖος,proper,peri\,περί,preposition,proxoh=|si,προχοή,noun,*skama/ndrou,Σκάμανδρος,proper,h)d',ἠδέ,conjunction,o(/ssous,ὅσος,adjective,feu/gontas,φεύγω,verb,u(po\,ὑπό,preposition,me/ga,μέγας,adverb,tei=xos,τεῖχος,noun,o)/lessen,ὄλλυμι,verb,*(/ektora/,Ἕκτωρ,proper,q',τε,particle,w(s,ὡς,conjunction,e)da/masse,δαμάζω,verb,kai\,καί,conjunction,a)mfei/russe,ἀμφερύω,verb,po/lhi,πόλις,adjective,a)/llous,ἄλλος,adjective,q',τε,particle,w(s,ὡς,conjunction,e)da/i+ce,δαίζω,verb,di',διά,preposition,a)kama/toio,ἀκάματος,adverb,qala/sshs,θάλασσα,noun,o(ppo/te,ὁπότε,adverb,dh\,δή,particle,ta\,ὁ,article,prw=ta,πρότερος,adjective,fe/re,φέρω,verb,*trw/essin,Τρώς,proper,o)/leqron,ὄλεθρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,oi(/,ἕ,pronoun,ge,γε,particle,mnhsqe/ntes,μιμνήσκω,verb,a)na\,ἀνά,preposition,ptoli/eqron,πτολίεθρον,adjective,e)/mimnon,μίμνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfi\,ἀμφί,preposition,d',δέ,particle,a)/ra,ἄρα,particle,sfi/si,σφεῖς,pronoun,pe/nqos,πένθος,noun,a)nihro\n,ἀνιαρός,adjective,pepo/thto,ποτάομαι,verb,w(s,ὡς,conjunction,h)/dh,ἤδη,adverb,stono/enti,στονόεις,adjective,kataiqome/nhs,καταίθω,verb,puri\,πῦρ,noun,*troi/hs,Τροία,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/te,τότε,adverb,*qermw/dontos,Θερμώδων,proper,a)p',ἀπό,preposition,eu)rupo/roio,εὐρύπορος,adjective,r(ee/qrwn,ῥεῖθρον,noun,h)/luqe,ἔρχομαι,verb,*penqesi/leia,Πενθεσιλεία,proper,qew=n,θέα,noun,e)pieime/nh,ἐφέζομαι,verb,ei)=dos,εἶδος,noun,a)/mfw,ἄμφω,noun,kai\,καί,conjunction,stono/entos,στονόεις,adjective,e)eldome/nh,ἔλδομαι,verb,pole/moio,πόλεμος,noun,kai\,καί,conjunction,me/g',μέγας,adverb,a)leuame/nh,,,stugerh\n,στυγερός,adjective,kai\,καί,conjunction,a)eike/a,ἀεικής,adjective,fh/mhn,φήμη,noun,mh/,μή,conjunction,tis,τις,pronoun,e(o\n,ἑός,adjective,kata\,κατά,preposition,dh=mon,δῆμος,noun,e)legxei/h|si,ἐλεγχείη,noun,xale/yh|,χαλέπτω,verb,a)mfi\,ἀμφί,preposition,kasignh/ths,κασιγνήτη,noun,h(=s,ὅς,pronoun,ei(/neka,ἕνεκα,preposition,pe/nqos,πένθος,noun,a)/ecen,ἀέξω,verb,*(ippolu/ths,Ἱππολύτη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,ga/r,γάρ,particle,r(a,ἄρα,particle,kate/ktane,κατακτείνω,verb,douri\,δόρυ,noun,krataiw=|,κραταιός,adjective,ou),οὐ,adverb,me\n,μέν,particle,dh/,δή,particle,ti,τις,pronoun,e(kou=sa,ἑκών,adjective,tituskome/nh,τιτύσκομαι,verb,d',δέ,particle,e)la/qoio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou)/nek',τούνεκα,adverb,a)/ra,ἄρα,particle,*troi/hs,Τροία,proper,e)rikude/os,ἐρικυδής,adjective,i(/keto,ἱκνέομαι,verb,gai=an,γαῖα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,d',δέ,particle,e)/ti,ἔτι,adverb,oi(,ἕ,pronoun,to/de,ὅδε,pronoun,qumo\s,θυμός,noun,a)rh/ios,ἄρειος,adjective,o(rmai/nesken,ὁρμαίνω,verb,o)/fra,ὄφρα,conjunction,kaqhrame/nh,καθαίρω,verb,peri\,περί,preposition,lu/mata,λῦμα,noun,lugra\,λυγρός,adjective,fo/noio,φόνος,noun,smerdale/as,σμερδαλέος,adjective,que/essin,θύος,adjective,*)erinnu/as,,,i(la/sshtai,ἱλάομαι,verb,ai(/,ὅς,pronoun,oi(,ὁ,article,a)delfeih=s,,,kexolwme/nai,χολόομαι,verb,au)ti/x',αὐτίκα,adverb,e(/ponto,ἕπομαι,verb,a)/frastoi,ἄφραστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei=nai,ἐκεῖνος,pronoun,ga\r,γάρ,particle,a)ei\,ἀεί,adverb,peri\,περί,preposition,possi\n,πούς,noun,a)litrw=n,ἀλιτρός,adjective,strwfw=nt',στρωφάω,verb,ou)de/,οὐδέ,particle,tin',τις,pronoun,e)sti\,εἰμί,verb,qea\s,θεά,noun,a)lito/nq',ἀλιταίνω,verb,u(palu/cai,ὑπαλύσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
