word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/13/lemma/@_entry,word/13/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/17/lemma/@_entry,word/17/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS,word/24/@_form,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/30/lemma/@_entry,word/30/lemma/@_POS,word/32/lemma/@_entry,word/32/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/92/lemma/@_entry,word/92/lemma/@_POS,word/102/lemma/@_entry,word/102/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS,word/141/@_form,word/141/lemma/@_entry,word/141/lemma/@_POS,word/142/@_form,word/142/lemma/@_entry,word/142/lemma/@_POS,word/143/@_form,word/143/lemma/@_entry,word/143/lemma/@_POS,word/144/@_form,word/144/lemma/@_entry,word/144/lemma/@_POS,word/145/@_form,word/145/lemma/@_entry,word/145/lemma/@_POS,word/146/@_form,word/146/lemma/@_entry,word/146/lemma/@_POS,word/147/@_form,word/147/lemma/@_entry,word/147/lemma/@_POS,word/148/@_form,word/148/lemma/@_entry,word/148/lemma/@_POS,word/149/@_form,word/149/lemma/@_entry,word/149/lemma/@_POS,word/150/@_form,word/150/lemma/@_entry,word/150/lemma/@_POS,word/151/@_form,word/151/lemma/@_entry,word/151/lemma/@_POS,word/152/@_form,word/152/lemma/@_entry,word/152/lemma/@_POS,word/153/@_form,word/153/lemma/@_entry,word/153/lemma/@_POS,word/154/@_form,word/154/lemma/@_entry,word/154/lemma/@_POS,word/138/lemma/@_entry,word/138/lemma/@_POS
*)/anqrwpos,ἄνθρωπος,noun,h)=n,εἰμί,verb,e)c,ἐκ,preposition,*armaqaim,*sifa,e)c,ἐκ,preposition,o)/rous,ὄρος,adjective,*efraim,kai\,καί,conjunction,o)/noma,ὄνομα,adjective,au)tw=|,αὐτός,pronoun,*elkana,ui(o\s,υἱός,noun,*ieremehl,ui(ou=,υἱός,noun,*hliou,ui(ou=,υἱός,noun,*qoke,e)n,ἐν,preposition,*nasib,*efraim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tw|,οὗτος,pronoun,du/o,δύο,adjective,gunai=kes,o)/noma,th=|,ὁ,article,mia=|,εἷς,adjective,*anna,kai\,καί,conjunction,o)/noma,ὄνομα,adjective,th=|,ὁ,article,deute/ra|,*fennana,,,kai\,h)=n,εἰμί,verb,th=|,*fennana,,,paidi/a,kai\,καί,conjunction,th=|,*anna,γυνή,noun,ὄνομα,adjective,δεύτερος,adjective,καί,conjunction,ὁ,article,παιδία,noun,ὁ,article,ou)k,οὐ,adverb,h)=n,εἰμί,verb,paidi/on,παιδίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)ne/bainen,ἀναβαίνω,verb,o(,ὁ,article,a)/nqrwpos,e)c,h(merw=n,ἡμέρα,noun,ei)s,εἰς,preposition,h(me/ras,e)k,ἐκ,preposition,po/lews,πόλις,adjective,au)tou=,αὐτός,pronoun,e)c,*armaqaim,,,proskunei=n,kai\,καί,conjunction,qu/ein,tw=|,ὁ,article,kuri/w|,qew=|,θεός,noun,sabawq,ei)s,ἄνθρωπος,noun,ἐκ,preposition,ἐκ,preposition,προσκυνέω,verb,θύω,verb,κύριος,adjective,,,*shlw,,,kai\,καί,conjunction,e)kei=,ἐκεῖ,adverb,ἡμέρα,noun,εἰς,preposition,*hli,kai\,καί,conjunction,oi(,ὁ,article,du/o,δύο,adjective,ui(oi\,υἱός,noun,au)tou=,αὐτός,pronoun,*ofni,kai\,καί,conjunction,*finees,i(erei=s,ἱερεύς,adjective,tou=,ὁ,article,kuri/ou,κύριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)genh/qh,γίγνομαι,verb,h(me/ra|,ἡμέρα,noun,kai\,e)/qusen,*elkana,,,kai\,καί,conjunction,e)/dwken,th=|,ὁ,article,*fennana,,,gunaiki\,γυνή,noun,au)tou=,kai\,καί,conjunction,toi=s,ui(oi=s,υἱός,noun,au)th=s,kai\,καί,conjunction,tai=s,qugatra/sin,θυγάτηρ,adjective,au)th=s,meri/das,καί,conjunction,θύω,verb,αὐτός,pronoun,ὁ,article,αὐτός,pronoun,ὁ,article,αὐτός,pronoun,kai\,καί,conjunction,th=|,ὁ,article,*anna,,,δίδωμι,verb,μερίς,noun,e)/dwken,meri/da,μερίς,noun,mi/an,εἷς,adjective,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,h)=n,εἰμί,verb,au)th=|,paidi/on,παιδίον,noun,plh\n,o(/ti,ὅστις,pronoun,th\n,ὁ,article,*annan,,,δίδωμι,verb,αὐτός,pronoun,πλήν,preposition,h)ga/pa,ἀγαπάω,verb,*elkana,u(pe\r,ὑπέρ,preposition,tau/thn,οὗτος,pronoun,kai\,καί,conjunction,ku/rios,κῦρος,noun,a)pe/kleisen,ἀποκλείω,verb,ta\,ὁ,article,peri\,περί,preposition,th\n,ὁ,article,mh/tran,μήτρα,noun,au)th=s,αὐτός,pronoun,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,e)/dwken,δίδωμι,verb,au)th=|,αὐτός,pronoun,ku/rios,κῦρος,noun,paidi/on,παιδίον,noun,kata\,κατά,preposition,th\n,ὁ,article,qli=yin,θλῖψις,noun,au)th=s,αὐτός,pronoun,kai\,καί,conjunction,kata\,κατά,preposition,th\n,ὁ,article,a)qumi/an,ἀθυμία,noun,th=s,ὁ,article,qli/yews,θλῖψις,noun,au)th=s,αὐτός,pronoun,kai\,καί,conjunction,h)qu/mei,ἀθυμέω,verb,dia\,διά,preposition,tou=to,οὗτος,pronoun,o(/ti,ὅστις,pronoun,sune/kleisen,συγκλείω,verb,ku/rios,κῦρος,noun,ta\,ὁ,article,peri\,περί,preposition,th\n,ὁ,article,mh/tran,μήτρα,noun,au)th=s,αὐτός,pronoun,tou=,ὁ,article,mh\,μή,conjunction,dou=nai,δίδωμι,verb,au)th=|,αὐτός,pronoun,paidi/on,παιδίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,οὕτως,adverb,e)poi/ei,ποιέω,verb,e)niauto\n,ἐνιαυτός,noun,kat',e)niauto\n,e)n,ἐν,preposition,tw=|,ὁ,article,a)nabai/nein,au)th\n,αὐτός,pronoun,ei)s,εἰς,preposition,oi)=kon,οἶκος,noun,kuri/ou,kai\,καί,conjunction,h)qu/mei,kai\,καί,conjunction,e)/klaien,kai\,καί,conjunction,ou)k,h)/sqien,ἐσθίω,verb,,,κατά,preposition,ἐνιαυτός,noun,κύριος,adjective,ἀθυμέω,verb,κλαίω,verb,οὐ,adverb,,,,,,,,,,,,ἀναβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,au)th=|,αὐτός,pronoun,*elkana,o(,a)nh\r,ἀνήρ,noun,au)th=s,αὐτός,pronoun,*anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,au)tw=|,αὐτός,pronoun,*)idou\,e)gw/,ku/rie,κύριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἰδού,adverb,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,au)th=|,αὐτός,pronoun,*ti/,e)sti/n,soi,σύ,pronoun,o(/ti,ὅστις,pronoun,klai/eis,kai\,καί,conjunction,i(/na,ἵνα,conjunction,ti/,τίς,pronoun,ou)k,e)sqi/eis,ἐσθίω,verb,kai\,i(/na,ἵνα,conjunction,ti/,tu/ptei,τύπτω,verb,se,h(,ὁ,article,kardi/a,sou,τίς,pronoun,εἰμί,verb,οὐ,adverb,καί,conjunction,τίς,pronoun,σύ,pronoun,καρδία,noun,ou)k,οὐ,adverb,a)gaqo\s,ἀγαθός,adjective,e)gw/,ἐγώ,pronoun,κλαίω,verb,σύ,pronoun,soi,u(pe\r,ὑπέρ,preposition,de/ka,δέκα,verb,te/kna,τέκνον,noun,kai\,καί,conjunction,a)ne/sth,ἀνίστημι,verb,*anna,meta\,μετά,preposition,to\,fagei=n,ἐσθίω,verb,au)tou\s,αὐτός,pronoun,e)n,ἐν,preposition,σύ,pronoun,,,ὁ,article,*shlw,,,kai\,kate/sth,καθίστημι,verb,e)nw/pion,ἐνώπιος,adjective,kuri/ou,κύριος,adjective,kai\,καί,conjunction,*hli,,,o(,ὁ,article,i(ereu\s,ἱερεύς,adjective,e)ka/qhto,κατακάθημαι,verb,e)pi\,ἐπί,preposition,tou=,ὁ,article,di/frou,δίφρος,noun,e)pi\,ἐπί,preposition,tw=n,ὁ,article,fliw=n,φλιά,noun,naou=,ναός,noun,kuri/ou,κύριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,au)th\,αὐτός,pronoun,katw/dunos,κατώδυνος,adjective,yuxh=|,kai\,proshu/cato,προσεύχομαι,verb,pro\s,πρός,preposition,ku/rion,kai\,καί,conjunction,klai/ousa,κλαίω,verb,e)/klausen,κλαίω,verb,kai\,hu)/cato,εὔχομαι,verb,eu)xh\n,kuri/w|,κύριος,adjective,le/gousa,*adwnai,,,ku/rie,elwai,,,sabawq,e)a\n,ψυχή,noun,καί,conjunction,καί,conjunction,εὐχή,noun,λέγω,verb,κύριος,adjective,,,e)pible/pwn,ἐπιβλέπω,verb,e)pible/yh|s,ἐπιβλέπω,verb,e)pi\,ἐπί,preposition,κύριος,adjective,ἐάν,conjunction,th\n,tapei/nwsin,ταπείνωσις,noun,th=s,ὁ,article,dou/lhs,δούλη,noun,sou,σύ,pronoun,kai\,καί,conjunction,mnhsqh=|s,mou,ἐγώ,pronoun,kai\,dw=|s,δίδωμι,verb,th=|,ὁ,article,dou/lh|,δούλη,noun,ὁ,article,μιμνήσκω,verb,καί,conjunction,sou,σύ,pronoun,spe/rma,a)ndrw=n,ἀνήρ,noun,kai\,καί,conjunction,dw/sw,δίδωμι,verb,au)to\n,αὐτός,pronoun,e)nw/pio/n,ἐνώπιος,adjective,sou,σύ,pronoun,doto\n,δοτός,adjective,e(/ws,ἕως,conjunction,h(me/ras,ἡμέρα,noun,qana/tou,θάνατος,adjective,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,oi)=non,οἶνον,noun,kai\,καί,conjunction,me/qusma,μέθυσμα,noun,ou),οὐ,adverb,pi/etai,πίνω,verb,kai\,καί,conjunction,si/dhros,σίδηρος,noun,ou)k,οὐ,adverb,a)nabh/setai,ἀνάπτω,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,kefalh\n,κεφαλή,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σπέρμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)genh/qh,γίγνομαι,verb,o(/te,ὅτε,conjunction,e)plh/qunen,proseuxome/nh,e)nw/pion,ἐνώπιος,adjective,kuri/ou,κύριος,adjective,kai\,*hli,,,o(,ὁ,article,i(ereu\s,ἱερεύς,adjective,e)fu/lacen,to\,ὁ,article,sto/ma,au)th=s,αὐτός,pronoun,kai\,au)th\,αὐτός,pronoun,e)la/lei,e)n,ἐν,preposition,th=|,kardi/a|,πληθύνω,verb,προσεύχομαι,verb,φυλάσσω,verb,στόμα,noun,καί,conjunction,λαλέω,verb,ὁ,article,au)th=s,αὐτός,pronoun,kai\,καί,conjunction,ta\,ὁ,article,καί,conjunction,καρδία,noun,xei/lh,au)th=s,αὐτός,pronoun,e)kinei=to,κινέω,verb,kai\,καί,conjunction,fwnh\,φωνή,noun,au)th=s,αὐτός,pronoun,ou)k,h)kou/eto,ἀκούω,verb,kai\,e)logi/sato,λογίζομαι,verb,au)th\n,αὐτός,pronoun,*hli,,,χεῖλος,noun,οὐ,adverb,καί,conjunction,ei)s,εἰς,preposition,mequ/ousan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μεθύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
