word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS,word/35/lemma/@_entry,word/35/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/79/lemma/@_entry,word/79/lemma/@_POS,word/83/lemma/@_entry,word/83/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/101/lemma/@_entry,word/101/lemma/@_POS,word/107/lemma/@_entry,word/107/lemma/@_POS,word/109/lemma/@_entry,word/109/lemma/@_POS,word/113/lemma/@_entry,word/113/lemma/@_POS,word/115/lemma/@_entry,word/115/lemma/@_POS,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/138/lemma/@_entry,word/138/lemma/@_POS,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS,word/141/@_form,word/141/lemma/@_entry,word/141/lemma/@_POS,word/142/@_form,word/142/lemma/@_entry,word/142/lemma/@_POS,word/143/@_form,word/143/lemma/@_entry,word/143/lemma/@_POS,word/144/@_form,word/144/lemma/@_entry,word/144/lemma/@_POS,word/145/@_form,word/145/lemma/@_entry,word/145/lemma/@_POS,word/146/@_form,word/146/lemma/@_entry,word/146/lemma/@_POS,word/147/@_form,word/148/@_form,word/148/lemma/@_entry,word/148/lemma/@_POS,word/149/@_form,word/149/lemma/@_entry,word/149/lemma/@_POS,word/150/@_form,word/150/lemma/@_entry,word/150/lemma/@_POS
*kai\,καί,conjunction,e)ge/neto,γίγνομαι,verb,meta\,μετά,preposition,to\,ὁ,article,a)poqanei=n,ἀποθνήσκω,verb,*saoul,kai\,καί,conjunction,*dauid,a)ne/streyen,ἀναστρέφω,verb,tu/ptwn,τύπτω,verb,to\n,ὁ,article,*amalhk,kai\,καί,conjunction,e)ka/qisen,καθίζω,verb,*dauid,e)n,ἐν,preposition,*sekelak,h(me/ras,ἡμέρα,noun,du/o,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)genh/qh,γίγνομαι,verb,th=|,ὁ,article,h(me/ra|,ἡμέρα,noun,th=|,ὁ,article,tri/th|,kai\,καί,conjunction,i)dou\,a)nh\r,ἀνήρ,noun,h)=lqen,ἔρχομαι,verb,e)k,ἐκ,preposition,th=s,parembolh=s,παρεμβολή,noun,e)k,ἐκ,preposition,tou=,laou=,λαός,noun,*saoul,kai\,καί,conjunction,ta\,ὁ,article,τρίτος,adjective,ἰδού,adverb,ὁ,article,ὁ,article,i(ma/tia,ἱμάτιον,adjective,au)tou=,αὐτός,pronoun,dierrwgo/ta,διαρρήγνυμι,verb,kai\,καί,conjunction,gh=,γῆ,noun,e)pi\,ἐπί,preposition,th=s,ὁ,article,kefalh=s,κεφαλή,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)ge/neto,γίγνομαι,verb,e)n,ἐν,preposition,tw=|,ὁ,article,ei)selqei=n,εἰσέρχομαι,verb,au)to\n,αὐτός,pronoun,pro\s,πρός,preposition,*dauid,kai\,καί,conjunction,e)/pesen,ἐφέζομαι,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,gh=n,γῆ,noun,kai\,καί,conjunction,proseku/nhsen,προσκυνέω,verb,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,au)tw=|,αὐτός,pronoun,*dauid,,,*po/qen,πόθεν,adverb,su\,paragi/nh|,παραγίγνομαι,verb,kai\,ei)=pen,εἶπον,verb,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,*)ek,th=s,ὁ,article,parembolh=s,παρεμβολή,noun,*israhl,e)gw\,ἐγώ,pronoun,diase/sw|smai,,,,,,,σύ,pronoun,καί,conjunction,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διασῴζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,au)tw=|,αὐτός,pronoun,*dauid,,,*ti/s,τίς,pronoun,o(,lo/gos,λόγος,noun,ou(=tos,a)pa/ggeilo/n,ἀπαγγέλλω,verb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,ὁ,article,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,o(/ti,ὅστις,pronoun,*)/efugen,φεύγω,verb,o(,ὁ,article,lao\s,e)k,ἐκ,preposition,tou=,pole/mou,πόλεμος,noun,kai\,καί,conjunction,peptw/kasi,πίπτω,verb,polloi\,e)k,ἐκ,preposition,tou=,ὁ,article,laou=,kai\,καί,conjunction,a)pe/qanon,kai\,καί,conjunction,a)pe/qanen,ἀποθνήσκω,verb,λαός,noun,ὁ,article,πολύς,adjective,λαός,noun,kai\,καί,conjunction,*saoul,,,kai\,καί,conjunction,*iwnaqan,,,o(,ὁ,article,ui(o\s,υἱός,noun,au)tou=,αὐτός,pronoun,a)pe/qanen,ἀποθνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀποθνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,*dauid,,,tw=|,ὁ,article,paidari/w|,παιδάριον,noun,tw=|,a)pagge/llonti,ἀπαγγέλλω,verb,au)tw=|,*pw=s,πῶς,adverb,oi)=das,οἶδα,verb,o(/ti,ὅστις,pronoun,te/qnhken,*saoul,,,kai\,καί,conjunction,*iwnaqan,o(,ὁ,article,ui(o\s,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,ὁ,article,αὐτός,pronoun,θνήσκω,verb,,,ei)=pen,εἶπον,verb,to\,ὁ,article,paida/rion,παιδάριον,noun,to\,ὁ,article,a)pagge/llon,ἀπαγγέλλω,verb,au)tw=|,αὐτός,pronoun,*periptw/mati,περίπτωμα,noun,perie/peson,περιπίπτω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,o)/rei,ὄρος,adjective,tw=|,ὁ,article,*gelboue,,,kai\,καί,conjunction,i)dou\,ἰδού,adverb,*saoul,,,e)pesth/rikto,e)pi\,ἐπί,preposition,to\,ὁ,article,do/ru,δόρυ,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,i)dou\,ἰδού,adverb,ta\,ὁ,article,a(/rmata,ἅρμα,noun,υἱός,noun,ἐπιστηρίζω,verb,kai\,καί,conjunction,oi(,ὁ,article,i(ppa/rxai,ἱππάρχης,adjective,sunh=yan,συνάπτω,verb,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)pe/bleyen,ἐπιβλέπω,verb,e)pi\,ἐπί,preposition,ta\,ὁ,article,o)pi/sw,ὀπίσω,adverb,au)tou=,kai\,καί,conjunction,ei)=de/n,me,ἐγώ,pronoun,kai\,καί,conjunction,e)ka/lese/n,καλέω,verb,me,kai\,καί,conjunction,ei)=pa,εἶπον,verb,*)idou\,e)gw/,ἐγώ,pronoun,,,,,,,,αὐτός,pronoun,εἶδον,verb,ἐγώ,pronoun,ἰδού,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pe/n,εἶπον,verb,moi,ἐγώ,pronoun,*ti/s,τίς,pronoun,ei)=,εἶμι,verb,su/,kai\,καί,conjunction,ei)=pa,*amalhki/ths,,,e)gw/,ἐγώ,pronoun,ei)mi,εἰμί,verb,,,,,,,,,,,,,,,,,,,σύ,pronoun,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)=pen,εἶπον,verb,pro/s,πρός,preposition,me,ἐγώ,pronoun,*sth=qi,ἵστημι,verb,dh\,e)pa/nw,ἐπάνω,adverb,mou,kai\,καί,conjunction,qana/twso/n,θανατόω,verb,me,ἐγώ,pronoun,o(/ti,kate/sxen,κατέχω,verb,me,ἐγώ,pronoun,sko/tos,deino/n,δεινός,adjective,o(/ti,pa=sa,πᾶς,adjective,h(,ὁ,article,δή,particle,ἐγώ,pronoun,ὅστις,pronoun,σκότος,noun,yuxh/,ψυχή,noun,mou,ἐγώ,pronoun,e)n,ἐν,preposition,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅστις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)pe/sthn,ἐφίστημι,verb,e)p',ἐπί,preposition,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,e)qana/twsa,au)to/n,αὐτός,pronoun,o(/ti,h)/|dein,οἶδα,verb,o(/ti,ὅστις,pronoun,ou),οὐ,adverb,zh/setai,meta\,μετά,preposition,to\,ὁ,article,pesei=n,au)to/n,αὐτός,pronoun,kai\,e)/labon,λαμβάνω,verb,to\,ὁ,article,θανατόω,verb,ὅστις,pronoun,ζάω,verb,πίπτω,verb,basi/leion,βασίλειος,adjective,to\,ὁ,article,e)pi\,ἐπί,preposition,th\n,ὁ,article,kefalh\n,κεφαλή,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,to\n,ὁ,article,xlidw=na,,,to\n,ὁ,article,e)pi\,ἐπί,preposition,tou=,ὁ,article,braxi/onos,βραχίων,adjective,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)nh/noxa,φέρω,verb,au)ta\,tw=|,ὁ,article,kuri/w|,κύριος,adjective,mou,ἐγώ,pronoun,w(=de,ὧδε,adverb,,,,,,,,,,,,,καί,conjunction,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
