word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
w)=,ὦ,interjection,gh=s,γῆ,noun,palaio\n,παλαιός,adjective,a)/rgos,*)ina/xou,Ἴναχος,proper,r(oai/,ῥοή,noun,o(/qen,ὅθεν,adverb,pot',ποτέ,particle,a)/ras,αἴρω,verb,nausi\,ναῦς,noun,xili/ais,χίλιοι,adjective,*)/arh,Ἄρης,proper,e)s,εἰς,preposition,gh=n,γῆ,noun,e)/pleuse,πλέω,verb,*trw|a/d',*)agame/mnwn,Ἀγαμέμνων,proper,a)/nac,ἄναξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ktei/nas,κτείνω,verb,de\,δέ,particle,to\n,ὁ,article,kratou=nt',e)n,ἐν,preposition,*)ilia/di,Ἰλιάς,proper,xqoni\,χθών,noun,*pri/amon,Πρίαμος,proper,e(lw/n,αἱρέω,verb,te,τε,particle,*darda/nou,Δάρδανος,proper,kleinh\n,κλεινός,adjective,po/lin,πόλις,adjective,a)fi/ket',ἀφίζω,verb,e)s,εἰς,preposition,to/d',*)/argos,Ἄργος,proper,u(yhlw=n,ὑψηλός,adjective,κρατέω,verb,ὅδε,pronoun,d',δέ,particle,e)pi\,ἐπί,preposition,naw=n,ναός,noun,e)/qhke,τίθημι,verb,sku=la,σκῦλον,noun,plei=sta,πλεῖστος,adjective,barba/rwn,βάρβαρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)kei=,ἐκεῖ,adverb,me\n,μέν,particle,eu)tu/xhsen,εὐτυχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,dw/masi,δῶμα,noun,qnh/|skei,gunaiko\s,γυνή,noun,pro\s,πρός,preposition,*klutaimh/stras,Κλυταιμνήστρα,proper,do/lw|,δόλος,noun,kai\,καί,conjunction,tou=,ὁ,article,*que/stou,Θυέστης,proper,paido\s,παῖς,adjective,*ai)gi/sqou,Αἴγισθος,proper,xeri/,χείρ,noun,,,,,,,,,,,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw(\,ὁ,article,me\n,μέν,particle,palaia\,παλαιός,adjective,skh=ptra,*tanta/lou,Τάνταλος,proper,lipw\n,λείπω,verb,o)/lwlen,ὄλλυμι,verb,*ai)/gisqos,Αἴγισθος,proper,de\,δέ,particle,basileu/ei,βασιλεύω,verb,xqono/s,χθών,noun,a)/loxon,ἄλοχος,adjective,e)kei/nou,ἐκεῖνος,pronoun,*tundari/da,Τυνδάρεος,proper,ko/rhn,κόρη,noun,e)/xwn,,,,,,,σκῆπτρον,noun,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(\s,ὅς,pronoun,d',δέ,particle,e)n,ἐν,preposition,do/moisin,e)/lif',λείπω,verb,o(/t',ὅτε,conjunction,e)s,εἰς,preposition,*troi/an,Τροία,proper,e)/plei,πλέω,verb,a)/rsena/,ἄρσην,noun,t',τε,particle,*)ore/sthn,Ὀρέστης,proper,qh=lu/,θῆλυς,adjective,t',τε,particle,*)hle/ktras,Ἠλέκτρη,proper,qa/los,to\n,ὁ,article,me\n,μέν,particle,δόμος,noun,θάλος,adjective,patro\s,πατήρ,noun,geraio\s,γεραιός,adjective,e)kkle/ptei,ἐκκλέπτω,verb,trofeu\s,τροφεύς,noun,me/llont',μέλλω,verb,*)ore/sthn,Ὀρέστης,proper,xero\s,χείρ,noun,u(p',ὑπό,preposition,*ai)gi/sqou,Αἴγισθος,proper,qanei=n,θνήσκω,verb,*strofi/w|,Στρόφιος,proper,t',τε,particle,e)/dwke,δίδωμι,verb,*fwke/wn,Φωκεύς,proper,e)s,εἰς,preposition,gh=n,γῆ,noun,tre/fein,τρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',δέ,particle,e)n,ἐν,preposition,do/mois,e)/meinen,μένω,verb,*)hle/ktra,Ἠλέκτρη,proper,patro/s,πατήρ,noun,tau/thn,οὗτος,pronoun,e)peidh\,ἐπεί,conjunction,qalero\s,θαλερός,adjective,ei)=x',ἔοικα,verb,h(/bhs,ἥβη,noun,xro/nos,χρόνος,noun,mnhsth=res,μνηστήρ,noun,h)/|toun,αἰτέω,verb,*(ella/dos,prw=toi,πρότερος,adjective,xqono/s,χθών,noun,δόμος,noun,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei/sas,δείδω,verb,de\,δέ,particle,mh/,μή,conjunction,tw|,pai=d',παῖς,adjective,a)riste/wn,ἀριστεύς,noun,te/koi,τίκτω,verb,*)agame/mnonos,Ἀγαμέμνων,proper,poina/tor',ποινάτωρ,noun,ei)=xen,ἔχω,verb,e)n,ἐν,preposition,do/mois,δόμος,noun,*ai)/gisqos,Αἴγισθος,proper,ou)d',οὐδέ,particle,h(/rmoze,ἁρμόζω,verb,numfi/w|,tini/,τις,pronoun,,,,τις,pronoun,νυμφίος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,kai\,καί,conjunction,tou=t',h)=n,εἰμί,verb,fo/bou,φόβος,noun,pollou=,πολύς,adjective,ple/wn,πλέω,verb,mh/,μή,conjunction,tw|,τις,pronoun,laqrai/ws,λαθραῖος,adjective,te/kna,τέκνον,noun,gennai/w|,γενναῖος,adjective,te/koi,τίκτω,verb,ktanei=n,κτείνω,verb,sfe,bouleu/santos,βουλεύω,verb,w)mo/frwn,ὠμόφρων,adverb,οὗτος,pronoun,σφεῖς,pronoun,o(/mws,ὅμως,conjunction,mh/thr,μήτηρ,noun,nin,νιν,pronoun,e)ce/sw|sen,ἐκσῴζω,verb,*ai)gi/sqou,Αἴγισθος,proper,xero/s,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,me\n,μέν,particle,ga\r,γάρ,particle,a)/ndra,skh=yin,σκῆψις,noun,ei)=x',ἔοικα,verb,o)lwlo/ta,ὄλλυμι,verb,pai/dwn,παῖς,adjective,d',δέ,particle,e)/deise,δείδω,verb,mh\,μή,conjunction,fqonhqei/h,φθονέω,verb,fo/nw|,φόνος,noun,,,,,,,,,,,,,,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
